ID	Inputs																											Outputs												References
	Feedstock information				Ultimate Analysis					Proximate Analysis				Lignocellulosic Composition			Gasifier Conditions and Information											Gas Composition								Yield and Process Efficiency				
	Type	Shape	Particle size [mm]	LHV [MJ/kg wb]	C [%daf]	H [%daf]	N [%daf]	S [%daf]	O [%daf]	Ash [%db]	Moisture [%wb]	Volatile Matter [%db]	Fixed carbon  [%db]	Cellulose [%db]	Hemicellulose [%db]	Lignin [%db]	Temperature [°C]	Operation (Batch/Continuous)	Operating Pressure [kPa]	Residence time [min]	Steam/Biomass [wt/wt]	ER	Gasifying agent	Reactor Type	Bed material	Catalyst	Scale	N2 [vol.% db]	H2 [vol.% db]	CO [vol.% db]	CO2 [vol.% db]	CH4 [vol.% db]	C2Hn [vol.% db]	LHV [MJ/Nm3]	Tar [g/Nm3]	Gas yield [Nm3/kg wb]	Char yield [g/kg wb]	CGE [%] (wb)	CCE [%] (wb)	
1	solid recovered fuel	pellets	5x30	19.45	59.39	8.57	0.93	0.27	32.30	20.69	6.40	-	-	-	-	-	849.00	continuous	-	120.00	-	0.26	air	bubbling fluidised bed	olivine	olivine	pilot-scale (400 kW_th)	61.77	8.48	9.74	13.36	4.18	2.19	5.39	73.00	1.62	-	53.00	70.00	"Arena, Fuel 2014, 117, 528-536"
2	solid recovered fuel	pellets	5x30	19.45	59.39	8.57	0.93	0.27	32.30	20.69	6.40	-	-	-	-	-	852.00	continuous	-	120.00	-	0.26	air	bubbling fluidised bed	olivine	olivine	pilot-scale (400 kW_th)	60.64	7.11	8.98	15.69	4.20	2.72	5.65	47.00	1.73	-	56.00	80.00	"Arena, Fuel 2014, 117, 528-536"
3	solid recovered fuel	pellets	5x30	19.45	59.39	8.57	0.93	0.27	32.30	20.69	6.40	-	-	-	-	-	869.00	continuous	-	120.00	-	0.27	air	bubbling fluidised bed	olivine	olivine	pilot-scale (400 kW_th)	61.67	8.44	10.47	12.28	4.57	2.14	5.55	58.00	1.72	-	58.00	75.00	"Arena, Fuel 2014, 117, 528-536"
4	solid recovered fuel	pellets	5x30	19.45	59.39	8.57	0.93	0.27	32.30	20.69	6.40	-	-	-	-	-	879.00	continuous	-	120.00	-	0.30	air	bubbling fluidised bed	olivine	olivine	pilot-scale (400 kW_th)	61.86	8.24	10.40	12.83	4.35	2.05	5.16	39.00	1.91	-	61.00	81.00	"Arena, Fuel 2014, 117, 528-536"
5	solid recovered fuel	pellets	5x30	19.45	59.39	8.57	0.93	0.27	32.30	20.69	6.40	-	-	-	-	-	898.00	continuous	-	120.00	-	0.32	air	bubbling fluidised bed	olivine	olivine	pilot-scale (400 kW_th)	60.66	7.08	12.73	14.04	3.33	1.78	4.91	5.00	2.04	-	61.00	92.00	"Arena, Fuel 2014, 117, 528-536"
6	solid recovered fuel	pellets	5x30	19.45	59.39	8.57	0.93	0.27	32.30	20.69	6.40	-	-	-	-	-	932.00	continuous	-	120.00	-	0.33	air	bubbling fluidised bed	olivine	olivine	pilot-scale (400 kW_th)	64.61	7.68	10.58	11.66	3.78	1.27	4.69	42.00	2.00	-	57.00	79.00	"Arena, Fuel 2014, 117, 528-536"
7	plastics	pellets	5x2	42.90	86.03	13.97	0.00	0.00	0.00	1.00	0.20	-	-	-	-	-	867.00	continuous	-	-	-	0.22	air	bubbling fluidised bed	quartz sand	-	pilot-scale (500 kW_th)	64.70	9.50	2.40	9.60	9.10	4.70	7.50	130.00	3.31	-	58.00	60.03	"Arena, Waste Management 2010, 30, 1212-1219"
8	plastics	pellets	5x2	42.90	86.03	13.97	0.00	0.00	0.00	1.00	0.20	-	-	-	-	-	898.00	continuous	-	-	-	0.31	air	bubbling fluidised bed	quartz sand	-	pilot-scale (500 kW_th)	68.00	8.10	2.20	10.40	7.10	4.20	6.30	81.00	4.34	-	63.00	72.88	"Arena, Waste Management 2010, 30, 1212-1219"
9	plastics	pellets	5x2	42.90	86.03	13.97	0.00	0.00	0.00	1.00	0.20	-	-	-	-	-	845.00	continuous	-	-	-	0.20	air	bubbling fluidised bed	quartz sand	-	pilot-scale (500 kW_th)	64.10	9.10	2.80	9.10	10.40	4.50	7.90	160.00	2.96	-	55.00	54.94	"Arena, Waste Management 2010, 30, 1212-1219"
10	plastics	pellets	5x2	42.90	86.03	13.97	0.00	0.00	0.00	1.00	0.20	-	-	-	-	-	807.00	continuous	-	-	-	0.27	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	49.00	26.90	20.00	1.40	2.20	0.50	6.50	0.00	5.43	-	82.00	76.44	"Arena, Waste Management 2010, 30, 1212-1219"
11	plastics	pellets	5x2	42.90	86.03	13.97	0.00	0.00	0.00	1.00	0.20	-	-	-	-	-	819.00	continuous	-	-	-	0.20	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	45.10	30.10	18.40	1.60	3.40	1.40	7.60	0.00	4.17	-	74.00	62.72	"Arena, Waste Management 2010, 30, 1212-1219"
12	plastics	pellets	5x2	42.90	86.03	13.97	0.00	0.00	0.00	1.00	0.20	-	-	-	-	-	816.00	continuous	-	-	-	0.28	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	48.50	27.10	20.10	1.70	2.10	0.50	6.50	0.00	5.65	-	85.00	80.63	"Arena, Waste Management 2010, 30, 1212-1219"
13	plastics	pellets	5x2	42.90	86.03	13.97	0.00	0.00	0.00	1.00	0.20	-	-	-	-	-	825.00	continuous	-	-	-	0.31	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	50.30	24.00	19.50	3.30	2.00	0.90	6.30	0.00	6.00	-	88.00	92.09	"Arena, Waste Management 2010, 30, 1212-1219"
14	plastics	pellets	5x2	42.90	86.03	13.97	0.00	0.00	0.00	1.00	0.20	-	-	-	-	-	825.00	continuous	-	-	-	0.21	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	44.40	30.80	19.00	1.60	3.20	1.00	7.50	0.00	4.80	-	84.00	71.05	"Arena, Waste Management 2010, 30, 1212-1219"
15	plastics	pellets	5x2	42.90	86.03	13.97	0.00	0.00	0.00	1.00	0.20	-	-	-	-	-	850.00	continuous	-	-	-	0.29	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	47.20	29.10	20.90	1.20	1.50	0.10	6.40	0.00	6.19	-	92.00	84.14	"Arena, Waste Management 2010, 30, 1212-1219"
16	plastics	pellets	5x2	42.90	86.03	13.97	0.00	0.00	0.00	1.00	0.20	-	-	-	-	-	856.00	continuous	-	-	-	0.30	air	bubbling fluidised bed	dolomite	dolomite	pilot-scale (500 kW_th)	56.20	14.70	18.30	3.10	5.70	2.00	7.10	0.00	5.68	-	94.00	101.96	"Arena, Waste Management 2010, 30, 1212-1219"
17	plastics	pellets	7x1	42.90	85.78	14.23	0.00	0.00	0.00	1.30	0.30	-	-	-	-	-	818.00	continuous	-	-	-	0.23	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	46.20	30.60	17.50	2.30	2.80	0.60	6.90	0.00	4.90	-	79.00	67.35	"Arena, Waste Management 2010, 30, 1212-1219"
18	plastics	pellets	7x1	42.90	85.78	14.23	0.00	0.00	0.00	1.30	0.30	-	-	-	-	-	831.00	continuous	-	-	-	0.27	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	46.40	28.20	21.10	1.50	2.30	0.50	6.80	0.00	5.82	-	93.00	86.62	"Arena, Waste Management 2010, 30, 1212-1219"
19	plastics	pellets	7x1	42.90	85.78	14.23	0.00	0.00	0.00	1.30	0.30	-	-	-	-	-	829.00	continuous	-	-	-	0.24	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	45.70	29.50	19.90	1.70	2.50	0.70	7.00	0.00	5.14	-	84.00	75.43	"Arena, Waste Management 2010, 30, 1212-1219"
20	plastics	pellets	7x1	42.90	85.78	14.23	0.00	0.00	0.00	1.30	0.30	-	-	-	-	-	879.00	continuous	-	-	-	0.29	air	bubbling fluidised bed	dolomite	dolomite	pilot-scale (500 kW_th)	54.80	13.70	16.70	5.10	7.30	2.40	7.70	0.00	5.14	-	93.00	101.55	"Arena, Waste Management 2010, 30, 1212-1219"
21	plastics	pellets	Irregular	33.40	73.49	11.01	0.00	0.11	15.43	6.74	0.60	-	-	-	-	-	914.00	continuous	-	-	-	0.31	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	68.50	6.60	4.80	11.40	6.30	2.40	5.20	56.00	3.32	-	52.00	63.45	"Arena, Waste Management 2010, 30, 1212-1219"
22	plastics	pellets	Irregular	33.40	73.49	11.01	0.00	0.11	15.43	6.74	0.60	-	-	-	-	-	884.00	continuous	-	-	-	0.25	air	bubbling fluidised bed	olivine	olivine	pilot-scale (500 kW_th)	64.20	8.00	4.60	11.60	7.90	3.70	6.40	55.00	3.04	-	58.00	66.73	"Arena, Waste Management 2010, 30, 1212-1219"
