Feedstock,C,H,N,S,O,Moisture,Volatile matter,Fixed carbon,Ash,Ref,
Rice straw,41.17,5.94,0.97,0.12,51.8,-,8.09,68.22,14.59,9.1,[47]
Wheat straw,40.8,6.4,1.3,2.1,39.5,-,8.6,70,11.4,9.9,[48]
Almond shell,49.85,6.08,0.84,0.35,41.2,-,3.98,72.86,21.3,1.68,[49]
Mixed Food waste,42.75,6.49,5.34,0.35,34.22,-,3.02,73.27,15.97,7.83,[50]
Fruit pulp,48.2,6.02,0.47,0.127,45.15,-,78,-,-,2.45,[51]
Sugarcane bagasse,49.8,6,0.2,0.06,43.9,-,10.4,76.6,11.1,1.9,[52]
Oilfield sludge,48.48,10.39,0.36,0.28,40.79,-,11.58,7.3,73.84,7.28,[53]
Sewage sludge,31.1,4.2,3.3,1.1,24.3,-,6.4,53,8.6,38.4,[54]
Polymer-Containing oily sludge,44.23,10.91,1.61,0.71,42.18,-,49.79,47.09,2.76,0.36,[10]
Dairy wastewater,25.72,4.23,4,0,41.05,86.34,-,43,32,25,[55]
Olive wastewater,37.5,6.4,1.2,0.4,54.5,87.9,-,91,4.7,4.3,[56]
Distillery wastewater,34.41,4.87,4.77,0,53.45,93.5,-,66.5,31,2.5,[57]
Pig manure,30.34,3.92,2.85,0.61,28.98,-,6.25,54.71,5.89,33.3,[58]
Chicken manure,43.24,7.08,5.33,0.88,37.31,-,8.4,70.99,14.45,6.16,[59]
Horse manure,45.9,6.4,1,0.1,35.7,-,8.4,64.8,10.1,16.7,[60]
Polypropylene (PP) plastic,80.739,14.85,1.54,2.27,0.29,-,0.29,99.28,0.43,0,[61]
Waste polyethylene terephthalate plastic,62.37,4.23,0.02,0,33.38,-,0.83,90.53,5.14,3.5,[62]
Mixed waste plastic (MWP),80.5,12,0.47,-,7.01,-,-,89.5,4.47,6.04,[63]
