Biomass,Hemicellulose,Cellulose,Lignin,Lipid,Protein,Ref
rice straw,25.3,37.8,28.3,-,-,[47]
Wheat straw,25.7,38.5,27,-,-,[47]
Almond shell,20.1,41.3,32.6,-,-,[49]
Sugarcane bagasse,22.79,58.47,14.85,-,-,[64]
Black liquor,12.97,-,86.13,-,-,[65]
Pig manure,17.59,10.91,3.94,4.82,12.16,[58]
Chicken manure,28.15,36.12,11.58,-,-,[59]
Fruit pulp,36.9,31.4,16.7,-,2.95,[51]
Corn stover,26.24,33.56,6.07,-,-,[66]
Banana pulp,19.4,28.4,16.8,-,-,[67]
Tobacco stem,21.82,34.73,11.49,-,-,[67]
Dahlia flowers,24.22,35.63,11.36,-,-,[67]
Sewage sludge,15.39,6.01,21.48,14.63,31.1,[68]
White poplar,14.94,55.78,20.20,-,-,[69]
