Catalyst,Feedstock,Condition (T,Residence time),Feed [wt %],Gas yield [mmol/g],H2 yield [mmol/g],H2 selectivity,Production increase [%]
Na2CO3,sewage sludge,400 ◦C 60 min,10,4.91,1.40,39.89,16.67,[22]
NaOH,sewage sludge,400 ◦C 60min,10,4.16,1.60,62.5,33.33,[22]
Na2CO3,TLE-Oat hull,525◦C 45min,10,22.30,11.90,114.42,75.00,[137]
NaOH,expired bread,500◦C 60min,10,21.60,8.50,64.89,23.19,[102]
Na2CO3,expired bread,500◦C 60min,10,20.40,8.00,64.52,15.94,[102]
Na2CO3,crude oil,700 ◦C 15min,2,122.00,52.22,74.84,96.91,[106]
Na2CO3,pig manure,620 ◦C 30 min,6,26.00,15.04,137.23,55.37,[58]
Na2CO3,mixed ion exchange resin,750 ◦C 30 min,10,39.60,27.00,214.29,3.84,[142]
NaOH,mixed ion exchange resin,750 ◦C 30 min,10,40.10,25.00,165.56,11.53,[142]
K2CO3,sewage sludge,400 ◦C 60 min,10,4.50,1.40,45.16,16.67,[22]
KOH,sewage sludge,400 ◦C 60 min,10,4.05,1.50,58.82,25.00,[22]
K2CO3,TLE-Oat hull,525 ◦C 45 min,10,22.90,11.50,100.88,69.12,[137]
KOH,TLE-Oat hull,525 ◦C 45 min,10,23.80,12.00,101.69,76.47,[137]
K2CO3,pig manure,620 ◦C 30 min,6,27.30,18.89,224.61,95.14,[58]
K2CO3,catonic ion exchange resin,700 ◦C 30 min,10,16,7.5,88.24,113.33,[143]
K2CO3,landfill leachate,650 ◦C 20 min,-,40.70,20.20,98.54,32.46,[144]
KOH,landfill leachate,650 ◦C 20 min,-,53.50,22.50,72.58,47.54,[144]
KOH,Semi-coke powder,750 ◦C 20 min,10,113.50,63.27,125.96,360.68,[145]
KOH,pig manure,620 ◦C 30 min,6,26.00,12.50,92.59,29.13,[58]
K2CO3,Dewatered sewage sludge,460 ◦C 6 min,21,73.30,55.00,300.55,175,[146]
CaO,Semi-coke powder,750 ◦C 20 min,10,36.29,20.12,124.43,46.48,[145]
Ca(OH)2,pig manure,620 ◦C 30 min,6,22.5,11,95.65,13.63,[58]
Ca(OH)2,Hyperaccumulators,400 ◦C 20 min,6,6.25,2,47.05,33.33,[147]
