Catalyst,Support,Feedstock,Operational Condition (T,Residence time),Feed (wt %),gas yield (mmol/g),H2 yield (mmol/g),H2 selectivity,H2 production increase (%)
Ni,Al2O3,food waste,450 ◦C 40 min,8,10.91,4.07,59.54,55.34,[164]
Ni,9La-Al2O3,food waste,450 ◦C 40 min,8,14.09,5.57,65.34,112.60,[164]
Ni,ZrO2,canola straw,500 ◦C 60 min,10,33.00,10.56,47.06,29.76,[150]
Ni,Al2O3,canola straw,500 ◦C 60 min,10,35.30,9.92,39.08,21.89,[150]
Ni,CNT,canola straw,500 ◦C 60 min,10,27.10,6.80,33.51,-16.41,[150]
Ni,Al2O3,Canola meal-N95 mask,415 ◦C 45 min,3,15.35,5.31,56.87,29.41,[165]
Ni,MgO,Canola meal-N95 mask,415 ◦C 45 min,3,13.34,5.45,72.8,52.72,[165]
10Ni,4A-Zeolite,lignin,450 ◦C 30min,5,13.14,5.60,74.25,180.65,[166]
10Ni,3A-Zeolite,lignin,450 ◦C 30min,5,12.82,4.70,57.88,51.61,[166]
10Ni,5A-Zeolite,lignin,450 ◦C 30min,5,12.76,3.30,34.88,6.45,[166]
5Ni,AC,oily sludge,600 ◦C 30 min,5,2.40,1.67,228.77,54.63,[167]
Raney-nickel,-,Food waste,650 ◦C 10min,7,54.00,27.00,100,92.85,[168]
Raney-nickel,-,PET polyethylene terephthalate,450 ◦C 30 min,10,52.00,7.00,15.56,600,[169]
Ni,MgO,wheat straw,723 ◦C 20 min,5,31.22,11.55,58.73,196.15,[170]
Ni,Al2O3,wheat straw,723 ◦C 20 min,5,29.71,10.40,53.85,166.67,[170]
Ni,ZrO2,wheat straw,723 ◦C 20 min,5,28.09,10.00,55.28,156.41,[170]
Ni,ZnO,wheat straw,723 ◦C 20 min,5,33.85,11.00,48.15,182.05,[170]
10Ni,Al2O3,oilfield sludge,450 ◦C 60 min,2.17,1.37,171.25,139.79,[53],
Ni,Al2O3,phenol,450 ◦C 30 min,20 %,2.11,1.14,118.09,-,[159]
20Ni,MgO,Oil palm frond,380 ◦C 8 min,5,74.6,61.8,477.18,74.57,[171]
10Ni,ZrO2,Soybean straw,500 ◦C 45 min,10,17.4,8.1,87.09,22.72,[153]
10FeOOH,Al2O3,oily sludge,555 ◦C 135 min,5,-,3.70,-,39.62,[151]
10FeOOH,AC,oily sludge,555 ◦C 135 min,5,-,4.60,-,73.58,[151]
Fe,MgO,wheat straw,723 ◦C 20 min,5,23.59,9.20,63.93,135.90,[170]
Fe2O3,-,glucose,600 ◦C 10 min,10,26.00,5.50,26.83,-26.66,[24]
Fe2O3,-,Black liquor,600 ◦C 30 min,12.6,33.33,18.00,59.54,246.15,[158]
Fe3O4,-,Black liquor,600 ◦C 30 min,12.6,28.85,15.00,59.54,188.46,[158]
Ru,AC,HTL wastewater,600 ◦C 60min,-,4.78,2.10,78.36,3233.33,[172]
Ru,CeO2,HTL wastewater,600 ◦C 60min,-,2.74,1.05,62.13,66.6,[172]
Ru,ZrO2,HTL wastewater,600 ◦C 60min,-,2.53,0.98,63.23,55.5,[172]
Ru,MgO,HTL wastewater,600 ◦C 60min,-,2.27,0.79,53.38,25.39,[172]
Ru,γ-Al2O3,glycerol,450 ◦C 20 min,30.00,12.70,73.14,154.00,[173],
20RuO2,γ-Al2O3,Trommel fines,450 ◦C 60 min,5,48.5,6.5,15.47,195.45,[63]
20RuO2,γ-Al2O3,Textile waste,450 ◦C 60 min,5,46.5,9,24,260,[63]
20RuO2,γ-Al2O3,refuse drive fuels,450 ◦C 60 min,5,62.00,8.00,14.81,220,[63]
20RuO2,γ-Al2O3,Mixed waste plastics,450 ◦C 60 min,5,59.10,5.10,9.44,37.83,[63]
Ru,AC,Cellulose,500 ◦C 20 min,12,50.00,16.50,49.25,236.73,[174]
MnO2,-,Landfill leachate,650 ◦C 20 min,-,36.9,17,85.42,11.47,[144]
MnO2,-,Glucose,600 ◦C 10 min,10,27.6,5.2,23.21,-30.6,[24]
MnO2,-,Black liquor,600 ◦C 30 min,12.6,28.57,13,83.49,150,[158]
CeO2,-,Glucose,600 ◦C 10 min,10,30.00,5.50,22.44,-26.66,[24]
CeO2,-,Black liquor,600 ◦C 30 min,12.6,28.85,15.00,108.30,188.46,[158]
CeO2,-,Cellulose,500 ◦C 20 min,12,18.50,5.00,37.03,2.04,[174]
20CuO,MgO,Oil palm frond,380 ◦C 8min,5,84.4,68,414.63,92,[171]
10Cu,γ-Al2O3,Glucose,600 ◦C 20min,5,17.9,5.9,49.16,227,[26]
CuO,-,Black liquor,600 ◦C 30min,12.6,31.25,15,92.30,188.46,[158]
CuO,-,Glucose,600 ◦C 10min,10,35,7,25,-6.6,[24]
CuO,MgO,Wheat straw,723 ◦C 20min,5,23.22,8.13,53.78,108.46,[170]
10Co,γ-Al2O3,Glucose,600 ◦C 20min,5,12.9,2.1,19.44,16.6,[26]
Co2O3,-,Black liquor,600 ◦C 30min,12.6,40.14,22,121.27,323,[158]
Co,AC,Phenol,500 ◦C 30 min,5,20,12,150,500,[175]
Co2O3,-,Glucose,600 ◦C 10min,10,30,6,25,-20,[24]
