Feedstock,Operating Conditionsᵃ,Catalyst,H₂ Yields,References
Table 1. Studies on supercritical water gasification of biomass and its constituents in batch reactors.,,,,
Glucose,"400 °C, 24.5 MPa, 9.1 wt.%",—,1.3 mol/kg,[78]
,,Ni/γ-Al₂O₃,10.5 mol/kg,[78]
,,Ni/CeO₂-γ-Al₂O₃,12.7 mol/kg,[78]
,"400 °C, 22.5–25 MPa, 20 min",Ni–Mg–Al,7.2–11.8 mol/kg,[94]
,"400–600 °C, 25 MPa, 60 min, 5 wt.%",K₂CO₃,1.5 mol/mol,[95]
,"550 °C, 36 MPa, 10 min, 6.7 wt.%",Ru/α-Al₂O₃,10.8 mol/kg,[80]
,,Ru/α-Al₂O₃/NaOH,21.1 mol/kg,[80]
,,Ru/α-Al₂O₃/CaO,14.7 mol/kg,[80]
,"400–600 °C, 20–42.5 MPa, 60 min, 0.4 M",—,2.2 mol/mol,[56]
,,K₂CO₃,3.9 mol/mol,[56]
Cellulose,"550 °C, 36 MPa, 10 min, 6.7 wt.%",Ru/α-Al₂O₃/CaO,9.1 mol/kg,[80]
,"500–600 °C, 0.05–0.2 g/cm³, 10 min, 5–33 wt.%","Ni, Cu and Fe",0.3–2.2 mol/kg,[72]
,"365–500 °C, 0.05–0.2 g/cm³, 10–30 min, 1–33 wt.%",—,0.1–2.9 mol/kg,[72]
"Xylan
(Hemicellulose)","550 °C, 36 MPa, 10 min, 6.7 wt.%",Ru/α-Al₂O₃/CaO,10.7 mol/kg,[80]
Lignin,"365–725 °C, 0.05–0.2 g/cm³, 2.5–75 min, 1–33 wt.%",—,0.1–7.5 mol/kg,[72]
,"500–600 °C, 0.05–0.2 g/cm³, 15 min, 5–33 wt.%","Ni, Cu and Fe",0.9–2.7 mol/kg,[72]
Sawdust,"550 °C, 36 MPa, 10 min, 6.7 wt.%",Ru/α-Al₂O₃/CaO,10.4 mol/kg,[80]
"Sugarcane
bagasse","400 °C, 0.3 g/cm³, 15 min, 0.1 g",—,0.5 mol/kg,[85]
,,Ru/TiO₂,3.2 mol/kg,[85]
,,Ru/AC,1.92 mol/kg,[85]
,"400 °C, 0.5 g/cm³, 15 min, 0.1 g",—,1.92 mol/kg,[85]
Sea weed,"500 °C, 30.2–33.5 MPa, 60 min, 5 wt.%",—,11.8–16 g/kg,[96]
Hog manure,"500 °C, 31 MPa, 30–90 min, 28–57 g/L","Pd/AC, Ru/Al₂O₃, Ru/AC,
AC, NaOH",0.4–0.5 mol/kg,[84]
"ᵃ Operating conditions (in sequence): temperature, pressure, residence time, and feed concentration. AC = activated carbon. wt.% = weight percent. mol/mol = moles H₂ per mole substrate. mol/kg = moles H₂ per kg feedstock. g/kg = grams H₂ per kg feedstock. Ru/α-Al₂O₃ = ruthenium on alpha-alumina support. Source: Reddy S.N., Nanda S., Dalai A.K., Kozinski J.A. — International Journal of Hydrogen Energy, 2014.",,,,
,,,,
Table 2. Studies on supercritical water gasification of biomass and its constituents in continuous reactors.,,,,
Feedstock,Operating Conditionsᵃ,Catalyst,H₂ Yields,References
Glucose,"400 °C, 24.5 MPa, 9.1 wt.%",—,1.3 mol/kg,[78]
,,Ni/γ-Al₂O₃,10.5 mol/kg,[78]
,,Ni/CeO₂-γ-Al₂O₃,12.7 mol/kg,[78]
,"550–700 °C, 28 MPa, LHSV = 21/h, 0.3–0.9 M","Ni/AC, Ni-Y/AC, Ni–Fe/AC, Ni–Co/AC",1.1–6.9 mol/mol,[98]
,"575–725 °C, 28 MPa, LHSV = 6–24/h, 0.3–0.9 M",—,3.6 mol/mol,[57]
,,Ni/AC,5.4 mol/mol,[57]
,"600 °C, 24 MPa, WHSV = 3/h, 5 wt.%",—,0.3 mol/mol,[75]
,,Ni/γ-Al₂O₃,6.9 mol/mol,[75]
,"600–750 °C, 24 MPa, WHSV = 6–24/h, 50–200 g/L",Ru–Ni/γ-Al₂O₃,25.5–53.9 mol/kg,[99]
,"600–767 °C, 25 MPa, 15–60 s, 1.8–15 wt.%",—,5.7–11.5 mol/mol,[30]
,"700 °C, 24 MPa, WHSV = 6/h","Ru–Ni/γ-Al₂O₃, Ni/γ-Al₂O₃",50 mol/kg,[74]
,"750–800 °C, 22–33 MPa, 4–6.5 s, 10.1 wt.%",—,3 mol/mol,[100]
Organic waste,"600–750 °C, 24 MPa, WHSV = 3–12/h",Ru–Ni/γ-Al₂O₃,28.9–54.8 mol/kg,[99]
Corn cob,"650–775 °C, 22–25 MPa, 20–40 s, 3–12 wt.%",—,13–26.3 mol/kg,[10]
Wheat straw pulping black liquor,"400–600 °C, 25 MPa, 4.9–13.7 s, 3–9.5 wt.%",—,6.8–11.3 mol/kg,[60]
Biomassᵇ,"600 °C, 35 MPa, 18 s",—,4.9–20.2 mol/kg,[71]
,,K₂CO₃,18.5–32.1 mol/kg,[71]
,,Trona,18.9–31.1 mol/kg,[71]
"ᵃ Operating conditions (in the sequence) refers to temperature, pressure, residence time and feed concentration.
ᵇ Biomass indicates cauliflower residue, tomatoes residue, acorn, extracted acorn and hazelnut shell. AC: activated carbon, LHSV: liquid hourly space velocity, WHSV: weight hourly space velocity.",,,,
,,,,
Table 3. Studies on supercritical water gasification of biomass and its constituents in fluidized bed reactors.,,,,
Feedstock,Operating Conditionsᵃ,Catalyst,H₂ Yields,References
Glucose,"550–650 °C, 23–27 MPa, 5–30 wt.%",—,2.5–7.7 mol/kg,[102]
Corn cob,"550–650 °C, 23–27 MPa, 5–18 wt.%",—,2.6–12 mol/kg,[102]
Sewage sludge,"480–540 °C, 25 MPa, 4–12 wt.%","KOH, K₂CO₃, NaOH, Na₂CO₃",1.9–15.5 mol/kg,[103]
"ᵃ Operating conditions (in the sequence) refers to temperature, pressure and feed concentration.",,,,
