Glucose,"400 °C, 24.5 MPa, 9.1 wt.%",—,1.3 mol/kg,[78]
,,Ni/γ-Al₂O₃,10.5 mol/kg,[78]
,,Ni/CeO₂-γ-Al₂O₃,12.7 mol/kg,[78]
,"400 °C, 22.5–25 MPa, 20 min",Ni–Mg–Al,7.2–11.8 mol/kg,[94]
,"400–600 °C, 25 MPa, 60 min, 5 wt.%",K₂CO₃,1.5 mol/mol,[95]
,"550 °C, 36 MPa, 10 min, 6.7 wt.%",Ru/α-Al₂O₃,10.8 mol/kg,[80]
,,Ru/α-Al₂O₃/NaOH,21.1 mol/kg,[80]
,,Ru/α-Al₂O₃/CaO,14.7 mol/kg,[80]
,"400–600 °C, 20–42.5 MPa, 60 min, 0.4 M",—,2.2 mol/mol,[56]
,,K₂CO₃,3.9 mol/mol,[56]
Cellulose,"550 °C, 36 MPa, 10 min, 6.7 wt.%",Ru/α-Al₂O₃/CaO,9.1 mol/kg,[80]
,"500–600 °C, 0.05–0.2 g/cm³, 10 min, 5–33 wt.%","Ni, Cu and Fe",0.3–2.2 mol/kg,[72]
,"365–500 °C, 0.05–0.2 g/cm³, 10–30 min, 1–33 wt.%",—,0.1–2.9 mol/kg,[72]
"Xylan
(Hemicellulose)","550 °C, 36 MPa, 10 min, 6.7 wt.%",Ru/α-Al₂O₃/CaO,10.7 mol/kg,[80]
Lignin,"365–725 °C, 0.05–0.2 g/cm³, 2.5–75 min, 1–33 wt.%",—,0.1–7.5 mol/kg,[72]
,"500–600 °C, 0.05–0.2 g/cm³, 15 min, 5–33 wt.%","Ni, Cu and Fe",0.9–2.7 mol/kg,[72]
Sawdust,"550 °C, 36 MPa, 10 min, 6.7 wt.%",Ru/α-Al₂O₃/CaO,10.4 mol/kg,[80]
"Sugarcane
bagasse","400 °C, 0.3 g/cm³, 15 min, 0.1 g",—,0.5 mol/kg,[85]
,,Ru/TiO₂,3.2 mol/kg,[85]
,,Ru/AC,1.92 mol/kg,[85]
,"400 °C, 0.5 g/cm³, 15 min, 0.1 g",—,1.92 mol/kg,[85]
Sea weed,"500 °C, 30.2–33.5 MPa, 60 min, 5 wt.%",—,11.8–16 g/kg,[96]
Hog manure,"500 °C, 31 MPa, 30–90 min, 28–57 g/L","Pd/AC, Ru/Al₂O₃, Ru/AC,
AC, NaOH",0.4–0.5 mol/kg,[84]
"ᵃ Operating conditions (in sequence): temperature, pressure, residence time, and feed concentration. AC = activated carbon. wt.% = weight percent. mol/mol = moles H₂ per mole substrate. mol/kg = moles H₂ per kg feedstock. g/kg = grams H₂ per kg feedstock. Ru/α-Al₂O₃ = ruthenium on alpha-alumina support. Source: Reddy S.N., Nanda S., Dalai A.K., Kozinski J.A. — International Journal of Hydrogen Energy, 2014.",,,,
