Feedstock,Operating Conditionsᵃ,Catalyst,H₂ Yields,References
Glucose,"400 °C, 24.5 MPa, 9.1 wt.%",—,1.3 mol/kg,[78]
,,Ni/γ-Al₂O₃,10.5 mol/kg,[78]
,,Ni/CeO₂-γ-Al₂O₃,12.7 mol/kg,[78]
,"550–700 °C, 28 MPa, LHSV = 21/h, 0.3–0.9 M","Ni/AC, Ni-Y/AC, Ni–Fe/AC, Ni–Co/AC",1.1–6.9 mol/mol,[98]
,"575–725 °C, 28 MPa, LHSV = 6–24/h, 0.3–0.9 M",—,3.6 mol/mol,[57]
,,Ni/AC,5.4 mol/mol,[57]
,"600 °C, 24 MPa, WHSV = 3/h, 5 wt.%",—,0.3 mol/mol,[75]
,,Ni/γ-Al₂O₃,6.9 mol/mol,[75]
,"600–750 °C, 24 MPa, WHSV = 6–24/h, 50–200 g/L",Ru–Ni/γ-Al₂O₃,25.5–53.9 mol/kg,[99]
,"600–767 °C, 25 MPa, 15–60 s, 1.8–15 wt.%",—,5.7–11.5 mol/mol,[30]
,"700 °C, 24 MPa, WHSV = 6/h","Ru–Ni/γ-Al₂O₃, Ni/γ-Al₂O₃",50 mol/kg,[74]
,"750–800 °C, 22–33 MPa, 4–6.5 s, 10.1 wt.%",—,3 mol/mol,[100]
Organic waste,"600–750 °C, 24 MPa, WHSV = 3–12/h",Ru–Ni/γ-Al₂O₃,28.9–54.8 mol/kg,[99]
Corn cob,"650–775 °C, 22–25 MPa, 20–40 s, 3–12 wt.%",—,13–26.3 mol/kg,[10]
Wheat straw pulping black liquor,"400–600 °C, 25 MPa, 4.9–13.7 s, 3–9.5 wt.%",—,6.8–11.3 mol/kg,[60]
Biomassᵇ,"600 °C, 35 MPa, 18 s",—,4.9–20.2 mol/kg,[71]
,,K₂CO₃,18.5–32.1 mol/kg,[71]
,,Trona,18.9–31.1 mol/kg,[71]
"ᵃ Operating conditions (in the sequence) refers to temperature, pressure, residence time and feed concentration.
ᵇ Biomass indicates cauliflower residue, tomatoes residue, acorn, extracted acorn and hazelnut shell. AC: activated carbon, LHSV: liquid hourly space velocity, WHSV: weight hourly space velocity.",,,,
