Parameter,Aloe vera rind,Banana peel,Coconut shell,Lemon peel,Orange peel,Pineapple peel,Sugarcane bagasse
Table 1. Ultimate analysis of various agro-food residues.,,,,,,,
Ultimate analysis (wt%),,,,,,,
C,36.1,40.9,49.5,40.6,41.3,42.4,41.9
H,5.5,6.1,6.1,6.2,6.3,6.4,6.4
N,0.9,1.1,0.1,0.8,0.7,0.8,0.7
S,0.09,0.05,0.01,0.06,0.08,0.08,0.07
O,54.7,48.3,40.1,50,49.1,46.5,46.8
Atomic ratio,,,,,,,
H/C,1.82,1.79,1.47,1.84,1.83,1.82,1.84
O/C,1.14,0.89,0.61,0.92,0.89,0.82,0.84
N/C,0.021,0.87,0.002,0.016,0.015,0.016,0.014
Empirical formula,CH₁.₈₂O₁.₁₄N₀.₀₂,CH₁.₇₉O₀.₈₉N₀.₉,CH₁.₄₇O₀.₆₁N₀.₀₀₂,CH₁.₈₄O₀.₉₂N₀.₀₂,CH₁.₈₃O₀.₈₉N₀.₀₂,CH₁.₈₂O₀.₈₂N₀.₀₂,CH₁.₈₄O₀.₈₄N₀.₀₁
HHV (MJ/kg),13,15.7,18.9,15.2,15.7,15.2,15.7
Note: Oxygen (wt%) was calculated as (O = 100 − C − H − N − ash). The data presented here are average of triplicate measurements with standard error <3%.,,,,,,,
,,,,,,,
Table 2. FTIR peak assignments for various agro-food residues and derived biochars.,,,,,,,
Peaks (cm⁻¹),Assignments,,,,,,
"546, 603, 1506, 1550, 1588, 1650",C—C aromatics,,,,,,
"703, 716, 746, 1396, 1458, 2848, 2912",C—H alkanes,,,,,,
"829, 835, 869",C—H aromatics,,,,,,
"921, 1028, 1158","O—H alcohols, carboxylic acids, esters, ethers",,,,,,
1005,,,,,,,
1120,C—N aromatic amines,,,,,,
"1230, 1270",C—N aliphatic amines,,,,,,
1578,N—O nitro groups,,,,,,
1731,C=O aldehydes and ketones,,,,,,
2360,C≡N nitriles,,,,,,
,,,,,,,
"Table 3. Total gas yields, hydrogen selectivity, carbon gasification efficiency and lower heating value of gas products from SCWG of various agro-food residues at 23–25 MPa.",,,,,,,
Feedstock (or gasification conditions),Gasification conditions (or feedstock),Total gas yields (mmol/g),Hydrogen selectivity (%),Carbon gasification efficiency (%),Lower heating value (kJ/Nm³),,
"Orange peel, 1:5 BTW ratio, 45 min",400 °C,3.12,2.5,8.9,128,,
,500 °C,4.12,16.7,10.3,275,,
,600 °C,5.52,19.7,13.4,530,,
"Orange peel, 1:5 BTW ratio, 600 °C",15 min,3.99,28.1,7.2,494,,
,30 min,4.37,26.4,9.1,508,,
,45 min,5.52,19.7,13.4,530,,
"1:10 BTW ratio, 600 °C, 45 min",Aloe vera rind,7.36,29.6,18.9,870,,
,Banana peel,6.14,33.1,13.5,668,,
,Coconut shell,7.85,37.8,13.8,759,,
,Lemon peel,6.41,32,14.4,634,,
,Orange peel,6.72,32.2,14.8,722,,
,Pineapple peel,6.25,35.3,13.1,685,,
,Sugarcane bagasse,7.04,30.8,15.4,920,,
"Coconut shell, 1:10 BTW ratio, 600 °C",1 wt% K₂CO₃,10.4,38.4,18.2,1168,,
,1.5 wt% K₂CO₃,12.9,39.8,22.4,1442,,
,2 wt% K₂CO₃,15.2,45.8,25.3,1674,,
,2 wt% NaOH,14.6,39.5,25.3,1822,,
"1:10 BTW ratio, 600 °C, 45 min, 2 wt% K₂CO₃",Aloe vera rind,13.3,36.9,32.4,1411,,
,Banana peel,11.5,39.2,24.3,1137,,
,Coconut shell,15,45.8,25.3,1595,,
,Lemon peel,11.8,38.8,25.2,1178,,
,Orange peel,12.8,36.7,27.2,1289,,
,Pineapple peel,12.3,37.8,25.2,1195,,
,Sugarcane bagasse,14.8,41.8,29.9,1585,,
Note: The data presented here are average of triplicate measurements with standard deviation <3%.,,,,,,,
