Ultimate analysis (wt%),,,,,,,
C,36.1,40.9,49.5,40.6,41.3,42.4,41.9
H,5.5,6.1,6.1,6.2,6.3,6.4,6.4
N,0.9,1.1,0.1,0.8,0.7,0.8,0.7
S,0.09,0.05,0.01,0.06,0.08,0.08,0.07
O,54.7,48.3,40.1,50,49.1,46.5,46.8
Atomic ratio,,,,,,,
H/C,1.82,1.79,1.47,1.84,1.83,1.82,1.84
O/C,1.14,0.89,0.61,0.92,0.89,0.82,0.84
N/C,0.021,0.87,0.002,0.016,0.015,0.016,0.014
Empirical formula,CH₁.₈₂O₁.₁₄N₀.₀₂,CH₁.₇₉O₀.₈₉N₀.₉,CH₁.₄₇O₀.₆₁N₀.₀₀₂,CH₁.₈₄O₀.₉₂N₀.₀₂,CH₁.₈₃O₀.₈₉N₀.₀₂,CH₁.₈₂O₀.₈₂N₀.₀₂,CH₁.₈₄O₀.₈₄N₀.₀₁
HHV (MJ/kg),13,15.7,18.9,15.2,15.7,15.2,15.7
Note: Oxygen (wt%) was calculated as (O = 100 − C − H − N − ash). The data presented here are average of triplicate measurements with standard error <3%.,,,,,,,
