"1:4 BTW ratio, 45 min",450 °C,5.4,11.7,0.41
,550 °C,8.7,19,1.04
,650 °C,14.1,27.5,1.89
"1:8 BTW ratio, 45 min",450 °C,7,15.8,0.54
,550 °C,11.3,24.2,1.53
,650 °C,17.2,33,2.21
"1:4 BTW ratio, 650 °C",15 min,10.5,23.9,1.55
,30 min,11.9,25.7,1.6
,45 min,14.1,27.5,1.89
"1:8 BTW ratio, 650 °C",15 min,11.6,23.4,1.45
,30 min,13,27.4,1.74
,45 min,17.2,33,2.21
"1:8 BTW ratio, 650 °C, 45 min",1% Na₂CO₃,22.7,48.1,3.42
,2% Na₂CO₃,25.6,55.4,3.79
,3% Na₂CO₃,27.2,57.6,4.08
,1% K₂CO₃,21,42.6,3.07
,2% K₂CO₃,23.9,50.2,3.59
,3% K₂CO₃,28.8,58.1,4.14
,1% NaOH,22.3,45.5,2.9
,2% NaOH,25,52.4,3.62
,3% NaOH,28.5,61.3,4.68
,1% KOH,20.4,38.6,2.9
,2% KOH,23.7,45.8,3.49
,3% KOH,30.6,59.9,4.32
