Parameter,Timothy grass,Biochar-450,Biochar-550,Biochar-650
Proximate analysis in mass fraction (%),,,,
Moisture,6.2,3.5,2.9,2
Ash,4.1,8.6,10.1,13.2
Volatile matter,71.4,58.4,46.6,37.4
Fixed carbon,18.3,29.5,40.4,47.4
Ultimate analysis in mass fraction (%),,,,
C,47.4,61.2,69.7,75.1
H,6.8,5.4,4.1,3.7
N,1.4,1.2,1,0.7
S,0.1,0.05,0.04,0.04
O,40.4,23.6,15.1,7.3
Atomic ratio,,,,
H/C,1.7,1.1,0.7,0.6
O/C,0.6,0.3,0.2,0.1
N/C,0.025,0.017,0.012,0.008
HHV (MJ kg⁻¹),18.6,24.9,26.2,28.9
Empirical formula,CH₁.₇O₀.₆N₀.₀₂₅,CH₁.₁O₀.₃N₀.₀₁₇,CH₀.₇O₀.₂N₀.₀₁₂,CH₀.₆O₀.₁N₀.₀₀₈
