Parameters,Condition,Total gas yield (L/g),Carbon gasification efficiency (%),Lower heating value (KJ/m³),Unnamed: 5
"Table 1. Total gas yield, carbon gasification efficiency and lower heating value as functions of temperature, feed concentration and residence time.",,,,,
"Temperature (°C) [60 s, 4 wt% fructose]",550,0.2 ± 0.005,23,1281,
,600,0.4 ± 0.009,41,1785,
,650,0.72 ± 0.023,67,2037,
,700,1.04 ± 0.032,88,2482,
"Feed concentration (wt%) [700 °C, 60 s]",4,1.04 ± 0.032,88,2482,
,6,0.95 ± 0.029,85,2455,
,8,0.88 ± 0.031,80,2469,
,10,0.83 ± 0.03,76,2515,
"Residence time (s) [700 °C, 4 wt% fructose]",30,0.38 ± 0.011,40,1626,
,45,0.59 ± 0.017,62,1682,
,60,1.04 ± 0.032,88,2482,
,75,1.05 ± 0.034,94,2463,
Note: The data presented here are the average of triplicate measurements with standard deviation <5%.,,,,,
,,,,,
"Table 2. ¹H NMR integration of specific chemical shift regions in the liquid effluents obtained from the gasification of 4 wt% fructose at 550–700 °C, 25 MPa pressure and 60 s of residence time.",,,,,
Type of hydrogen component,Chemical shifts (ppm),550 °C (%),600 °C (%),650 °C (%),700 °C (%)
Percent of total hydrogen,,,,,
Aldehyde protons,10.0–9.0,5.6,3.4,2,0.7
Phenol and other aromatic protons,8.5–6.6,10.4,8.1,9.2,29.3
Vinylic and protons on diol carbons,6.6–5.1,3.8,3.1,1.6,2.9
Mostly CH₂ attached to oxygen,4.4–3.4,7,12,2,1.8
Aliphatic protons,3.4–0.7,73.2,82.5,85.2,65.3
,,,,,
"Table 3. Components identified through 2D NMR analysis of the liquid effluents obtained from the gasification of 4 wt% fructose at 550 °C and 700 °C, 25 MPa pressure with 60 s of residence time.",,,,,
Component,Effluents at 550 °C — Concentration [M] × 10⁻⁴,Effluents at 700 °C — Concentration [M] × 10⁻⁴,,,
Acetaldehyde (non-hydrated),67.6,1,,,
Acetaldehyde (hydrated),69.8,0.9,,,
Formic acid,1.3,5.2,,,
Phenol,2,5.3,,,
Hydroxquinone,5.2,0.1,,,
Methanol,31.2,10,,,
Acetone,22.6,6.7,,,
Acetic acid,106,0.1,,,
Propionic acid,31.7,1.1,,,
5-Hydroxymethylfurfural,64.7,ND,,,
2-Furaldehyde,55,ND,,,
Hydroxyacetone,139,ND,,,
Glycolaldehyde,24.7,ND,,,
Tetrahydrofuran,ND,10,,,
Ethyl acetate,ND,4.6,,,
Diethyl ether,ND,4.8,,,
3-Pentanone,10.3,0.4,,,
"Note: Not detected, ND.",,,,,
,,,,,
"Table 4. Total gas yield, carbon gasification efficiency and lower heating value as functions of catalyst concentration.",,,,,
Catalysts,Concentration (wt%),Total gas yield (L/g),Carbon gasification efficiency (%),Lower heating value (KJ/m³),
KOH,0,1.04 ± 0.032,88,2482,
,0.2,1.28 ± 0.037,90,2818,
,0.5,1.55 ± 0.043,93,3248,
,0.8,2.01 ± 0.062,98,3630,
NaOH,0,1.04 ± 0.032,88,2482,
,0.2,1.16 ± 0.035,91,2685,
,0.5,1.4 ± 0.043,94,3073,
,0.8,1.9 ± 0.063,97,3576,
Note: The gasification conditions involving KOH and NaOH were 700 °C and 60 s with 4 wt% fructose. The data presented here are the average of triplicate measurements with standard deviation <5%.,,,,,
