Component,Effluents at 550 °C — Concentration [M] × 10⁻⁴,Effluents at 700 °C — Concentration [M] × 10⁻⁴
Acetaldehyde (non-hydrated),67.6,1
Acetaldehyde (hydrated),69.8,0.9
Formic acid,1.3,5.2
Phenol,2,5.3
Hydroxquinone,5.2,0.1
Methanol,31.2,10
Acetone,22.6,6.7
Acetic acid,106,0.1
Propionic acid,31.7,1.1
5-Hydroxymethylfurfural,64.7,ND
2-Furaldehyde,55,ND
Hydroxyacetone,139,ND
Glycolaldehyde,24.7,ND
Tetrahydrofuran,ND,10
Ethyl acetate,ND,4.6
Diethyl ether,ND,4.8
3-Pentanone,10.3,0.4
"Note: Not detected, ND.",,
