Parameter,PW,PW-Ni,WS,WS-Ni
Table 1. Ultimate analysis of control and nickel-impregnated biomass.,,,,
Ultimate analysis (wt%),,,,
C,47.2,45.9,43.1,42.5
H,7.1,6.9,6.6,6.6
N,0.1,0.3,0.4,0.5
S,0.02,0.01,0.2,0.01
O,42.2,42.2,47.5,46.7
Atomic ratios,,,,
H/C,1.8,1.8,1.8,1.9
O/C,0.7,0.7,0.8,0.8
N/C,0.001,0.01,0.01,0.01
HHV (MJ/kg),18.3,19.6,17.2,17.9
Note: Oxygen (wt%) was calculated as (O = 100 − C − H − N − ash). The data presented here are average of triplicate measurements with standard error < 2.5%.,,,,
,,,,
Table 2. ICP-MS analysis of control and nickel-impregnated biomass.,,,,
Element (ppm),PW,PW-Ni,WS,WS-Ni
Li,0.2,0.03,0.4,0.3
Na,1775,30,1948,224
Mg,2225,9,1184,167
Al,114,46,97,120
P,4316,31,1135,312
K,8937,40,14488,344
Ca,3875,61,3623,521
Cr,1,1,0.9,1.3
Mn,60,2,17,3
Fe,252,160,213,105
Co,0.3,0.1,0.2,0.2
Ni,7,8996,4.9,12358
Cu,13,1,9.4,80
Zn,39,2,36,18
Sr,16,1,15,2
Pb,0.1,2,0.8,1
Note: The data presented here are average of replicate measurements with standard error < 2.5%.,,,,
,,,,
Table 3. Product yields from subcritical and supercritical water gasification of control and nickel-impregnated biomass at 23–25 MPa.,,,,
Biomass,Gasification conditions,Gas (wt%),Solid (wt%),Liquid (wt%)
PW (1:5 BTW ratio; 45 min),300 °C,0.99 ± 0.034,8.22 ± 0.275,71.6 ± 2.34
,400 °C,1.99 ± 0.066,7.56 ± 0.255,69.1 ± 2.81
,500 °C,2.62 ± 0.081,6.78 ± 0.231,67.8 ± 2.24
PW (1:10 BTW ratio; 45 min),300 °C,0.55 ± 0.014,8.46 ± 0.155,76.2 ± 2.52
,400 °C,1.11 ± 0.036,4.00 ± 0.135,80.1 ± 2.47
,500 °C,1.66 ± 0.051,3.11 ± 0.106,73.4 ± 2.43
WS (1:5 BTW ratio; 45 min),300 °C,1.25 ± 0.045,3.89 ± 0.136,72.2 ± 2.36
,400 °C,2.47 ± 0.082,3.67 ± 0.125,69.9 ± 2.31
,500 °C,3.37 ± 0.111,3.11 ± 0.106,66.6 ± 2.20
WS (1:10 BTW ratio; 45 min),300 °C,0.92 ± 0.031,3.67 ± 0.125,76.8 ± 2.53
,400 °C,1.83 ± 0.062,2.33 ± 0.109,75.4 ± 2.56
,500 °C,2.72 ± 0.077,2.56 ± 0.087,71.6 ± 2.36
PW-Ni (1:10 BTW ratio; 45 min),300 °C,1.1 ± 0.035,3.89 ± 0.132,76.7 ± 2.53
,400 °C,1.69 ± 0.057,3.11 ± 0.104,74.4 ± 2.46
,500 °C,2.45 ± 0.083,2.33 ± 0.079,71.4 ± 2.37
WS-Ni (1:10 BTW ratio; 45 min),300 °C,1.15 ± 0.039,3.11 ± 0.105,75.1 ± 2.43
,400 °C,2.5 ± 0.084,2.67 ± 0.092,72.8 ± 2.44
,500 °C,3.87 ± 0.132,2.0 ± 0.068,70.9 ± 2.34
PW-Ni (1:10 BTW ratio; 500 °C),15 min,1.54 ± 0.052,4.22 ± 0.143,75.4 ± 2.49
,30 min,2.02 ± 0.061,3.44 ± 0.117,74.2 ± 2.45
,45 min,2.45 ± 0.083,2.33 ± 0.079,71.4 ± 2.37
WS-Ni (1:10 BTW ratio; 500 °C),15 min,1.89 ± 0.064,3.22 ± 0.109,77.1 ± 2.54
,30 min,2.78 ± 0.095,2.78 ± 0.097,73.6 ± 2.43
,45 min,3.87 ± 0.132,2.0 ± 0.068,70.9 ± 2.34
,,,,
"Table 4. Total gas yields, carbon gasification efficiency and lower heating value of gas products from subcritical and supercritical water gasification of control and nickel-impregnated biomass at 23–25 MPa.",,,,
Biomass,Gasification conditions,Total gas yields (mmol/g),Lower heating value (kJ/Nm³),Carbon gasification efficiency (%)
PW (1:5 BTW ratio; 45 min),300 °C,1.4,96.6,1.8
,400 °C,3,236.4,3.7
,500 °C,4.3,373.7,4.9
PW (1:10 BTW ratio; 45 min),300 °C,1.7,122.4,4.1
,400 °C,3.6,311.1,8.3
,500 °C,5.7,550.1,12.8
WS (1:5 BTW ratio; 45 min),300 °C,1.9,138.4,2.5
,400 °C,4,332.5,5
,500 °C,6.1,564,6.9
WS (1:10 BTW ratio; 45 min),300 °C,2.9,215.1,7.4
,400 °C,6.6,555,14.7
,500 °C,10.9,1039.7,22.1
PW-Ni (1:10 BTW ratio; 45 min),300 °C,3.4,258.9,8.2
,400 °C,5.7,516.7,13.2
,500 °C,9.5,977.2,19.6
WS-Ni (1:10 BTW ratio; 45 min),300 °C,3.9,328.3,9.5
,400 °C,9.5,881.8,20.9
,500 °C,16.2,1671.2,32.6
PW-Ni (1:10 BTW ratio; 500 °C),15 min,4.8,377.1,11.7
,30 min,7.1,640.8,15.7
,45 min,9.5,977.2,19.6
WS-Ni (1:10 BTW ratio; 500 °C),15 min,6.7,529.9,15.2
,30 min,10.8,1018.3,23.1
,45 min,16.2,1671.2,32.6
Note: The data presented here are average of triplicate measurements with standard error < 3%.,,,,
