Biomass,Gasification conditions,Gas (wt%),Solid (wt%),Liquid (wt%)
PW (1:5 BTW ratio; 45 min),300 °C,0.99 ± 0.034,8.22 ± 0.275,71.6 ± 2.34
,400 °C,1.99 ± 0.066,7.56 ± 0.255,69.1 ± 2.81
,500 °C,2.62 ± 0.081,6.78 ± 0.231,67.8 ± 2.24
PW (1:10 BTW ratio; 45 min),300 °C,0.55 ± 0.014,8.46 ± 0.155,76.2 ± 2.52
,400 °C,1.11 ± 0.036,4.00 ± 0.135,80.1 ± 2.47
,500 °C,1.66 ± 0.051,3.11 ± 0.106,73.4 ± 2.43
WS (1:5 BTW ratio; 45 min),300 °C,1.25 ± 0.045,3.89 ± 0.136,72.2 ± 2.36
,400 °C,2.47 ± 0.082,3.67 ± 0.125,69.9 ± 2.31
,500 °C,3.37 ± 0.111,3.11 ± 0.106,66.6 ± 2.20
WS (1:10 BTW ratio; 45 min),300 °C,0.92 ± 0.031,3.67 ± 0.125,76.8 ± 2.53
,400 °C,1.83 ± 0.062,2.33 ± 0.109,75.4 ± 2.56
,500 °C,2.72 ± 0.077,2.56 ± 0.087,71.6 ± 2.36
PW-Ni (1:10 BTW ratio; 45 min),300 °C,1.1 ± 0.035,3.89 ± 0.132,76.7 ± 2.53
,400 °C,1.69 ± 0.057,3.11 ± 0.104,74.4 ± 2.46
,500 °C,2.45 ± 0.083,2.33 ± 0.079,71.4 ± 2.37
WS-Ni (1:10 BTW ratio; 45 min),300 °C,1.15 ± 0.039,3.11 ± 0.105,75.1 ± 2.43
,400 °C,2.5 ± 0.084,2.67 ± 0.092,72.8 ± 2.44
,500 °C,3.87 ± 0.132,2.0 ± 0.068,70.9 ± 2.34
PW-Ni (1:10 BTW ratio; 500 °C),15 min,1.54 ± 0.052,4.22 ± 0.143,75.4 ± 2.49
,30 min,2.02 ± 0.061,3.44 ± 0.117,74.2 ± 2.45
,45 min,2.45 ± 0.083,2.33 ± 0.079,71.4 ± 2.37
WS-Ni (1:10 BTW ratio; 500 °C),15 min,1.89 ± 0.064,3.22 ± 0.109,77.1 ± 2.54
,30 min,2.78 ± 0.095,2.78 ± 0.097,73.6 ± 2.43
,45 min,3.87 ± 0.132,2.0 ± 0.068,70.9 ± 2.34
