Biomass,Gasification conditions,Total gas yields (mmol/g),Lower heating value (kJ/Nm³),Carbon gasification efficiency (%)
PW (1:5 BTW ratio; 45 min),300 °C,1.4,96.6,1.8
,400 °C,3,236.4,3.7
,500 °C,4.3,373.7,4.9
PW (1:10 BTW ratio; 45 min),300 °C,1.7,122.4,4.1
,400 °C,3.6,311.1,8.3
,500 °C,5.7,550.1,12.8
WS (1:5 BTW ratio; 45 min),300 °C,1.9,138.4,2.5
,400 °C,4,332.5,5
,500 °C,6.1,564,6.9
WS (1:10 BTW ratio; 45 min),300 °C,2.9,215.1,7.4
,400 °C,6.6,555,14.7
,500 °C,10.9,1039.7,22.1
PW-Ni (1:10 BTW ratio; 45 min),300 °C,3.4,258.9,8.2
,400 °C,5.7,516.7,13.2
,500 °C,9.5,977.2,19.6
WS-Ni (1:10 BTW ratio; 45 min),300 °C,3.9,328.3,9.5
,400 °C,9.5,881.8,20.9
,500 °C,16.2,1671.2,32.6
PW-Ni (1:10 BTW ratio; 500 °C),15 min,4.8,377.1,11.7
,30 min,7.1,640.8,15.7
,45 min,9.5,977.2,19.6
WS-Ni (1:10 BTW ratio; 500 °C),15 min,6.7,529.9,15.2
,30 min,10.8,1018.3,23.1
,45 min,16.2,1671.2,32.6
Note: The data presented here are average of triplicate measurements with standard error < 3%.,,,,
