Proximate analysis (wt%),,,,
Moisture,8.4,2.6,2.3,1.9
Ash,16.7,29.8,36.9,41.5
Volatile matter,64.8,41.6,32.8,25.5
Fixed carbonᵃ,10.1,26,27.8,31.1
Ultimate analysis (wt%),,,,
C,45.9,69.4,70.1,71.1
H,6.4,4.6,3.4,2.7
N,1,1.8,1.6,1.4
S,0.1,0.04,0.04,0.05
Oᵇ,35.7,7.4,5.2,1.7
Atomic ratio,,,,
H/C,1.7,0.8,0.6,0.5
O/C,0.6,0.1,0.1,0.02
N/C,0.02,0.6,0.1,0.02
HHV (MJ/kg),18.8,28.4,27.6,26.9
"Note: HM-400, HM-500 and HM-600 represent biochars generated at 400, 500 and 600 °C, respectively. The data presented here are average of triplicate measurements with standard error <3%.
ᵃ Fixed carbon (wt%) = 100 − (moisture + volatile matter + ash).
ᵇ Oxygen (wt%) = 100 − (carbon + hydrogen + nitrogen + sulfur + ash).",,,,
