Feedstock,Organic elements (wt%),,,,,Atomic ratios,,,,HHV (MJ/kg)
,C,H,N,S,O,H/C,O/C,N/C,S/C,
Petcoke,74.1 ± 1.24,4.35 ± 0.13,1.61 ± 0.04,5.75 ± 0.15,10.59 ± 0.45,0.7,0.11,0.019,0.029,28.7 ± 1.16
Petcoke char – 350 °C,77.9 ± 1.48,3.99 ± 0.05,1.63 ± 0.03,5.78 ± 0.06,6.3 ± 0.06,0.61,0.06,0.02,0.028,30.8 ± 1.01
Petcoke char – 450 °C,79.6 ± 1.29,3.83 ± 0.11,1.65 ± 0.02,5.95 ± 0.11,4.07 ± 0.12,0.58,0.04,0.018,0.028,31.6 ± 1.04
Petcoke char – 550 °C,80.8 ± 1.85,3.30 ± 0.14,1.7 ± 0.01,6.02 ± 0.1,2.88 ± 0.08,0.49,0.03,0.018,0.028,32.1 ± 1.25
Petcoke char – 650 °C,81.7 ± 1.51,3.19 ± 0.08,1.71 ± 0.07,6.57 ± 0.12,1.03 ± 0.01,0.47,0.01,0.018,0.03,32.9 ± 1.54
Asphaltene,79.6 ± 1.62,7.31 ± 0.13,1.15 ± 0.05,6.21 ± 0.09,1.7 ± 0.002,1.1,0.02,0.012,0.029,34.5 ± 1.44
Asphaltene char – 650 °C,82.3 ± 1.65,2.89 ± 0.05,1.62 ± 0.02,7.33 ± 0.16,0.46 ± 0.03,0.42,0.004,0.017,0.033,38.1 ± 1.52
"Oxygen was determined as the difference of carbon, hydrogen, nitrogen, sulfur and ash.",,,,,,,,,,
