Gasification conditions,Temperature,Weight percent (%),Unnamed: 3,Unnamed: 4
"Table 1. Product yields from subcritical water (300 and 350 °C; 21 MPa), near-critical water (370 °C; 22 MPa) and supercritical water (450 and 550 °C; 23 MPa) gasification of pinecone.",,,,
,,Gas,Solid,Liquid
"Residence time: 30 min
Feed concentration: 25 wt%
Pressure range: 21–23 MPa",300 °C,0.98 ± 0.041,8.12 ± 0.216,73.4 ± 2.17
,350 °C,2.02 ± 0.026,7.66 ± 0.251,68.2 ± 1.86
,370 °C,2.51 ± 0.041,6.89 ± 0.194,67.7 ± 2.24
,450 °C,3.81 ± 0.065,6.21 ± 0.168,65.5 ± 2.98
,550 °C,4.06 ± 0.015,5.98 ± 0.104,64.4 ± 1.04
"Temperature: 550 °C
Feed concentration: 10 wt%
Pressure range: 23 MPa",15 min,1.48 ± 0.022,4.72 ± 0.149,77.7 ± 2.89
,30 min,2.92 ± 0.083,3.15 ± 0.107,73.2 ± 2.55
,45 min,3.15 ± 0.084,2.95 ± 0.081,69.4 ± 2.27
,60 min,3.85 ± 0.015,2.45 ± 0.014,64.7 ± 1.95
,,,,
"Table 2. Total gas yields and lower heating value of gas products from subcritical, near-critical and supercritical water gasification of pinecone.",,,,
Gasification conditions,Temperature / Catalyst,Total gas yields (mmol/g),Lower heating value (kJ/Nm³),
Feed concentration: 25 wt%; Residence time: 30 min; Pressure: 21–23 MPa,300 °C,2.6,58,
,350 °C,3.1,83,
,370 °C,3.7,248,
,450 °C,4.6,403,
,550 °C,5.9,661,
Temperature: 550 °C; Residence time: 30 min; Pressure: 23 MPa,10 wt%,6.1,360,
,15 wt%,6.2,493,
,20 wt%,5.6,505,
,25 wt%,5.9,661,
Temperature: 550 °C; Feed concentration: 10 wt%; Pressure: 23 MPa,15 min,5.6,352,
,30 min,6.1,360,
,45 min,6.4,440,
,60 min,6.6,488,
Temperature: 550 °C; Feed concentration: 30 wt%; Residence time: 60 min; Pressure: 23 MPa,Na₂CO₃,7.9,678,
,NaOH,9.2,850,
,KOH,10.2,1032,
,,,,
"Table 3. Proximate and ultimate analysis of pinecone and hydrochars derived from subcritical water (300 °C; 21 MPa), near-critical water (370 °C; 22 MPa) and supercritical water (550 °C; 23 MPa) gasification with 25 wt% feed concentration for 30 min.",,,,
Parameter,Pinecone,Hydrochar-300 °C,Hydrochar-370 °C,Hydrochar-550 °C
Proximate analysis in mass fraction (%),,,,
Moisture,5.5,3.4,2.9,2.4
Ash,2.5,3.8,4.3,5.2
Volatile matter,60.6,54,43.1,35.7
Fixed carbonᵃ,31.4,38.8,49.7,56.7
Ultimate analysis in mass fraction (%),,,,
C,50.8,65.9,73.8,83.2
H,6.3,6.2,5.9,3.6
N,1.02,1.2,1.5,1.7
S,0.18,0.1,0.07,0.05
Oᵇ,39.2,22.8,14.4,6.2
Atomic ratio,,,,
