,,Gas,Solid,Liquid
"Residence time: 30 min
Feed concentration: 25 wt%
Pressure range: 21–23 MPa",300 °C,0.98 ± 0.041,8.12 ± 0.216,73.4 ± 2.17
,350 °C,2.02 ± 0.026,7.66 ± 0.251,68.2 ± 1.86
,370 °C,2.51 ± 0.041,6.89 ± 0.194,67.7 ± 2.24
,450 °C,3.81 ± 0.065,6.21 ± 0.168,65.5 ± 2.98
,550 °C,4.06 ± 0.015,5.98 ± 0.104,64.4 ± 1.04
"Temperature: 550 °C
Feed concentration: 10 wt%
Pressure range: 23 MPa",15 min,1.48 ± 0.022,4.72 ± 0.149,77.7 ± 2.89
,30 min,2.92 ± 0.083,3.15 ± 0.107,73.2 ± 2.55
,45 min,3.15 ± 0.084,2.95 ± 0.081,69.4 ± 2.27
,60 min,3.85 ± 0.015,2.45 ± 0.014,64.7 ± 1.95
