Condition,H₂/CO (mol/mol),CH₄/H₂ (mol/mol),TGY (mol/kg of Feed),SGY (mol/kg of Feed),LHV (kJ/m³)
Table 1. Influence of process conditions on the gas yields and quality obtained from SCWG of canola hull pellets.,,,,,
Effect of temperature (T) on 10 wt% biomass for 30 min,,,,,
T = 350 °C,0.74 ± 0.02,1.05 ± 0.02,2.23 ± 0.06,0.94 ± 0.02,151.6 ± 4.51
T = 450 °C,1.57 ± 0.06,0.82 ± 0.02,2.96 ± 0.08,1.18 ± 0.03,173.1 ± 5.18
T = 550 °C,5.54 ± 0.15,0.40 ± 0.01,4.80 ± 0.14,2.42 ± 0.07,159.4 ± 6.75
T = 650 °C,14.41 ± 0.34,0.31 ± 0.01,6.35 ± 0.19,3.39 ± 0.15,152.6 ± 3.5
Effect of feed concentration (FC) at 650 °C for 30 min,,,,,
FC = 10 wt%,14.41 ± 0.34,0.31 ± 0.01,6.35 ± 0.19,3.39 ± 0.15,152.6 ± 4.51
FC = 15 wt%,7.69 ± 0.26,0.47 ± 0.02,6.17 ± 0.24,3.04 ± 0.02,170.7 ± 5.45
FC = 20 wt%,4.33 ± 0.12,0.88 ± 0.04,6.11 ± 0.54,2.56 ± 0.07,204.4 ± 6.15
FC = 25 wt%,2.64 ± 0.1,1.25 ± 0.04,5.59 ± 0.12,2.15 ± 0.02,226.5 ± 4.58
Effect of residence time (t) on 10 wt% biomass at 650 °C,,,,,
T = 15 min,4.17 ± 0.08,0.33 ± 0.04,4.00 ± 0.02,2.17 ± 0.05,156.0 ± 4.35
T = 30 min,14.41 ± 0.34,0.31 ± 0.01,6.35 ± 0.09,3.39 ± 0.15,152.6 ± 4.51
T = 45 min,20.37 ± 0.49,0.32 ± 0.05,8.06 ± 0.05,4.06 ± 0.09,150.6 ± 5.36
T = 60 min,40.10 ± 0.64,0.41 ± 0.01,9.97 ± 0.08,4.11 ± 0.05,146.7 ± 2.39
TGY: total gas yield; SGY: synthesis gas yield; LHV: lower heating value.,,,,,
,,,,,
Table 2. ICP-MS results for biochar samples produced from steam and SCW gasification of canola hull fuel pellets.,,,,,
Elements,"Biochar
(T = 650 °C/SBR = 0.31)","Biochar
(T = 750 °C/SBR = 0.47)","Biochar
(T = 850 °C/SBR = 0.62)","Biochar
(SCW-650 °C, 10 wt%, 60 min)",
Essential elements (mg/g of biochar),,,,,
Na,3,5,8,4,
K,12,17,22,10,
Mg,9,12,17,7,
Ca,7,11,17,4,
P,13,13,27,13,
Fe,3,3,5,3,
Total (essential elements),47,61,96,41,
Heavy/toxic elements (mg/g of biochar),,,,,
Al,<1,<1,<1,<1,
Cr,<1,<1,1,<1,
Cu,1,<1,<1,<1,
Mn,<1,<1,<1,<1,
Mo,<1,<1,<1,<1,
Ni,<1,<1,<1,<1,
Zn,<1,<1,<1,<1,
Total (heavy elements),2.2,2.1,2.6,1.2,
¹ T: gasification temperature and SBR: steam-to-biomass ratio.,,,,,
