Experimental factors,Level 1,Level 2,Level 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Table 1. The levels and operating parameters used to design the experiment using Taguchi design methodology.,,,,,,,,,
Temperature (°C),300,400,500,,,,,,
Residence time (min),15,30,45,,,,,,
Feed concentration (wt%),10,15,20,,,,,,
Biomass particle size (mm),A (0.13 mm),B (0.8 mm),,,,,,,
Note: Not applicable (n/a) because this factor (biomass particle size) contains only two levels.,,,,,,,,,
,,,,,,,,,
Table 2. L18 Orthogonal array to study the effect of process parameters on H₂ yield and the experimental results.,,,,,,,,,
Experimental run,Biomass particle size (mm),Temperature (°C),Residence time (min),Feed concentration (wt%),H₂ yield (mmol/g),Total gas yield (mmol/g),H₂ selectivity (%),LHV (kJ/Nm³),CGE (%)
1,A (0.13 mm),300,15,10,0.05,1.66,29.7,369,34.7
2,A (0.13 mm),300,30,15,0.4,2.32,20.9,252,27.9
3,A (0.13 mm),300,45,20,0.26,1.71,18.3,144,20.8
4,A (0.13 mm),400,15,10,2.64,6.36,64,1036,59.1
5,A (0.13 mm),400,30,15,1.62,3.33,59.7,707,38.9
6,A (0.13 mm),400,45,20,0.36,1.12,48.1,778,15.2
7,A (0.13 mm),500,15,15,3.32,6.18,85.8,1018,55.1
8,A (0.13 mm),500,30,20,1.86,3.89,83,553,32.1
9,A (0.13 mm),500,45,10,5.26,11.88,54,1541,74.1
10,B (0.8 mm),300,15,20,0.04,0.55,8,44,8.3
11,B (0.8 mm),300,30,10,0.81,3.43,30.8,403,38.1
12,B (0.8 mm),300,45,15,0.35,1.81,23.6,154,21.2
13,B (0.8 mm),400,15,15,1.1,1.1,61.1,319,32.8
14,B (0.8 mm),400,30,20,1.33,3.32,66.7,378,28.9
15,B (0.8 mm),400,45,10,1.51,4.81,45.9,719,46.8
16,B (0.8 mm),500,15,20,1.97,4.98,65.6,671,42.9
17,B (0.8 mm),500,30,10,3.25,9.91,48.8,1486,64.6
18,B (0.8 mm),500,45,15,3.31,8.12,69,1023,68.4
Predicted H₂ yield at optimum conditions,A (0.13 mm),500,45,10,4.05,—,—,—,—
Note: All the experiments were performed in triplicates with a standard deviation of less than 3%.,,,,,,,,,
,,,,,,,,,
Table 3. Proximate and ultimate analyses of PBW and its hydrochars produced at different temperatures with 10 wt% feed concentration in 45 min of reaction time and biomass particle size of 0.13 mm.,,,,,,,,,
Ultimate Analysis,,,,,,,,,
Fraction,Partially burnt wood,Hydrochar-300°C,Hydrochar-400°C,Hydrochar-500°C,,,,,
Carbon (wt%),85,88.9,90.4,91,,,,,
Hydrogen (wt%),3.7,3.7,3.2,2.9,,,,,
Nitrogen (wt%),0.4,0.2,0.3,1.9,,,,,
Sulfur (wt%),0.1,0.03,0.02,0.01,,,,,
Oxygen (wt%),10.8,7.1,6,4.2,,,,,
H/C atomic ratio,0.5,0.5,0.4,0.4,,,,,
O/C atomic ratio,0.1,0.06,0.05,0.03,,,,,
N/C atomic ratio,0.004,0.002,0.003,0.018,,,,,
S/C atomic ratio,0.0004,0.0001,0,0,,,,,
HHV (MJ/kg),34.5,35.6,36.4,38.6,,,,,
Empirical formula,CH₀.₅O₀.₁N₀.₀₀₄S₀.₀₀₀₄,CH₀.₅O₀.₀₆N₀.₀₀₂S₀.₀₀₀₁,CH₀.₄O₀.₀₅N₀.₀₀₃,CH₀.₄O₀.₀₃N₀.₀₁₈,,,,,
Proximate Analysis,,,,,,,,,
Fraction,Partially burnt wood,Hydrochar-300°C,Hydrochar-400°C,Hydrochar-500°C,,,,,
Moisture (wt%),3.1,2.7,1.6,1.1,,,,,
Volatile matter (wt%),21.9,20.2,18.8,16.3,,,,,
Ash content (wt%),1.6,1.7,1.9,2.2,,,,,
Fixed carbon (wt%),73.5,75.4,77.7,80.5,,,,,
