Experimental run,Biomass particle size (mm),Temperature (°C),Residence time (min),Feed concentration (wt%),H₂ yield (mmol/g),Total gas yield (mmol/g),H₂ selectivity (%),LHV (kJ/Nm³),CGE (%)
1,A (0.13 mm),300,15,10,0.05,1.66,29.7,369,34.7
2,A (0.13 mm),300,30,15,0.4,2.32,20.9,252,27.9
3,A (0.13 mm),300,45,20,0.26,1.71,18.3,144,20.8
4,A (0.13 mm),400,15,10,2.64,6.36,64,1036,59.1
5,A (0.13 mm),400,30,15,1.62,3.33,59.7,707,38.9
6,A (0.13 mm),400,45,20,0.36,1.12,48.1,778,15.2
7,A (0.13 mm),500,15,15,3.32,6.18,85.8,1018,55.1
8,A (0.13 mm),500,30,20,1.86,3.89,83,553,32.1
9,A (0.13 mm),500,45,10,5.26,11.88,54,1541,74.1
10,B (0.8 mm),300,15,20,0.04,0.55,8,44,8.3
11,B (0.8 mm),300,30,10,0.81,3.43,30.8,403,38.1
12,B (0.8 mm),300,45,15,0.35,1.81,23.6,154,21.2
13,B (0.8 mm),400,15,15,1.1,1.1,61.1,319,32.8
14,B (0.8 mm),400,30,20,1.33,3.32,66.7,378,28.9
15,B (0.8 mm),400,45,10,1.51,4.81,45.9,719,46.8
16,B (0.8 mm),500,15,20,1.97,4.98,65.6,671,42.9
17,B (0.8 mm),500,30,10,3.25,9.91,48.8,1486,64.6
18,B (0.8 mm),500,45,15,3.31,8.12,69,1023,68.4
Predicted H₂ yield at optimum conditions,A (0.13 mm),500,45,10,4.05,—,—,—,—
Note: All the experiments were performed in triplicates with a standard deviation of less than 3%.,,,,,,,,,
