Ultimate Analysis,,,,
Fraction,Partially burnt wood,Hydrochar-300°C,Hydrochar-400°C,Hydrochar-500°C
Carbon (wt%),85,88.9,90.4,91
Hydrogen (wt%),3.7,3.7,3.2,2.9
Nitrogen (wt%),0.4,0.2,0.3,1.9
Sulfur (wt%),0.1,0.03,0.02,0.01
Oxygen (wt%),10.8,7.1,6,4.2
H/C atomic ratio,0.5,0.5,0.4,0.4
O/C atomic ratio,0.1,0.06,0.05,0.03
N/C atomic ratio,0.004,0.002,0.003,0.018
S/C atomic ratio,0.0004,0.0001,0,0
HHV (MJ/kg),34.5,35.6,36.4,38.6
Empirical formula,CH₀.₅O₀.₁N₀.₀₀₄S₀.₀₀₀₄,CH₀.₅O₀.₀₆N₀.₀₀₂S₀.₀₀₀₁,CH₀.₄O₀.₀₅N₀.₀₀₃,CH₀.₄O₀.₀₃N₀.₀₁₈
Proximate Analysis,,,,
Fraction,Partially burnt wood,Hydrochar-300°C,Hydrochar-400°C,Hydrochar-500°C
Moisture (wt%),3.1,2.7,1.6,1.1
Volatile matter (wt%),21.9,20.2,18.8,16.3
Ash content (wt%),1.6,1.7,1.9,2.2
Fixed carbon (wt%),73.5,75.4,77.7,80.5
