,L: Lignin (wt%),G: Glycerol (wt%),A: L-proline (wt%),Relaxed Density (kg/m³),Durability# (%)
1,4,6,4,769 (±17),64 (±2)
2,6,8,2,874 (±15),89 (±1)
3,6,8,2,889 (±14),92 (±1)
4,6,8,2,907 (±20),90 (±2)
5,6,8,2,898 (±15),90 (±1)
6,6,8,0,840 (±17),79 (±2)
7,8,10,0,933 (±21),74 (±1)
8,4,10,0,778 (±14),69 (±2)
9,6,8,2,892 (±11),91 (±2)
10,6,6,2,873 (±16),84 (±1)
11,8,6,4,940 (±16),91 (±1)
12,4,6,0,744 (±13),53 (±2)
13,4,10,4,882 (±20),79 (±2)
14,8,8,2,1015 (±17),99 (±2)
15,6,10,2,917 (±19),92 (±1)
16,6,8,4,887 (±21),90 (±1)
17,6,8,2,881 (±12),88 (±1)
18,8,6,0,911 (±19),77 (±2)
19,8,10,4,963 (±17),88 (±2)
20,4,8,2,871 (±15),85 (±1)
"* Factorial runs: 1, 7, 8, 11, 12, 13, 18, and 19; Axial runs: 6, 10, 14, 15, 16, and 20; Center runs (including 5 repeats): 2, 3, 4, 5, 9, and 17.
# Durability by drop test.
Abbreviations — L: alkali lignin; G: glycerol; A: L-proline (amino acid). All pellets were prepared using a water concentration of 4 wt%.",,,,,
