"500 °C, 40 min, 20 wt% and 23–25 MPa",Canola hull,20.6,22.1,3506
,Canola meal,24.8,24.9,3663
,Canola straw,25.4,27.9,3476
"Canola straw (40 min, 20 wt% and 23–25 MPa)",350 °C,13.4,20.3,1152
,400 °C,16.2,25.9,1609
,450 °C,22,27.5,2866
,500 °C,25.4,27.9,3476
"Canola straw (500 °C, 20 wt% and 23–25 MPa)",20 min,18.2,23.1,2541
,40 min,25.7,27.5,3520
,60 min,27.3,27.1,3566
,80 min,26.4,26.6,3638
"Canola straw (500 °C, 60 min and 23–25 MPa)",10 wt%,29.7,27.4,4271
,15 wt%,28.4,27.2,3964
,20 wt%,27.3,27.1,3566
,25 wt%,22,23.7,3029
