Content,Canola straw,Canola hull,Canola meal,Canola straw hydrochar (350 °C),Canola straw hydrochar (500 °C),Canola hull hydrochar (500 °C),Canola meal hydrochar (500 °C)
Carbon (wt%),46.3,43.8,50.6,69.4,71.1,50.9,54.3
Hydrogen (wt%),6.8,6,5.5,4.7,3.3,2.8,3.1
Nitrogen (wt%),0.9,1.3,6.4,0.7,0.9,0.5,4
Sulfur (wt%),0.4,0.8,1,0.8,0.9,3.2,0.6
Oxygen (wt%),45.6,48.1,36.5,24.4,23.9,42.6,38
HHV (MJ/kg),18.9,18.1,20.5,24.5,24,17.9,19
Cellulose (wt%),46.2,41,7.9,–,–,–,–
Hemicellulose (wt%),29.2,16.4,3.6,–,–,–,–
Lignin (wt%),14.2,10,9,–,–,–,–
Crude protein (wt%),–,–,34,–,–,–,–
Note: Oxygen content was calculated on an ash-free basis. Hydrochar samples were generated from SCWG with 20 wt% feed concentration in 40 min under 23–25 MPa pressure.,,,,,,,
