Parameter,Cornstalk,Pinewood sawdust,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Table 1. The compositions of cornstalk and pinewood sawdust used for this study.,,,,,,
"Proximate analysis (wt%, d.b.ᵃ)",,,,,,
Volatile matters,89.11,85.12,,,,
Fixed carbon,7.2,13.32,,,,
Ash,3.69,1.56,,,,
"Ultimate analysis (wt%, d.b.ᵃ)",,,,,,
C,45.01,48.46,,,,
H,5.67,4.89,,,,
N,1.5,0.05,,,,
S,–,–,,,,
Oᵇ,45.38,46.6,,,,
"Component analysis (wt%, d.b.ᵃ)",,,,,,
Cellulose,32.31,40.2,,,,
Hemicellulose,32.58,21.9,,,,
Lignin,18.57,28.2,,,,
"ᵃ On dry base.
ᵇ By difference.",,,,,,
,,,,,,
Table 2. Estimated reaction rate constants and activation energy of the proposed reaction pathways for SCWG of individual model compound.,,,,,,
Model compound / Rate constant,Rate constants (min⁻¹),,,Activation energy Eₐ (kJ/mol),,
,450 °C,500 °C,550 °C,,,
Cellulose,,,,,,
k₁,1.89E-02,1.99E-02,3.42E-02,28.79,,
k₂,2.80E-04,4.80E-04,6.70E-04,43.34,,
k₃,0,2.20E-04,4.40E-04,73.35,,
k₄,5.50E-02,1.48E-01,4.50E-01,103.73,,
k₅,0,1.80E-04,8.20E-04,160.47,,
k₆,8.80E-01,8.94E-01,1.05E+00,8.6,,
k₇,3.95E-03,1.27E-02,2.91E-02,99.03,,
k₈,4.50E-04,1.56E-03,2.64E-03,88.2,,
k₉,1.52E+00,1.55E+00,1.47E+00,–,,
Lignin,,,,,,
k₁,4.00E-05,6.00E-04,7.00E-04,144.17,,
k₂,1.30E-04,3.50E-04,3.60E-04,51.36,,
k₃,1.42E-02,6.68E-02,1.24E-01,108.23,,
k₄,2.46E-02,9.19E-02,1.80E-01,99.01,,
k₅,3.07E-02,9.13E-02,1.03E-01,609.76,,
k₆,9.69E-02,2.67E-01,3.01E-01,57.02,,
k₇,1.77E-01,1.85E-01,2.16E-01,9.7,,
k₈,7.00E-02,8.84E-02,1.31E+00,141.91,,
k₉,8.16E-01,1.04E+00,9.15E-01,–,,
Xylan,,,,,,
k₁,0,1.00E-05,1.50E-04,286.58,,
k₂,0,3.10E-04,8.70E-04,109.2,,
k₃,1.06E-02,1.23E-01,1.31E-01,126.9,,
k₄,7.51E-02,1.62E-01,3.95E-01,81.89,,
k₅,1.66E-01,1.70E-01,3.18E-01,31.63,,
k₆,5.52E-01,5.62E-01,6.07E-01,4.56,,
k₇,5.33E-02,1.39E-01,2.27E-01,72.1,,
k₈,6.56E-02,3.86E-01,6.23E-01,112.64,,
k₉,1.98E+00,1.45E+00,1.35E+00,–,,
,,,,,,
Table 3. The total gas yield and yield of each gaseous species obtained from catalytic SCWG of various model compounds at 450 °C for 10–50 min.,,,,,,
Biomass,Reaction time (min),Total gas yield (mmol/g),Yield of each gaseous species (mmol/g),,,
,,,H₂,CH₄,CO,CO₂
Cellulose,10,4.3,0.61,0.12,0.16,3.41
Cellulose,30,4.22,0.65,0.16,0.16,3.25
Cellulose,50,4.23,0.58,0.13,0.12,3.22
Lignin,10,2.46,0.56,0.26,0,1.64
Lignin,30,2.52,0.65,0.3,0,1.57
Lignin,50,2.59,0.62,0.29,0,1.68
Xylan,10,3.8,0.46,0.15,0.17,3.02
Xylan,30,3.96,0.55,0.16,0.15,3.1
Xylan,50,4.37,0.68,0.15,0.15,3.39
,,,,,,
Table 4. The total gas yield and yield of each gaseous species obtained from catalytic SCWG of various model compounds at 500 °C for 10–50 min.,,,,,,
Biomass,Reaction time (min),Total gas yield (mmol/g),Yield of each gaseous species (mmol/g),,,
,,,H₂,CH₄,CO,CO₂
Cellulose,10,4.78,0.64,0.41,0.12,3.61
Cellulose,30,6.08,0.85,0.69,0.24,4.3
Cellulose,50,6.16,0.96,0.82,0.17,4.21
Lignin,10,5.8,1.48,0.87,0,3.45
Lignin,30,6.43,1.6,1.18,0,3.65
Lignin,50,6.22,1.74,0.93,0,3.55
Xylan,10,4.94,1.15,0.4,0.14,3.25
Xylan,30,5.58,1.26,0.66,0.15,3.51
Xylan,50,5.15,1.5,0.17,0.3,3.18
,,,,,,
Table 5. The total gas yield and yield of each gaseous species obtained from catalytic SCWG of various model compounds at 550 °C for 10–50 min.,,,,,,
Biomass,Reaction time (min),Total gas yield (mmol/g),Yield of each gaseous species (mmol/g),,,
,,,H₂,CH₄,CO,CO₂
Cellulose,10,8.5,1.76,1.45,0.18,5.11
Cellulose,30,9.5,1.93,2.1,0.24,5.23
Cellulose,50,10.25,2.11,2.16,0.17,5.51
Lignin,10,8.74,2.45,1.81,0,4.48
Lignin,30,10.03,2.91,2.31,0,4.81
Lignin,50,9.71,2.5,2.33,0,4.88
Xylan,10,8.67,2.13,1.69,0.28,4.57
