Model compound / Rate constant,Rate constants (min⁻¹),,,Activation energy Eₐ (kJ/mol)
,450 °C,500 °C,550 °C,
Cellulose,,,,
k₁,1.89E-02,1.99E-02,3.42E-02,28.79
k₂,2.80E-04,4.80E-04,6.70E-04,43.34
k₃,0,2.20E-04,4.40E-04,73.35
k₄,5.50E-02,1.48E-01,4.50E-01,103.73
k₅,0,1.80E-04,8.20E-04,160.47
k₆,8.80E-01,8.94E-01,1.05E+00,8.6
k₇,3.95E-03,1.27E-02,2.91E-02,99.03
k₈,4.50E-04,1.56E-03,2.64E-03,88.2
k₉,1.52E+00,1.55E+00,1.47E+00,–
Lignin,,,,
k₁,4.00E-05,6.00E-04,7.00E-04,144.17
k₂,1.30E-04,3.50E-04,3.60E-04,51.36
k₃,1.42E-02,6.68E-02,1.24E-01,108.23
k₄,2.46E-02,9.19E-02,1.80E-01,99.01
k₅,3.07E-02,9.13E-02,1.03E-01,609.76
k₆,9.69E-02,2.67E-01,3.01E-01,57.02
k₇,1.77E-01,1.85E-01,2.16E-01,9.7
k₈,7.00E-02,8.84E-02,1.31E+00,141.91
k₉,8.16E-01,1.04E+00,9.15E-01,–
Xylan,,,,
k₁,0,1.00E-05,1.50E-04,286.58
k₂,0,3.10E-04,8.70E-04,109.2
k₃,1.06E-02,1.23E-01,1.31E-01,126.9
k₄,7.51E-02,1.62E-01,3.95E-01,81.89
k₅,1.66E-01,1.70E-01,3.18E-01,31.63
k₆,5.52E-01,5.62E-01,6.07E-01,4.56
k₇,5.33E-02,1.39E-01,2.27E-01,72.1
k₈,6.56E-02,3.86E-01,6.23E-01,112.64
k₉,1.98E+00,1.45E+00,1.35E+00,–
