Feedstock,Temp (°C),Pressure (MPa),Residence time (min),Catalyst,Ref,Unnamed: 6
Table 1. Recent studies on SCWG of biomass between years 2019–2014.,,,,,,
Food waste,550–850,23–30,1–15,/,[132],
Oil palm frond,400,25,30,Ni/MgO (supported); Zn/MgO (supported); Ni/MgO (doped); Zn/MgO (doped),[133],
Chlorella sp.,355–405,28,30,Ni/rGO; Cu/rGO; Co/rGO; Mn/rGO; Cr/rGO,[134],
Wheat straw,300–550,21–23,40–70,Ru/Al₂O₃; Ni–Si–Al₂O₃,[135],
Chlorella sp.,355–405,17.5–26.5,15–45,NiO/SiO₂; MnO₂/SiO₂,[136],
Corn stalk depolymerization residual,650,22.5,30,/,[137],
Sugarcane bagasse,600–750,23–25,5–20,K₂CO₃; Na₂CO₃; Raney-Ni,[138],
Athabasca bitumen,550–700,23,15–60,FeCl₃; ZnCl₂; Ni/Si–Al₂O₃; Ru/Al₂O₃,[139],
Chlorella sp.,380,22.5,30,/,[140],
Oil palm frond,380,22.1,8–32,ZnO/MgO; CuO/MgO; ZnO/MgO,[141],
Enteromorpha intestinalis,400–440,25,0–60,Ni–Fe/Al₂O₃; Ru–Ni–Fe/Al₂O₃,[142],
Microcystins (4 species),350–450,23,0–60,/,[143],
Timothy grass,450–600,23–25,15–45,Na₂CO₃; K₂CO₃; NaOH; KOH,[27],
Cladophora glomerata,380–460,27,5–30,Algal hydrochar,[144],
Almond/barley/canola/rice/walnut/wheat straw,440,25,15,/,[145],
Canola meal; wheat straw; timothy grass,650,26,50,Na₂CO₃; K₂CO₃; Ni–Ce/Al₂O₃; Ni/Al₂O₃; Ru/Al₂O₃,[65],
Horse manure,400–600,23–25,15–45,NaOH; Na₂CO₃; K₂CO₃,[146],
Fruit pulp,400–600,25,0–60,Ru/C,[147],
Pinewood and wheat straw,300–500,23–25,15–45,/,[98],
Aloe vera/banana/coconut/lemon/orange/pineapple/sugarcane,400–600,23–25,15–45,NaOH; K₂CO₃,[148],
Rice straw,400–440,26,10–30,/,[149],
Chlorella vulgaris; Scenedesmus quadricauda,385,26,15,Ni/Al₂O₃; Raney-Ni,[150],
Pinewood,300–550,23–25,20–60,Ni/Al₂O₃; Ru/Al₂O₃; NaOH; KOH,[151],
Pine/fir tree sawdust,500–600,20–42.5,60,K₂CO₃,[152],
Almond/walnut/wheat straw,440,25,15,/,[153],
Empty fruit bunches,380,24,8,/,[154],
Bagasse,400,24,15,Ni–Cu/Al₂O₃,[155],
Pinewood,400–550,/,30,Ni/CeO₂–Al₂O₃; KOH; dolomite; olivine,[30],
Peanut shell,400,22–24,20,LiOH; KOH; NaOH; Ca(OH)₂; Na₂CO₃; K₂CO₃; Raney-Ni,[156],
Microcystins (4 species),500,22,30,/,[157],
Residue from eucalyptus,400,37,5,Ru/G,[158],
Sugarcane bagasse and citrus fruit peel,300–500,22–25,50,Raney Ni,[159],
Waste cooking oil,375–675,23–25,15–60,Ru/Al₂O₃; Ni/Si–Al₂O₃; K₂CO₃; Na₂CO₃,[16],
Olive oil mill waste,550–700,23,14.6–52.8 s,/,[160],
Olive mill wastewater,530,25,20,KOH; K₂CO₃; NaOH; Na₂CO₃,[161],
Olive mill wastewater,400–600,25,30–150 s,Ni/Al₂O₃; Ru/Al₂O₃,[71],
Food wastes,400–450,32–50,60,Trona; K₂CO₃; Seaweed ash,[162],
Sewage sludge,500–600,25,5–60 s,/,[163],
Scenedesmus Dimorphus,550,25,45,/,[164],
Municipal waste leachate,550,25,20–60,Ni/Al₂O₃,[165],
Black liquor,600–700,25,22.5,/,[166],
Acutodesmus obliquus,600–690,28,140–150 s,/,[167],
Primary paper waste sludge,450,27,15–120,Ni/Al₂O₃–SiO₂; K₂CO₃,[168],
,,,,,,
"Table 2. Previous studies investigating on SCWG of cellulose, glucose, and fructose.",,,,,,
Temp (°C),Pressure (MPa),Feedstock concentration,Residence time (min),Catalyst,Ref,
Cellulose,,,,,,
300–600,9–41,0.45 M,60,K₂CO₃,[99],
650,26,16.7 wt%,50,Ni–Ce/Al₂O₃; Na₂CO₃; K₂CO₃; Ni/Al₂O₃; Ru/Al₂O₃,[65],
400–550,10–16.5 (initial pressure),12.5–25 wt%,30,Ni/CeO₂–Al₂O₃; KOH; dolomite; olivine,[30],
380,35.5,2 wt%,5–60,Raney nickel; Ni/Al₂O₃; Ru/C; Ru/Al₂O₃,[100],
500–600,0.05–0.18 g/cm³ (water density),5–33.3,10,/,[169],
365–600,0–0.18 g/cm³ (water density),1–33.3 wt%,2.5–30,/,[171],
302–405,27.6,2.7 wt%,2.5–8.1 s,K₂CO₃,[172],
400–600,0.05–0.08 g/cm³ (water density),5–33.3 wt%,2.5–30 s,/,[173],
500,/,9.1 wt%,20,Ru/C; Ph/C; nano-(CeZr)xO₂; nano-CeO₂; CeO₂,[174],
400,0.33 g/cm³ (water density),4.8 wt%,15,Ru/TiO₂; Ni/Al₂O₃,[70],
Glucose,,,,,,
400–500,28,0.25 M,5–120,Ni/Al₂O₃; La₂O₃/Al₂O₃; Ni–La₂CO₃/Al₂O₃,[73],
300–400,10–25,10–30 wt%,10–60,Ca(OH)₂; Na₂CO₃,[74],
500,23–24,10 wt%,30,Ni/ZrYO₂-s; Ni/ZrCeYO₂-s,[75],
400,24.1–25.6,10 wt%,20,Ni/MgO; Ni/ZnO; Ni/Al₂O₃; Ni/TiO₂,[76],
600,25,10 wt%,10,CeO₂; MnO₂; ZrO₂; Co₂O₃; V₂O₅; Cr₂O₃; Fe₂O₃; CuO; MoO₃; SnO₂; WO₃; ZnO,[77],
400–500,25–35,45 kg/m³,30–150,Ru–Ni/Al₂O₃ aerogel; Ni/Al₂O₃ aerogel; Ru–Ni/Al₂O₃ impregnated; Ru–Ni/Al₂O₃ xerogel,[78],
450,25,0.25 M,30,Ni/Al₂O₃; La₂O₃/Al₂O₃; Ni–La₂O₃/Al₂O₃,[79],
500,25,0.25 M,30,Ru–Ni/Al₂O₃,[80],
500,23,5 wt%,30 s,Nickel wire,[175],
500,0.11 g/cm³ (water density),5 wt%,10–1800 s,Ru/Al₂O₃,[81],
500,27.5,18 g/L,2–15.1 s,Ni–Ru/Al₂O₃,[82],
400,23,10 wt%,20,Ni/Al₂O₃; Ni/CeO₂–Al₂O₃; Ni/La₂O₃; Ni/MgO–Al₂O₃; Ni/ZrO₂–Al₂O₃,[177],
400–740,25,9.8–12.03 wt%,120,/,[178],
500,25,5 wt%,0–55,NaOH,[179],
400,22.5–25,9.09 wt%,20,Ni/MgO–Al₂O₃; Ni/Al₂O₃; Ni/MgO,[180],
400,24.5,9.99 wt%,20,Ni/CeO₂–Al₂O₃,[181],
600,25,5 wt%,60,K₂CO₃,[85],
430,20.5–37.5,10–20 wt%,0–120,/,[182],
600–767,25,1.8–15 wt%,15–60 s,/,[183],
300–460,25,1.5 wt%,60,/,[184],
650,28,5 wt%,8–13 s,Ni–Y/AC; Ni/AC; Ni–Co/AC; Ni–Fe/AC; AC,[185],
750–800,22–32,10–15 wt%,4–6 s,/,[186],
425–500,28,5 wt%,60,/,[187],
300–400,25,1.5-3 wt%,70 s,/,[188],
300–400,28,0.25 M,30,Ni/0-Al₂O₃; Ni/γ-Al₂O₃,[189],
340–380,15–25,5 wt%,15,Raney-Cu; Raney-Ni 4200; Raney-Ni 3202; Raney-Co; Ru/Al₂O₃; Ru/C,[190],
575–725,28,0.3–0.9 M,26 s,Ni/AC,[191],
650–750,25,0.1 M,2–26.3 s,/,[82],
500–650,25–30,0.1–0.8 M,0.4–7.1,KOH; Na₂CO₃,[84],
480–750,28,0.6 M,10–50 s,/,[192],
Fructose/oserowhead,,,,,,
550–700,25,4–10,30–75 s,KOH; NaOH,[86],
,,,,,,
Table 3. Previous studies investigating on SCWG of xylose.,,,,,,
Temp (°C),Pressure (MPa),Feedstock concentration,Residence time,Catalyst,Ref,
400–450,25,1.5 wt%,0–0.5 s,CH₃COOH,[92],
350–450,25,7.5 wt%,0.5–5 s,/,[93],
400–600,20–42.5,0.5 M,60 min,K₂CO₃,[91],
400–600,n.d.,7.4 wt%,60 min,K₂CO₃; KOH; Ni/AC; Ru/AC,[94],
650,25,4 wt%,0–7 s,/,[95],
450–650,25,4 wt%,0–40 s,/,[90],
n.d. not determined in the study.,,,,,,
,,,,,,
"Table 4. Previous studies investigating on SCWG of lignin, phenol, and guaiacol.",,,,,,
Temp (°C),Pressure (MPa),Feedstock concentration,Residence time (min),Catalyst,Ref,
Lignin,,,,,,
400,37.1,3 wt%,60,RuCl₃/C; Ru(NH₃)₆Cl₃/C; RhCl₃/C; Rh(NO₃)₃/C; H₂PtCl₆/C; Pt(NH₃)₄(NO₃)₂/C; PdCl₂/C; Pd(NH₃)₄Cl₂/C; Pd(CH₃COO)₂/C; Pd(NO₃)₄(NO₃)₂/C; NiCl₂/C; Ni(CH₃COO)₂/C; Ni(NO₃)₂/C,[193],
380,23,2 wt%,5–60,Ni/Al₂O₃; Ni/hydrotalcite; Raney nickel; Ru/C; Ru/Al₂O₃,[100],
500,0.05–0.18 g/cm³,5-33 wt%,10,Copper wire; iron wire; nickel wire,[170],
400,37.1,3 wt%,60,Charcoal; RuCl₃/TiO₂; Ru(NO)(NO₃)₃/TiO₂; RuCl₃/C; Ru(NO)(NO₃)₃/C; Ru/C,[194],
500–725,0.05–0.18 g/cm³,5–33.3 wt%,2.5–75,/,[195],
400,28,3 wt%,120,Ni/MgO,[196],
400,25,3 wt%,180,Ru/TiO₂; S–Ru/TiO₂,[197],
400,25,5 wt%,120,Ni/MgO,[198],
400,0.5 g/cm³ (water density),0.1 g,180,Ru/TiO₂; Ru/C; Ru/Al₂O₃; Rh/C; Pt/Al₂O₃; Pd/C; Pd/Al₂O₃,[199],
400,0.5 g/cm³ (water density),3 wt%,180,Ru/TiO₂; Ru/C; Ru/Al₂O₃,[200],
400,0.33 g/cm³ (water density),0.1 g,15,Ru/TiO₂; Ru/Al₂O₃; Ru/C; Pt/C; Pt/Al₂O₃; Rh/C; Pd/C; Pd/Al₂O₃; Ni/Al₂O₃,[201],
400,0.3 g/cm³ (water density),0.1 g,120,Ni/MgO,[202],
400,0.33 g/cm³ (water density),0.1 g,15,NaOH; Ni/Al₂O₃; Ru/TiO₂,[70],
650,26,17 wt%,50,Na₂CO₃; K₂CO₃; Ni–Ce/Al₂O₃; Ni/Al₂O₃; Ru/Al₂O₃,[65],
650,26,17 wt%,50,Ni/Al₂O₃; Ni/AC; Ni/MgO; Ni/TiO₂; Ni/ZrO₂; Ni–Ce/Al₂O₃; Ni–Cu/Al₂O₃; Ni–Co/Al₂O₃; Ni–Ce/Al₂O₃; Ni–Ce/TiO₂; Ni–Ce/ZrO₂,[203],
650,26,17 wt%,50,Ni–Co/Mg–Al,[204],
Phenol,,,,,,
400–600,20–42.5,0.55 g / 15 mL–3.5 g/15 mL,60,K₂CO₃,[107],
450,25,0.32 mol/L,30,Ru–Ni/AC; Ru–Ni/Al₂O₃; Ru–Ni/CeO₂; Ru–Ni/ZrO₂,[108],
560–640,25,1 wt%,20 s,/,[205],
700,0.1–100,1×10⁻² – 1×10⁻¹ M,0–15,/,[206],
400–500,0.1 g/cm³ (water density),5.2 wt%,3–32,Ru/GCB,[207],
600–700,30,5 wt%,0–60,Nickel wire,[208],
370–450,25,0.1 wt%,0.5–100 s,/,[110],
Guaiacol,,,,,,
600,25,0.05-1 wt%,94 s,/,[112],
500–650,25,1 wt%,30–1200 s,Ru/Al₂O₃,[109],
,,,,,,
Table 5. Previous studies investigating on SCWG of glycerol and fatty acid.,,,,,,
Reaction conditions (Temp °C),Pressure (MPa),Feedstock concentration,Residence time,Catalyst,Ref,
Glycerol,,,,,,
425,25.2,3 wt%,54 s,Sol-gel Ni/TiO₂; Ni/ZrO₂; Ni/Ta₂O₅,[209],
487–600,25,5-10 wt%,4–10 s,/,[210],
