Food waste,550–850,23–30,1–15,/,[132]
Oil palm frond,400,25,30,Ni/MgO (supported); Zn/MgO (supported); Ni/MgO (doped); Zn/MgO (doped),[133]
Chlorella sp.,355–405,28,30,Ni/rGO; Cu/rGO; Co/rGO; Mn/rGO; Cr/rGO,[134]
Wheat straw,300–550,21–23,40–70,Ru/Al₂O₃; Ni–Si–Al₂O₃,[135]
Chlorella sp.,355–405,17.5–26.5,15–45,NiO/SiO₂; MnO₂/SiO₂,[136]
Corn stalk depolymerization residual,650,22.5,30,/,[137]
Sugarcane bagasse,600–750,23–25,5–20,K₂CO₃; Na₂CO₃; Raney-Ni,[138]
Athabasca bitumen,550–700,23,15–60,FeCl₃; ZnCl₂; Ni/Si–Al₂O₃; Ru/Al₂O₃,[139]
Chlorella sp.,380,22.5,30,/,[140]
Oil palm frond,380,22.1,8–32,ZnO/MgO; CuO/MgO; ZnO/MgO,[141]
Enteromorpha intestinalis,400–440,25,0–60,Ni–Fe/Al₂O₃; Ru–Ni–Fe/Al₂O₃,[142]
Microcystins (4 species),350–450,23,0–60,/,[143]
Timothy grass,450–600,23–25,15–45,Na₂CO₃; K₂CO₃; NaOH; KOH,[27]
Cladophora glomerata,380–460,27,5–30,Algal hydrochar,[144]
Almond/barley/canola/rice/walnut/wheat straw,440,25,15,/,[145]
Canola meal; wheat straw; timothy grass,650,26,50,Na₂CO₃; K₂CO₃; Ni–Ce/Al₂O₃; Ni/Al₂O₃; Ru/Al₂O₃,[65]
Horse manure,400–600,23–25,15–45,NaOH; Na₂CO₃; K₂CO₃,[146]
Fruit pulp,400–600,25,0–60,Ru/C,[147]
Pinewood and wheat straw,300–500,23–25,15–45,/,[98]
Aloe vera/banana/coconut/lemon/orange/pineapple/sugarcane,400–600,23–25,15–45,NaOH; K₂CO₃,[148]
Rice straw,400–440,26,10–30,/,[149]
Chlorella vulgaris; Scenedesmus quadricauda,385,26,15,Ni/Al₂O₃; Raney-Ni,[150]
Pinewood,300–550,23–25,20–60,Ni/Al₂O₃; Ru/Al₂O₃; NaOH; KOH,[151]
Pine/fir tree sawdust,500–600,20–42.5,60,K₂CO₃,[152]
Almond/walnut/wheat straw,440,25,15,/,[153]
Empty fruit bunches,380,24,8,/,[154]
Bagasse,400,24,15,Ni–Cu/Al₂O₃,[155]
Pinewood,400–550,/,30,Ni/CeO₂–Al₂O₃; KOH; dolomite; olivine,[30]
Peanut shell,400,22–24,20,LiOH; KOH; NaOH; Ca(OH)₂; Na₂CO₃; K₂CO₃; Raney-Ni,[156]
Microcystins (4 species),500,22,30,/,[157]
Residue from eucalyptus,400,37,5,Ru/G,[158]
Sugarcane bagasse and citrus fruit peel,300–500,22–25,50,Raney Ni,[159]
Waste cooking oil,375–675,23–25,15–60,Ru/Al₂O₃; Ni/Si–Al₂O₃; K₂CO₃; Na₂CO₃,[16]
Olive oil mill waste,550–700,23,14.6–52.8 s,/,[160]
Olive mill wastewater,530,25,20,KOH; K₂CO₃; NaOH; Na₂CO₃,[161]
Olive mill wastewater,400–600,25,30–150 s,Ni/Al₂O₃; Ru/Al₂O₃,[71]
Food wastes,400–450,32–50,60,Trona; K₂CO₃; Seaweed ash,[162]
Sewage sludge,500–600,25,5–60 s,/,[163]
Scenedesmus Dimorphus,550,25,45,/,[164]
Municipal waste leachate,550,25,20–60,Ni/Al₂O₃,[165]
Black liquor,600–700,25,22.5,/,[166]
Acutodesmus obliquus,600–690,28,140–150 s,/,[167]
Primary paper waste sludge,450,27,15–120,Ni/Al₂O₃–SiO₂; K₂CO₃,[168]
