Temp (°C),Pressure (MPa),Feedstock concentration,Residence time (min),Catalyst,Ref
Cellulose,,,,,
300–600,9–41,0.45 M,60,K₂CO₃,[99]
650,26,16.7 wt%,50,Ni–Ce/Al₂O₃; Na₂CO₃; K₂CO₃; Ni/Al₂O₃; Ru/Al₂O₃,[65]
400–550,10–16.5 (initial pressure),12.5–25 wt%,30,Ni/CeO₂–Al₂O₃; KOH; dolomite; olivine,[30]
380,35.5,2 wt%,5–60,Raney nickel; Ni/Al₂O₃; Ru/C; Ru/Al₂O₃,[100]
500–600,0.05–0.18 g/cm³ (water density),5–33.3,10,/,[169]
365–600,0–0.18 g/cm³ (water density),1–33.3 wt%,2.5–30,/,[171]
302–405,27.6,2.7 wt%,2.5–8.1 s,K₂CO₃,[172]
400–600,0.05–0.08 g/cm³ (water density),5–33.3 wt%,2.5–30 s,/,[173]
500,/,9.1 wt%,20,Ru/C; Ph/C; nano-(CeZr)xO₂; nano-CeO₂; CeO₂,[174]
400,0.33 g/cm³ (water density),4.8 wt%,15,Ru/TiO₂; Ni/Al₂O₃,[70]
Glucose,,,,,
400–500,28,0.25 M,5–120,Ni/Al₂O₃; La₂O₃/Al₂O₃; Ni–La₂CO₃/Al₂O₃,[73]
300–400,10–25,10–30 wt%,10–60,Ca(OH)₂; Na₂CO₃,[74]
500,23–24,10 wt%,30,Ni/ZrYO₂-s; Ni/ZrCeYO₂-s,[75]
400,24.1–25.6,10 wt%,20,Ni/MgO; Ni/ZnO; Ni/Al₂O₃; Ni/TiO₂,[76]
600,25,10 wt%,10,CeO₂; MnO₂; ZrO₂; Co₂O₃; V₂O₅; Cr₂O₃; Fe₂O₃; CuO; MoO₃; SnO₂; WO₃; ZnO,[77]
400–500,25–35,45 kg/m³,30–150,Ru–Ni/Al₂O₃ aerogel; Ni/Al₂O₃ aerogel; Ru–Ni/Al₂O₃ impregnated; Ru–Ni/Al₂O₃ xerogel,[78]
450,25,0.25 M,30,Ni/Al₂O₃; La₂O₃/Al₂O₃; Ni–La₂O₃/Al₂O₃,[79]
500,25,0.25 M,30,Ru–Ni/Al₂O₃,[80]
500,23,5 wt%,30 s,Nickel wire,[175]
500,0.11 g/cm³ (water density),5 wt%,10–1800 s,Ru/Al₂O₃,[81]
500,27.5,18 g/L,2–15.1 s,Ni–Ru/Al₂O₃,[82]
400,23,10 wt%,20,Ni/Al₂O₃; Ni/CeO₂–Al₂O₃; Ni/La₂O₃; Ni/MgO–Al₂O₃; Ni/ZrO₂–Al₂O₃,[177]
400–740,25,9.8–12.03 wt%,120,/,[178]
500,25,5 wt%,0–55,NaOH,[179]
400,22.5–25,9.09 wt%,20,Ni/MgO–Al₂O₃; Ni/Al₂O₃; Ni/MgO,[180]
400,24.5,9.99 wt%,20,Ni/CeO₂–Al₂O₃,[181]
600,25,5 wt%,60,K₂CO₃,[85]
430,20.5–37.5,10–20 wt%,0–120,/,[182]
600–767,25,1.8–15 wt%,15–60 s,/,[183]
300–460,25,1.5 wt%,60,/,[184]
650,28,5 wt%,8–13 s,Ni–Y/AC; Ni/AC; Ni–Co/AC; Ni–Fe/AC; AC,[185]
750–800,22–32,10–15 wt%,4–6 s,/,[186]
425–500,28,5 wt%,60,/,[187]
300–400,25,1.5-3 wt%,70 s,/,[188]
300–400,28,0.25 M,30,Ni/0-Al₂O₃; Ni/γ-Al₂O₃,[189]
340–380,15–25,5 wt%,15,Raney-Cu; Raney-Ni 4200; Raney-Ni 3202; Raney-Co; Ru/Al₂O₃; Ru/C,[190]
575–725,28,0.3–0.9 M,26 s,Ni/AC,[191]
650–750,25,0.1 M,2–26.3 s,/,[82]
500–650,25–30,0.1–0.8 M,0.4–7.1,KOH; Na₂CO₃,[84]
480–750,28,0.6 M,10–50 s,/,[192]
Fructose/oserowhead,,,,,
550–700,25,4–10,30–75 s,KOH; NaOH,[86]
