Composition,Cotton stalk,Rice straw,Wheat straw,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Table 1. Proximate, ultimate and bio-compositional analyses of biomass samples.",,,,,,,,,
Ultimate analysis (wt%),,,,,,,,,
Carbon,43.5,40.4,36.7,,,,,,
Hydrogen,5.9,6.1,5.7,,,,,,
Nitrogen,0.6,0.5,0.6,,,,,,
Oxygen,43.3,41.8,47.9,,,,,,
Bio-compositional analysis (wt%),,,,,,,,,
Cellulose,32.9,31.5,36.1,,,,,,
Hemicellulose,16.4,21.3,26.1,,,,,,
Lignin,27.8,16.8,22.6,,,,,,
Proximate analysis (wt%),,,,,,,,,
Moisture,8.8,6.7,2.6,,,,,,
Ash,6.7,11.2,9.1,,,,,,
Volatile matter,67.6,66.4,72.2,,,,,,
Fixed carbon,16.9,15.7,16.1,,,,,,
,,,,,,,,,
Table 2. Elemental compositions of SBC ash and 1Ni-0.1La/SBC catalysts.,,,,,,,,,
Catalyst,Inorganics determined by XRF (wt%),,,,,,,,
Catalyst,NiO,La₂O₃,SiO₂,Al₂O₃,Fe₂O₃,MgO,CaO,K₂O,"Others (e.g., Sr, Ti, etc.)"
SBC ash,–,–,66,15,3.8,3.7,2.3,1.4,7.8
1Ni-0.1La/SBC,41.2,7.3,37.7,7.7,2.5,1.4,0.4,0.7,1.1
,,,,,,,,,
Table 3. Porosity properties of SBC ash and Ni-La catalysts.,,,,,,,,,
Material,Specific surface area (m²/g),Pore volume (cm³/g),Pore diameter (nm),,,,,,
SBC ash,94.4,0.197,19.2,,,,,,
1Ni/SBC,112,0.209,19.1,,,,,,
0.1La-1Ni/SBC,91.9,0.217,19.1,,,,,,
1Ni-0.1La/SBC,105.8,0.246,19.1,,,,,,
1Ni-0.5La/SBC,33.4,0.203,19,,,,,,
Nickel powder,0.7,0.009,15.2,,,,,,
1Ni/La₂O₃,24.7,0.179,86.8,,,,,,
1Ni-0.1La/Al₂O₃,90.7,0.193,19,,,,,,
,,,,,,,,,
Table 4. Effects of Ni-La catalysts on H₂ yield and gasification efficiency from hydrothermal gasification of cotton stalk.,,,,,,,,,
,,Gasification efficiency (%),,,,,,,
Material,H₂ yield (%),H₂,CO₂,CH₄,CO,Total,,,
No catalyst,2.9,0.2,16.6,0.2,1.3,18.2,,,
SBC ash,1.7,0.1,17.8,0.3,2,20.2,,,
0.1La-1Ni/SBC,77.1,4.6,54,1.8,1.1,61.5,,,
1Ni-0.1La/SBC,108.3,6.4,72.3,3.3,1,83,,,
1Ni-0.5La/SBC,52.9,3.1,40.1,1.6,0.7,45.5,,,
Nickel powder,13.4,0.8,23.1,0.4,1.3,25.6,,,
1Ni/Al₂O₃,86.6,5.1,61.2,1.6,0.9,68.8,,,
1Ni/La₂O₃,120.5,7.2,75.6,5.9,0,88.7,,,
1Ni-0.1La/Al₂O₃,115.1,6.8,67.4,3,0,77.3,,,
,,,,,,,,,
Table 5. Optimization of H₂ yield from subcritical water gasification of cotton stalk using Ni-La/SBC catalyst.,,,,,,,,,
Experiment No.,Temperature (°C),Cotton stalk dosage (g),Reaction time (min),Initial pressure (MPa),Ni-La/SBC loading (g),H₂ yield (%),,,
1,340,0.5,0,1.5,0.25,49,,,
2,340,1,10,1.5,0.5,45.8,,,
3,340,1.5,20,1.5,0.75,40.6,,,
4,340,2,30,1.5,1,39.4,,,
5,360,0.5,10,1.5,1,121,,,
6,360,1,0,1.5,0.75,66.9,,,
7,360,1.5,30,1.5,0.5,48,,,
8,360,2,20,1.5,0.25,21.2,,,
K₁,43.7,85,57.9,–,35.1,–,,,
K₂,43.7,56.3,83.4,–,46.9,–,,,
K₃,64.3,44.3,30.9,–,53.8,–,,,
K₄,64.3,30.3,43.7,–,80.2,–,,,
R,20.6,54.7,52.5,–,45.1,–,,,
,,,,,,,,,
Table 6. Optimization of H₂ yield from supercritical water gasification of cotton stalk using Ni-La/SBC catalyst.,,,,,,,,,
Experiment No.,Temperature (°C),Cotton stalk dosage (g),Reaction time (min),Initial pressure (MPa),Ni-La/SBC loading (g),H₂ yield (%),,,
9,380,0.5,20,1.5,0.5,113.4,,,
10,380,1,30,1.5,0.25,50.6,,,
11,380,1.5,0,1.5,1,64.9,,,
12,380,2,10,1.5,0.75,46.5,,,
13,400,0.5,30,1.5,0.75,135.5,,,
14,400,1,20,1.5,1,94.1,,,
15,400,1.5,10,1.5,0.25,35.7,,,
16,400,2,0,1.5,0.5,39.7,,,
K₁,68.9,124.5,52.3,–,43.1,–,,,
K₂,68.9,72.3,41.1,–,76.5,–,,,
K₃,76.2,50.3,103.7,–,91,–,,,
K₄,76.2,43.1,93,–,79.5,–,,,
R,7.4,81.4,40.7,–,36.4,–,,,
,,,,,,,,,
Table 7. Effects of different biomasses on H₂ yield and gasification efficiency using Ni-La/SBC catalysts.,,,,,,,,,
,,Gasification efficiency (%),,,,,H₂ yield (%) — No catalyst,,
Feedstock,H₂ yield (%),H₂,CO₂,CH₄,CO,Total,No catalyst,,
Cotton stalk,90.4,5.4,63.3,2.9,1,72.6,2.1,,
Rice straw,63.6,3.9,39,2.1,1,46,1.5,,
Wheat straw,85,4.8,57.9,3.1,0.5,66.4,2.1,,
Cellulose,95.5,5.9,56.3,0.4,0.3,62.9,4.2,,
Xylose,67.9,4.1,58.3,5,0,67.3,1.9,,
Lignin,15.6,0.8,4.3,0.1,0,5.2,0.5,,
