ID,feed_type,feed_shape,feed_particle_size,feed_LHV,C,H,N,S,O,feed_ash,feed_moisture,feed_VM,feed_FC,feed_cellulose,feed_hemicellulose,feed_lignin,temperature,operating_condition,operating_pressure,residence_time,steam_biomass_ratio,ER,gasifying_agent,reactor_type,bed_material,catalyst,scale,N2,H2,CO,CO2,CH4,C2Hn,gas_LHV,gas_tar,gas_yield,char_yield,CGE,CCE,Reference
1,municipal solid waste,pellets,5,19.45,59.39,8.57,0.93,0.27,32.3,20.69,6.4,NaN,NaN,NaN,NaN,NaN,849,continuous,NaN,120,NaN,0.26,air,fluidised bed,olivine,1,pilot,61.77,8.48,9.74,13.36,4.18,2.19,5.39,73,1.62,NaN,53,70,"Arena, Fuel 2014, 117, 528-536"
2,municipal solid waste,pellets,5,19.45,59.39,8.57,0.93,0.27,32.3,20.69,6.4,NaN,NaN,NaN,NaN,NaN,852,continuous,NaN,120,NaN,0.26,air,fluidised bed,olivine,1,pilot,60.64,7.11,8.98,15.69,4.2,2.72,5.65,47,1.73,NaN,56,80,"Arena, Fuel 2014, 117, 528-536"
3,municipal solid waste,pellets,5,19.45,59.39,8.57,0.93,0.27,32.3,20.69,6.4,NaN,NaN,NaN,NaN,NaN,869,continuous,NaN,120,NaN,0.27,air,fluidised bed,olivine,1,pilot,61.67,8.44,10.47,12.28,4.57,2.14,5.55,58,1.72,NaN,58,75,"Arena, Fuel 2014, 117, 528-536"
4,municipal solid waste,pellets,5,19.45,59.39,8.57,0.93,0.27,32.3,20.69,6.4,NaN,NaN,NaN,NaN,NaN,879,continuous,NaN,120,NaN,0.3,air,fluidised bed,olivine,1,pilot,61.86,8.24,10.4,12.83,4.35,2.05,5.16,39,1.91,NaN,61,81,"Arena, Fuel 2014, 117, 528-536"
5,municipal solid waste,pellets,5,19.45,59.39,8.57,0.93,0.27,32.3,20.69,6.4,NaN,NaN,NaN,NaN,NaN,898,continuous,NaN,120,NaN,0.32,air,fluidised bed,olivine,1,pilot,60.66,7.08,12.73,14.04,3.33,1.78,4.91,5,2.04,NaN,61,92,"Arena, Fuel 2014, 117, 528-536"
6,municipal solid waste,pellets,5,19.45,59.39,8.57,0.93,0.27,32.3,20.69,6.4,NaN,NaN,NaN,NaN,NaN,932,continuous,NaN,120,NaN,0.33,air,fluidised bed,olivine,1,pilot,64.61,7.68,10.58,11.66,3.78,1.27,4.69,42,2,NaN,57,79,"Arena, Fuel 2014, 117, 528-536"
7,plastics,pellets,2,42.9,86.03,13.97,0,0,0,1,0.2,NaN,NaN,NaN,NaN,NaN,867,continuous,NaN,NaN,NaN,0.22,air,fluidised bed,silica,0,pilot,64.7,9.5,2.4,9.6,9.1,4.7,7.5,130,3.31,NaN,58,60.03,"Arena, Waste Management 2010, 30, 1212-1219"
8,plastics,pellets,2,42.9,86.03,13.97,0,0,0,1,0.2,NaN,NaN,NaN,NaN,NaN,898,continuous,NaN,NaN,NaN,0.31,air,fluidised bed,silica,0,pilot,68,8.1,2.2,10.4,7.1,4.2,6.3,81,4.34,NaN,63,72.88,"Arena, Waste Management 2010, 30, 1212-1219"
9,plastics,pellets,2,42.9,86.03,13.97,0,0,0,1,0.2,NaN,NaN,NaN,NaN,NaN,845,continuous,NaN,NaN,NaN,0.2,air,fluidised bed,silica,0,pilot,64.1,9.1,2.8,9.1,10.4,4.5,7.9,160,2.96,NaN,55,54.94,"Arena, Waste Management 2010, 30, 1212-1219"
10,plastics,pellets,2,42.9,86.03,13.97,0,0,0,1,0.2,NaN,NaN,NaN,NaN,NaN,807,continuous,NaN,NaN,NaN,0.27,air,fluidised bed,olivine,1,pilot,49,26.9,20,1.4,2.2,0.5,6.5,0,5.43,NaN,82,76.44,"Arena, Waste Management 2010, 30, 1212-1219"
11,plastics,pellets,2,42.9,86.03,13.97,0,0,0,1,0.2,NaN,NaN,NaN,NaN,NaN,819,continuous,NaN,NaN,NaN,0.2,air,fluidised bed,olivine,1,pilot,45.1,30.1,18.4,1.6,3.4,1.4,7.6,0,4.17,NaN,74,62.72,"Arena, Waste Management 2010, 30, 1212-1219"
12,plastics,pellets,2,42.9,86.03,13.97,0,0,0,1,0.2,NaN,NaN,NaN,NaN,NaN,816,continuous,NaN,NaN,NaN,0.28,air,fluidised bed,olivine,1,pilot,48.5,27.1,20.1,1.7,2.1,0.5,6.5,0,5.65,NaN,85,80.63,"Arena, Waste Management 2010, 30, 1212-1219"
13,plastics,pellets,2,42.9,86.03,13.97,0,0,0,1,0.2,NaN,NaN,NaN,NaN,NaN,825,continuous,NaN,NaN,NaN,0.31,air,fluidised bed,olivine,1,pilot,50.3,24,19.5,3.3,2,0.9,6.3,0,6,NaN,88,92.09,"Arena, Waste Management 2010, 30, 1212-1219"
14,plastics,pellets,2,42.9,86.03,13.97,0,0,0,1,0.2,NaN,NaN,NaN,NaN,NaN,825,continuous,NaN,NaN,NaN,0.21,air,fluidised bed,olivine,1,pilot,44.4,30.8,19,1.6,3.2,1,7.5,0,4.8,NaN,84,71.05,"Arena, Waste Management 2010, 30, 1212-1219"
15,plastics,pellets,2,42.9,86.03,13.97,0,0,0,1,0.2,NaN,NaN,NaN,NaN,NaN,850,continuous,NaN,NaN,NaN,0.29,air,fluidised bed,olivine,1,pilot,47.2,29.1,20.9,1.2,1.5,0.1,6.4,0,6.19,NaN,92,84.14,"Arena, Waste Management 2010, 30, 1212-1219"
16,plastics,pellets,2,42.9,86.03,13.97,0,0,0,1,0.2,NaN,NaN,NaN,NaN,NaN,856,continuous,NaN,NaN,NaN,0.3,air,fluidised bed,dolomite,1,pilot,56.2,14.7,18.3,3.1,5.7,2,7.1,0,5.68,NaN,94,101.96,"Arena, Waste Management 2010, 30, 1212-1219"
17,plastics,pellets,1,42.9,85.78,14.23,0,0,0,1.3,0.3,NaN,NaN,NaN,NaN,NaN,818,continuous,NaN,NaN,NaN,0.23,air,fluidised bed,olivine,1,pilot,46.2,30.6,17.5,2.3,2.8,0.6,6.9,0,4.9,NaN,79,67.35,"Arena, Waste Management 2010, 30, 1212-1219"
18,plastics,pellets,1,42.9,85.78,14.23,0,0,0,1.3,0.3,NaN,NaN,NaN,NaN,NaN,831,continuous,NaN,NaN,NaN,0.27,air,fluidised bed,olivine,1,pilot,46.4,28.2,21.1,1.5,2.3,0.5,6.8,0,5.82,NaN,93,86.62,"Arena, Waste Management 2010, 30, 1212-1219"
19,plastics,pellets,1,42.9,85.78,14.23,0,0,0,1.3,0.3,NaN,NaN,NaN,NaN,NaN,829,continuous,NaN,NaN,NaN,0.24,air,fluidised bed,olivine,1,pilot,45.7,29.5,19.9,1.7,2.5,0.7,7,0,5.14,NaN,84,75.43,"Arena, Waste Management 2010, 30, 1212-1219"
20,plastics,pellets,1,42.9,85.78,14.23,0,0,0,1.3,0.3,NaN,NaN,NaN,NaN,NaN,879,continuous,NaN,NaN,NaN,0.29,air,fluidised bed,dolomite,1,pilot,54.8,13.7,16.7,5.1,7.3,2.4,7.7,0,5.14,NaN,93,101.55,"Arena, Waste Management 2010, 30, 1212-1219"
21,plastics,pellets,NaN,33.4,73.49,11.01,0,0.11,15.43,6.74,0.6,NaN,NaN,NaN,NaN,NaN,914,continuous,NaN,NaN,NaN,0.31,air,fluidised bed,olivine,1,pilot,68.5,6.6,4.8,11.4,6.3,2.4,5.2,56,3.32,NaN,52,63.45,"Arena, Waste Management 2010, 30, 1212-1219"
22,plastics,pellets,NaN,33.4,73.49,11.01,0,0.11,15.43,6.74,0.6,NaN,NaN,NaN,NaN,NaN,884,continuous,NaN,NaN,NaN,0.25,air,fluidised bed,olivine,1,pilot,64.2,8,4.6,11.6,7.9,3.7,6.4,55,3.04,NaN,58,66.73,"Arena, Waste Management 2010, 30, 1212-1219"
23,plastics,pellets,NaN,33.4,73.49,11.01,0,0.11,15.43,6.74,0.6,NaN,NaN,NaN,NaN,NaN,869,continuous,NaN,NaN,NaN,0.22,air,fluidised bed,olivine,1,pilot,66.3,6.8,3.7,11.1,7.3,4.8,6.8,99,2.65,NaN,54,58.54,"Arena, Waste Management 2010, 30, 1212-1219"
24,plastics,pellets,NaN,40.2,81.63,13.45,0.21,0.1,4.62,1.91,0.7,NaN,NaN,NaN,NaN,NaN,894,continuous,NaN,NaN,NaN,0.27,air,fluidised bed,olivine,1,pilot,65.6,8.6,5.3,9.8,7.3,3.4,6.4,59,3.77,NaN,60,68.87,"Arena, Waste Management 2010, 30, 1212-1219"
25,plastics,pellets,NaN,40.2,81.63,13.45,0.21,0.1,4.62,1.91,0.7,NaN,NaN,NaN,NaN,NaN,890,continuous,NaN,NaN,NaN,0.24,air,fluidised bed,olivine,1,pilot,61,9.6,4.5,10.9,8.6,5.4,7.9,32,3.51,NaN,69,76.44,"Arena, Waste Management 2010, 30, 1212-1219"
