# Table 1: Proximate and ultimate analyses (wt%) of coal,biomass and waste plastic from reference [5,7,10,11].,,,,,,,
Type,Proximate analysis (wt%,ad),,,,Ultimate analysis (wt%,daf),,,,LHV (MJ/kg)
,,FC,A,M,VM,C,H,O,N,S,
Pine [5],13.6,0.3,11.6,74.5,51.6,4.9,42.6,0.9,-,20.19,
Coal 1 [5],37.3,32.3,5.5,24.9,77.3,5.3,14.2,1.3,1.9,30.65,
PE [5],-,-,-,-,85.7,14.3,-,-,-,46.12,
Mixed plastic [7],-,1.3,0.3,-,85.77,14.23,0.00,0.00,0.00,45.5,
Low-sulphur lignite [7],16.5,12,7.8,-,87.20,6.05,6.75,0.00,0.00,26.3,
High-sulphur lignite [7],13.8,7.8,-,-,76.56,5.73,13.38,0.38,3.95,25.2,
Wood [7],19.14,1.0,17.3,68.92,43.21,6.98,49.57,0.12,0.12,11.1,
MX1 [10],7.83,4.11,68.92,70.78,9.21,19.70,0.22,0.15,25.71,,
Coal 2 [11],38.6,33.5,4.54,23.1,70.78,4.54,16.70,1.89,1.22,-,
Pine wood sawdust [11],13.4,0.5,7.6,78.3,46.6,5.8,47,0.5,0.1,-,
PP+ EPRD+T20 [11],-,-,-,-,67.7,11.7,-,0.03,0,-,
PE-90563741 [11],-,-,-,-,84.6,1.46,-,0.02,0,-,
# Table 2: The operation conditions and equipment structural parameters of co-gasification of coal,biomass and waste plastic in fluidized bed.,,,,,,,,,,
Item,Pinto et al. [5],Mastellone et al. [7],Zaccariello et al. [10],Aznar et al. [11],,,,,,,
Inner diameter (ID,cm),50,10.2,10,9.2,,,,,,
Height (H,cm),320,250,200,100,,,,,,
Temperature (T,°C),750-900,850,839-902,750-880,,,,,,
Feed amount (F,kg/h),3.3-5.5,1-4,1.5-4,-,,,,,,
Ratio of biomass (wt%),0.2,0.2-0.4,0.2,0.2,,,,,,,
Ratio of plastic (wt%/wt%),0.2,0.3-0.5,0.3,0.2,,,,,,,
Steam flow rate (kg/h),2-5,-,0.56-0.62,-,,,,,,,
Air/Oxygen flow rate (kg/h),0.04-1.4,-,2.75-3.43,-,,,,,,,
ER,-,0.2-0.3,-,0.3-0.46,,,,,,,
H₂ (%),33.55-39.22,6.67-8.57,16.50-25.64,13.91-15.96,,,,,,,
CO (%),15.56-19.56,5.02-5.17,15.61-57.92,12.14-14.09,,,,,,,
H₂/CO,1.71-2.52,1.29-1.67,0.28-1.64,1.13-1.15,,,,,,,
LHV (MJ/m³),1.68-2.61,4.93-7.13,5.58-9.30,4.86-7.57,,,,,,,
Qs (m³/kg),0.98-1.04,2.05-2.81,1.89-2.83,2.89-3.14,,,,,,,
Ctar (g/m³),-,3.44-7.29,-,0.78-1.00,,,,,,,
