Type,Proximate analysis (wt%,ad),,,,Ultimate analysis (wt%,daf),,,
,,FC,A,M,VM,C,H,O,N,S
Pine [5],13.6,0.3,11.6,74.5,51.6,4.9,42.6,0.9,-,20.19
Coal 1 [5],37.3,32.3,5.5,24.9,77.3,5.3,14.2,1.3,1.9,30.65
PE [5],-,-,-,-,85.7,14.3,-,-,-,46.12
Mixed plastic [7],-,1.3,0.3,-,85.77,14.23,0.00,0.00,0.00,45.5
Low-sulphur lignite [7],16.5,12,7.8,-,87.20,6.05,6.75,0.00,0.00,26.3
High-sulphur lignite [7],13.8,7.8,-,-,76.56,5.73,13.38,0.38,3.95,25.2
Wood [7],19.14,1.0,17.3,68.92,43.21,6.98,49.57,0.12,0.12,11.1
MX1 [10],7.83,4.11,68.92,70.78,9.21,19.70,0.22,0.15,25.71,
Coal 2 [11],38.6,33.5,4.54,23.1,70.78,4.54,16.70,1.89,1.22,-
Pine wood sawdust [11],13.4,0.5,7.6,78.3,46.6,5.8,47,0.5,0.1,-
PP+ EPRD+T20 [11],-,-,-,-,67.7,11.7,-,0.03,0,-
PE-90563741 [11],-,-,-,-,84.6,1.46,-,0.02,0,-
