Item,Pinto et al. [5],Mastellone et al. [7],Zaccariello et al. [10],Aznar et al. [11],
Inner diameter (ID,cm),50,10.2,10,9.2
Height (H,cm),320,250,200,100
Temperature (T,°C),750-900,850,839-902,750-880
Feed amount (F,kg/h),3.3-5.5,1-4,1.5-4,-
Ratio of biomass (wt%),0.2,0.2-0.4,0.2,0.2,
Ratio of plastic (wt%/wt%),0.2,0.3-0.5,0.3,0.2,
Steam flow rate (kg/h),2-5,-,0.56-0.62,-,
Air/Oxygen flow rate (kg/h),0.04-1.4,-,2.75-3.43,-,
ER,-,0.2-0.3,-,0.3-0.46,
H₂ (%),33.55-39.22,6.67-8.57,16.50-25.64,13.91-15.96,
CO (%),15.56-19.56,5.02-5.17,15.61-57.92,12.14-14.09,
H₂/CO,1.71-2.52,1.29-1.67,0.28-1.64,1.13-1.15,
LHV (MJ/m³),1.68-2.61,4.93-7.13,5.58-9.30,4.86-7.57,
Qs (m³/kg),0.98-1.04,2.05-2.81,1.89-2.83,2.89-3.14,
Ctar (g/m³),-,3.44-7.29,-,0.78-1.00,
