Name,MC,FC,VM,AC,C,H,N,S,O,Ref.
Chlorella vulgaris,8.00,10.40,84.30,5.30,52.10,6.50,9.95,0.55,30.90,[16]
Barley Straw,11.50,18.50,76.20,5.30,46.78,5.87,0.66,0.10,41.29,[17]
Pistachio Shells,7.54,16.95,81.64,1.41,50.20,6.32,0.69,0.22,41.16,[18]
Alfalfa Straw,9.30,15.80,78.90,5.30,47.25,5.97,2.65,0.19,38.64,[19]
Spruce Wood,6.70,18.30,81.20,0.50,52.04,6.07,0.29,0.09,40.99,[20]
Groundnut Shell,7.90,22.70,79.90,3.40,49.17,7.25,1.16,0.00,39.03,[21]
Balsam Bark,8.40,20.50,72.70,2.60,52.63,6.03,0.19,0.09,38.47,[18]
Hemlock Wood,8.40,25.50,72.00,2.50,53.69,5.75,0.19,0.10,37.83,[22]
Chestnut Tree,8.20,22.69,72.41,4.90,45.48,5.93,2.10,0.26,41.33,[23]
Willow Wood,11.10,19.30,78.60,2.10,49.30,6.60,1.10,0.26,40.80,[18]
Cotton Husk,6.90,18.20,78.40,3.40,48.68,8.11,1.35,0.00,38.44,[24]
Hazelnut Shell,13.00,27.31,71.94,0.75,50.73,5.42,1.38,0.00,40.97,[25]
Olive Pomace,3.38,19.88,78.04,2.08,54.70,6.07,0.48,0.10,36.57,[26]
Walnut Shell,8.70,18.70,79.00,2.30,48.50,6.02,1.36,0.09,41.57,[18]
Almond Hulls,6.52,20.87,73.80,6.13,47.51,6.01,1.12,0.09,39.15,[19]
Cacao,9.33,19.82,71.92,8.26,48.24,9.18,2.79,0.06,31.47,[23]
Walnut Shell,8.70,18.70,79.00,2.30,48.59,6.13,0.21,0.10,45.37,[18]
Wheat Straw,10.10,18.10,74.80,7.10,45.89,5.67,0.65,0.18,40.50,[27]
Rice husks,10.60,19.20,62.80,18.00,40.42,5.00,0.65,0.08,35.83,[28]
Maple bark,8.4,19.4,76.6,4.00,49.92,5.95,0.38,0.10,39.65,[16]
