"Table S1. Literature-derived dataset: Biomass composition, gasification conditions and syngas outputs"																													
																													
Reference	Biomass residue	Gasification technology	Gasifying agent	T [°C]	O2 (wt/wt)	N2 (wt/wt)	H2Og (wt/wt)	MC (wt %ar)	VM (wt %ar)	Ash (wt %ar)	FC (wt %ar)	LHVb (MJ/kg)	C (wt %ar)	H (wt %ar)	O (wt %ar)	N (wt %ar)	S (wt %ar)	Cl (wt %ar)	F (wt %ar)	CO (mol%. db)	H2 (mol%. db)	CH4 (mol%. db)	CO2 (mol%. db)	N2 (mol%. db)	O2 (mol%. db)	CnHm (mol%. db)	HHVs (d.b.) (MJ/m3 )	H2/ CO ratio	
[1]	Willow	Fluidized bed	Air	827	0.06	0.21	0	17	69.2	1.3	12.5	15.4	39.8	4.8	36.3	0.7	0	0	0	9.4	7.2	3.3	17.1	60.5	0	0	4.9	0.8	
[1]	Demolition wood	Fluidized bed	Air	847	0.06	0.23	0	10.1	67	11.8	11.1	14.9	39.8	4.3	33.5	0.4	0	0	0.1	11.4	7.1	3.3	15.8	60.4	0	1.3	4.8	0.6	
[1]	Garden wood	Fluidized bed	Air	861	0.07	0.25	0	3.5	74.9	3.1	18.5	17.6	47.8	5.5	39.7	0.2	0.1	0.1	0	11.7	6.8	3.2	15.5	60.6	0	1.6	4.9	0.6	
[1]	Chip board materials	Fluidized bed	Air	843	0.06	0.23	0	10.8	68.6	2.6	18	16.2	43.6	5.1	39	0.2	0.1	0.1	0	9.6	6.4	3.2	15.5	62.9	0	1.4	4.4	0.7	
[1]	Verge grass	Fluidized bed	Air	815	0.05	0.18	0	7.3	60.3	16.3	16	14.3	38.1	4.3	31.2	1.9	0.1	0.7	0	9.9	7.3	3.3	15.6	61	0	1.6	4.6	0.7	
[1]	Paper residue sludge	Fluidized bed	Air	829	0.05	0.19	0	10.7	38.7	42.2	8.4	6.5	20.5	2.6	23	0.6	0.3	0	0	9.2	6.1	3.2	16.1	60.5	0	1.6	4.5	0.7	
[1]	Sewage sludge	Fluidized bed	Air	827	0.07	0.25	0	10.6	49.3	32.2	7.9	12.3	29.9	4	17.3	1.5	0.1	0	0	10.5	5.9	2.9	15	64.4	0	1.7	5.1	0.6	
[1]	Railroad ties	Fluidized bed	Air	855	0.07	0.25	0	10.6	70.8	2.3	16.3	17.8	47.4	5	17.6	0	0.1	0	0	10.6	5.9	2.9	13.9	64.4	0	1.7	5	0.6	
[1]	Cacao shells	Fluidized bed	Air	822	0.06	0.24	0	13.4	58.8	9.1	18.8	15	41.1	4.5	29.1	2.6	0	0	0	8	9	2.3	6.1	61.5	1.7	4.6	1.1		
[2]	Pine bark	Fixed bed	Air	1090	0.07	0.21	0	4.6	62.7	0.8	25.8	17.9	49.6	5	33.7	0.2	0.1	0	0	8.7	3.6	2.7	16	71.7	0	0	1.6	0.4	
[2]	Sewage sludge	Fixed bed	Air	1266				4.5	53.9	35.6	6	12.8	32.1	4.4	33.7	0.2	0.1	0	0	6.7	3.6	2.7	16	71.7	0	0	1.2	0.4	
[3]	Sawdust	Fluidized bed	Steam	1000	0	0	0.24	7.8	68.2	0	23.5	17.8	46.1	5.8	39.6	0.7	0	0	0	46.5	14.9	17.8	14.6	6.2	0	18.4	0.3		
[3]	Bagasse sludge	Fluidized bed	Steam	815	0	0	0.69	1	79.2	4	14.9	16.8	47.5	5.9	41.6	0.7	0	0	0	9.8	45.9	5	29.8	9.6	0	18.1	4.7		
[4]	Sewage sludge	Fixed bed	Oxygen	1300	0.14	0.13	0	4.7	39.6	53.4	2.2	7.6	19.5	3	36.7	2.2	0.6	0.6	1.4	39.1	23.4	5.5	24.4	16.3	49.7	0	4.9	10.1	0.07
[5]	Patula pine	Fixed bed	Air	900	0.14	0.54	0	7.9	77.9	1.2	13	19	42.7	5.2	43	0.1	0	0	0	11.7	4.8	2.7	13.3	66.8	0.6	0.5	3.4	0.04	
[5]	Patula pine	Fixed bed	Air	630	0.15	0.55	0	11.1	74.5	0.3	14.1	16.9	42	5.4	41.1	0.1	0	0	0	10	19.9	2.3	13.5	71.2	1	0.2	2.4	0.02	
[6]	Condia alliodora-BC	Fixed bed	Air	769	0.17	0.64	0	7.3	11.1	9.3	72.3	21.6	73.1	0.4	8.3	1.7	0	0	0	11.5	7.3	1.7	16.5	65.3	0	3	0.6		
[6]	Eucalyptus grandis-BC	Fixed bed	Air	816	0.18	0.67	0	2.9	7	3.2	86.9	26.7	71.1	0.4	22	0	0	0	0	12.9	6	1.5	15.2	64.3	0	3	0.5		
[6]	Pinus patula-BC	Fixed bed	Air	765	0.41	0.66	0	3.7	13.7	1.5	81	26.4	78.6	0.2	15.9	0	0	0	0	12.3	6.1	1.6	15.4	64.6	0	3	0.5		
[7]	Sawdust	Fixed bed	Air	750	0.14	0.51	0	20	77	4.8	2.1	13.9	38.4	5.1	29.4	1.7	0.3	0.2	0	28.7	2.7	4.2	23.5	11.1	48.7	0	5.4	4.8	0.9
[8]	Olive pomace	Fixed bed	Air	1439	0.14	0.41	0	15	66.4	0.8	2.1	13.9	38.4	5.1	29.4	1.7	0.3	0.2	0	28.7	2.7	4.2	23.5	11.1	48.7	0	5.4	4.8	0.9
[8]	OTPR (Olive tree pruning)	Fixed bed	Air	1439	0.13	0.49	0	4.8	72.6	4.2	18.4	16.8	44.9	5.9	39.7	0.5	0.1	0	0	22.7	17.8	2.8	10.4	45.7	0	0	6.3	0.8	
[8]	Olive kernels	Fixed bed	Air	1439	0.13	0.49		8.8	69.3	2.1	19.8	16.4	45.3	5.3	38.1	0.4	0	0	0	23	17.5	2.7	10.9	45.3	0	0	6.2	0.8	
[8]	Sawdust	Fixed bed	Air	1439	0.14	0.52	0	13.7	69.5	0.1	16.8	14.9	44.9	5.2	35.9	3.2	1.3	0	0	19.5	10.3	2.6	12.2	50.2	0	0	5.3	0.8	
[8]	Sewage sludge	Fixed bed	Air	1439	0.14	0.55	0	9.7	48.2	21.2	20.7	16.9	44.9	5.2	35.9	3.2	1.3	0	0	19.5	10.3	2.6	12.2	50.2	0	0	5.3	0.8	
