#,Plastic,Biomass,% Plastic,% Biomass,C (%),H (%),O (%),N (%),S (%),ASH (%),MC (%),VM (%),AIR (Kg/h),ER,FC (%),TEMPERATURE (°C),H2 (%),CO (%),CO2 (%),CH4 (%),N2 (%),Mass Flow Rate (Kg/h),Volumetric Flow Rate (m3/h),Gas Yield (Nm3/Kg),LHV (MJ/Nm3),H2/CO
1,PU,Safflower Seed,68.5666,31.4334,60.6026,7.8452,27.6128,3.8228,0.1166,0.4421,3.3787,86.5636,239.504,0.2957,9.6156,920.9905,20.1836,26.6621,2.7758,0.8043,49.5469,312.0743,302.6157,3.026157,5.8271928,0.757014639
2,PE,Soybean Cake,22.7648,77.2352,62.7413,7.6268,22.3699,7.2233,0.0387,3.9931,25.4876,62.8144,226.9324,0.3599,7.7049,797.8559,13.8692,23.0262,4.3425,1.8068,56.9453,279.6134,251.8418,2.518418,5.0460092,0.602322572
3,PU,Olive Pomace,27.7707,72.2293,58.6739,6.786,32.8979,1.5212,0.1211,3.5446,5.5169,83.5693,177.3575,0.2557,7.3692,741.614,16.9528,29.5161,3.6551,3.3389,46.5001,251.0035,236.4682,2.364682,6.7452572,0.574357723
4,PS,Cherry Stone,45.9926,54.0074,67.7169,7.2619,24.6864,0.2322,0.1026,0.641,4.093,83.8356,254.6225,0.2917,11.4304,654.2425,10.2222,17.8641,8.0212,4.3936,59.4661,306.5018,263.0808,2.630808,4.927783,0.572220263
5,PE,Açaí Seed,17.2255,82.7745,54.2506,7.2321,37.8056,0.6825,0.0293,11.7623,7.6566,73.3846,206.8645,0.3603,7.1965,817.0092,14.0772,22.2254,7.1725,1.4961,55.0196,261.6044,231.5657,2.315657,4.8563418,0.633383426
6,PE,Colza seed,64.5631,35.4369,71.1745,9.5345,17.1321,2.0492,0.1098,3.244,2.8662,87.024,362.9921,0.3625,6.8658,880.9551,17.1021,23.9498,2.7243,1.0524,55.1521,433.2949,406.7401,4.067401,5.2414608,0.71408112
7,PU,DDGS,57.323,42.677,59.9642,7.8058,27.2561,4.5345,0.4394,5.2558,4.0203,84.6141,320.5468,0.4222,6.1098,757.5405,10.646,18.8597,7.1607,1.9732,61.2723,381.0155,326.4639,3.264639,4.2324958,0.564484059
8,PU,Cocoa Beans Husk,52.968,47.032,55.136,7.1559,34.0153,3.4663,0.2264,3.7626,5.5435,83.6338,245.6171,0.3709,7.0601,844.9987,14.0461,22.3314,6.37,1.1324,56.0659,307.9301,273.3706,2.733706,4.7361344,0.6289843
9,PS,Elephant Grass,50.5948,49.4052,66.3476,6.8682,25.7833,1.001,0,0.4023,5.79,85.7357,254.2701,0.3072,8.072,708.4632,12.2493,24.6478,5.037,3.3457,54.7158,322.6225,286.58,2.8658,5.6263078,0.496973361
10,PS,Colza seed,44.6386,55.3614,64.7339,7.3914,24.8851,2.9895,0,5.1573,4.4777,79.6591,326.7443,0.4073,10.7059,652.2323,7.3257,16.0448,9.215,3.5252,63.8843,384.476,317.2918,3.172918,4.074842,0.456577832
