# ID,Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,Outputs,,,,,,,,,,,,Other,
# ,Feedstock information,,,,Ultimate Analysis,,,,,Proximate Analysis,,,,Lignocellulosic Composition,,,Gasifier Conditions and Information,,,,,,,,,,,Gas Composition,,,,,,,,Yield and Process Efficiency,,,,Other information and notes,
,Type,Shape,Particle size [mm],LHV [MJ/kg wb],C [%daf],H [%daf],N [%daf],S [%daf],O [%daf],Ash [%db],Moisture [%wb],Volatile Matter [%db],Fixed carbon  [%db],Cellulose [%db],Hemicellulose [%db],Lignin [%db],Temperature [ï¿½C],Operation (Batch/Continuous),Operating Pressure [kPa],Residence time [min],Steam/Biomass [wt/wt],ER,Gasifying agent,Reactor Type,Bed material,Catalyst,Scale,N2 [vol.% db],H2 [vol.% db],CO [vol.% db],CO2 [vol.% db],CH4 [vol.% db],C2Hn [vol.% db],LHV [MJ/Nm3 db],Tar [g/Nm3 db],Gas yield [Nm3/kg wb],Char yield [g/kg wb],CGE [%] (wb),CCE [%] (wb),Reference,Notes
1,solid recovered fuel,pellets,5x30,19.45,58.53,8.45,0.92,0.27,31.83,20.69,6.40,-,-,-,-,-,849.00,continuous,-,120.00,0.00,0.26,air,bubbling fluidised bed,olivine,olivine,pilot-scale (400 kW_th),61.94,8.50,9.77,13.40,4.19,2.20,5.39,73.00,1.62,-,53.00,70.00,"Arena, Fuel 2014, 117, 528-536",Average taken for chemical properties of fuel and converted to appropriate basis where necessary
2,solid recovered fuel,pellets,5x30,19.45,58.53,8.45,0.92,0.27,31.83,20.69,6.40,-,-,-,-,-,852.00,continuous,-,120.00,0.00,0.26,air,bubbling fluidised bed,olivine,olivine,pilot-scale (400 kW_th),61.04,7.16,9.04,15.79,4.23,2.74,5.65,47.00,1.73,-,56.00,80.00,"Arena, Fuel 2014, 117, 528-536",Average taken for chemical properties of fuel and converted to appropriate basis where necessary
3,solid recovered fuel,pellets,5x30,19.45,58.53,8.45,0.92,0.27,31.83,20.69,6.40,-,-,-,-,-,869.00,continuous,-,120.00,0.00,0.27,air,bubbling fluidised bed,olivine,olivine,pilot-scale (400 kW_th),61.94,8.48,10.52,12.33,4.59,2.15,5.55,58.00,1.72,-,58.00,75.00,"Arena, Fuel 2014, 117, 528-536",Average taken for chemical properties of fuel and converted to appropriate basis where necessary
4,solid recovered fuel,pellets,5x30,19.45,58.53,8.45,0.92,0.27,31.83,20.69,6.40,-,-,-,-,-,879.00,continuous,-,120.00,0.00,0.30,air,bubbling fluidised bed,olivine,olivine,pilot-scale (400 kW_th),62.03,8.26,10.43,12.86,4.36,2.06,5.16,39.00,1.91,-,61.00,81.00,"Arena, Fuel 2014, 117, 528-536",Average taken for chemical properties of fuel and converted to appropriate basis where necessary
5,solid recovered fuel,pellets,5x30,19.45,58.53,8.45,0.92,0.27,31.83,20.69,6.40,-,-,-,-,-,898.00,continuous,-,120.00,0.00,0.32,air,bubbling fluidised bed,olivine,olivine,pilot-scale (400 kW_th),60.89,7.11,12.78,14.09,3.34,1.79,4.91,5.00,2.04,-,61.00,92.00,"Arena, Fuel 2014, 117, 528-536",Average taken for chemical properties of fuel and converted to appropriate basis where necessary
6,solid recovered fuel,pellets,5x30,19.45,58.53,8.45,0.92,0.27,31.83,20.69,6.40,-,-,-,-,-,932.00,continuous,-,120.00,0.00,0.33,air,bubbling fluidised bed,olivine,olivine,pilot-scale (400 kW_th),64.88,7.71,10.62,11.71,3.80,1.28,4.69,42.00,2.00,-,57.00,79.00,"Arena, Fuel 2014, 117, 528-536",Average taken for chemical properties of fuel and converted to appropriate basis where necessary
7,refuse derived fuel,pellets,2x5,27.30,69.35,10.13,0.61,0.73,19.17,16.51,1.90,-,-,-,-,-,899.00,continuous,-,-,0.00,0.34,air,bubbling fluidised bed,olivine,olivine,pilot-scale (500 kW_th),64.70,5.90,7.60,13.40,6.60,1.80,5.20,15.00,2.49,-,48.00,57.58,"Arena, Waste Management 2010, 30, 1212-1219",Average taken for some of fuel properties; Gas yield calculated based on other available data (specific energy and LHV syngas) given in paper; N estimated by difference; CCE estimated by equation (hence some values >1)
8,refuse derived fuel,pellets,2x5,27.30,69.35,10.13,0.61,0.73,19.17,16.51,1.90,-,-,-,-,-,896.00,continuous,-,-,0.00,0.28,air,bubbling fluidised bed,olivine,olivine,pilot-scale (500 kW_th),62.30,7.90,8.70,12.30,7.00,1.80,5.70,43.00,2.21,-,46.00,51.52,"Arena, Waste Management 2010, 30, 1212-1219",Average taken for some of fuel properties; Gas yield calculated based on other available data (specific energy and LHV syngas) given in paper; N estimated by difference; CCE estimated by equation (hence some values >1)
9,refuse derived fuel,pellets,2x5,27.30,69.35,10.13,0.61,0.73,19.17,16.51,1.90,-,-,-,-,-,869.00,continuous,-,-,0.00,0.23,air,bubbling fluidised bed,olivine,olivine,pilot-scale (500 kW_th),57.90,9.20,9.10,12.80,8.30,2.70,6.90,54.00,1.93,-,49.00,50.60,"Arena, Waste Management 2010, 30, 1212-1219",Average taken for some of fuel properties; Gas yield calculated based on other available data (specific energy and LHV syngas) given in paper; N estimated by difference; CCE estimated by equation (hence some values >1)
10,palm empty fruit bunch,fibres,4,13.96,43.52,5.72,1.20,0.66,48.90,4.88,7.80,86.05,9.07,-,-,-,650.00,continuous,atmospheric,-,0.00,0.25,air,air-blown fluidised bed,silica sand,-,pilot-scale,62.00,7.25,11.50,17.00,2.25,0.00,3.27,-,1.30,-,28.00,50.00,"Lahijani, Bioresource Technology 2011, 102, 2068-2076",N2 content calculated by difference; LHV and HHV assumed to be the same for syngas due to low moisture content; LHV feedstock estimated from HHV ; average particle size used
11,palm empty fruit bunch,fibres,4,13.96,43.52,5.72,1.20,0.66,48.90,4.88,7.80,86.05,9.07,-,-,-,750.00,continuous,atmospheric,-,0.00,0.25,air,air-blown fluidised bed,silica sand,-,pilot-scale,57.40,6.50,13.75,18.75,3.60,0.00,3.45,-,1.50,-,37.00,64.00,"Lahijani, Bioresource Technology 2011, 102, 2068-2076",N2 content calculated by difference; LHV and HHV assumed to be the same for syngas due to low moisture content; LHV feedstock estimated from HHV ; average particle size used
12,palm empty fruit bunch,fibres,4,13.96,43.52,5.72,1.20,0.66,48.90,4.88,7.80,86.05,9.07,-,-,-,850.00,continuous,atmospheric,-,0.00,0.25,air,air-blown fluidised bed,silica sand,-,pilot-scale,53.00,7.25,17.25,19.00,3.50,0.00,4.45,-,1.75,-,50.00,75.00,"Lahijani, Bioresource Technology 2011, 102, 2068-2076",N2 content calculated by difference; LHV and HHV assumed to be the same for syngas due to low moisture content; LHV feedstock estimated from HHV ; average particle size used
13,palm empty fruit bunch,fibres,4,13.96,43.52,5.72,1.20,0.66,48.90,4.88,7.80,86.05,9.07,-,-,-,950.00,continuous,atmospheric,-,0.00,0.25,air,air-blown fluidised bed,silica sand,-,pilot-scale,51.75,9.50,18.75,17.00,3.00,0.00,4.95,-,1.90,-,63.00,82.00,"Lahijani, Bioresource Technology 2011, 102, 2068-2076",N2 content calculated by difference; LHV and HHV assumed to be the same for syngas due to low moisture content; LHV feedstock estimated from HHV ; average particle size used
14,palm empty fruit bunch,fibres,4,13.96,43.52,5.72,1.20,0.66,48.90,4.88,7.80,86.05,9.07,-,-,-,1050.00,continuous,atmospheric,-,0.00,0.25,air,air-blown fluidised bed,silica sand,-,pilot-scale,50.75,12.25,20.00,14.00,3.00,0.00,5.37,-,2.00,-,71.00,89.00,"Lahijani, Bioresource Technology 2011, 102, 2068-2076",N2 content calculated by difference; LHV and HHV assumed to be the same for syngas due to low moisture content; LHV feedstock estimated from HHV ; average particle size used
15,palm empty fruit bunch,fibres,4,13.96,43.52,5.72,1.20,0.66,48.90,4.88,7.80,86.05,9.07,-,-,-,770.00,continuous,atmospheric,-,0.00,0.17,air,air-blown fluidised bed,silica sand,-,pilot-scale,55.75,7.50,15.75,18.00,3.00,0.00,4.25,-,1.20,-,29.00,47.00,"Lahijani, Bioresource Technology 2011, 102, 2068-2076",N2 content calculated by difference; LHV and HHV assumed to be the same for syngas due to low moisture content; LHV feedstock estimated from HHV ; average particle size used
16,palm empty fruit bunch,fibres,4,13.96,43.52,5.72,1.20,0.66,48.90,4.88,7.80,86.05,9.07,-,-,-,770.00,continuous,atmospheric,-,0.00,0.21,air,air-blown fluidised bed,silica sand,-,pilot-scale,54.28,5.55,16.62,19.24,4.31,0.00,4.53,-,1.30,-,36.00,59.00,"Lahijani, Bioresource Technology 2011, 102, 2068-2076",N2 content calculated by difference; LHV and HHV assumed to be the same for syngas due to low moisture content; LHV feedstock estimated from HHV ; average particle size used
17,palm empty fruit bunch,fibres,4,13.96,43.52,5.72,1.20,0.66,48.90,4.88,7.80,86.05,9.07,-,-,-,770.00,continuous,atmospheric,-,0.00,0.28,air,air-blown fluidised bed,silica sand,-,pilot-scale,57.50,5.00,14.75,19.75,3.00,0.00,3.80,-,1.65,-,38.00,67.00,"Lahijani, Bioresource Technology 2011, 102, 2068-2076",N2 content calculated by difference; LHV and HHV assumed to be the same for syngas due to low moisture content; LHV feedstock estimated from HHV ; average particle size used
18,palm empty fruit bunch,fibres,4,13.96,43.52,5.72,1.20,0.66,48.90,4.88,7.80,86.05,9.07,-,-,-,770.00,continuous,atmospheric,-,0.00,0.32,air,air-blown fluidised bed,silica sand,-,pilot-scale,58.50,4.00,13.75,21.00,2.75,0.00,3.35,-,1.76,-,39.00,71.00,"Lahijani, Bioresource Technology 2011, 102, 2068-2076",N2 content calculated by difference; LHV and HHV assumed to be the same for syngas due to low moisture content; LHV feedstock estimated from HHV ; average particle size used
