# Table 1: Proximate and ultimate analysis of sample (pine sawdust).
Analysis,VM (dry wt.%),Ash (dry wt.%),FC (dry wt.%),C (dry wt.%),H (dry wt.%),N (dry wt.%),S (dry wt.%),O* (dry wt.%)
Pine sawdust,82.39,3.09,15.39,49.3,6.41,0.81,0,41.26
"Note: VM = Volatile matter; FC = Fixed carbon; *O calculated by difference. Feedstock: pine sawdust from Hubei Province, China. Particle size: 150-250 um, dried at 105C for 24 h."
,,,,,,,,
"Table 2. Experimental gas yields and compositions for Fe-based OCs in BCLG (T = 850°C, steam 50 µL/min, biomass feed 0.1 g/min for 10 min, OC = 1 g).",,,,,,,,
Oxygen Carrier,,,Gas Yields (mmol/g biomass),,,,Gas Composition (%),
OC Name,Support Type,Fe₂O₃:Support Ratio,H₂ Yield (mmol/g),CO Yield (mmol/g),CO₂ Yield (mmol/g),CH₄ Yield (mmol/g),H₂ Conc. (%),CO Conc. (%)
Fe₁₀ (pure Fe₂O₃),None,10:0,~10,~3,~2,~1,38%,27%
Fe₈Al₂,Al₂O₃,8:2,22.83,~7,~3,~1,44%,24%
Fe₅Al₅,Al₂O₃,5:5,~19,~6,~3,~1,43%,25%
Fe₂Al₈,Al₂O₃,2:8,~11,~4,~2,~1,41%,26%
Al₁₀ (pure Al₂O₃),Al₂O₃,0:10,~5,~1,~1,~1,38%,33%
Fe₈Zr₂,ZrO₂,8:2,17.6,~6,~2,~1,38%,27%
Fe₅Zr₅,ZrO₂,5:5,19.81,~7,~3,~1,38%,28%
Fe₂Zr₈,ZrO₂,2:8,14.2,~5,~2,~1,37%,28%
Zr₁₀ (pure ZrO₂),ZrO₂,0:10,~5,~2,~1,~1,36%,36%
Fe₈ZSM5₂,ZSM-5,8:2,16.02,~6,~2,~1,38%,27%
Fe₅ZSM5₅,ZSM-5,5:5,~13,~4,~2,~1,34%,28%
Fe₂ZSM5₈,ZSM-5,2:8,~11,~4,~2,~1,37%,30%
ZSM5₁₀ (pure ZSM-5),ZSM-5,0:10,~5,~2,~1,~1,38%,33%
"Highlighted = best performing OC (Fe₈Al₂). Values marked ~ estimated from Fig. 2 bar charts. Exact values from paper text: Fe₈Al₂ H₂=22.83 mmol/g (44%), Fe₈Zr₂ H₂=17.6 mmol/g (38.4%), Fe₈ZSM5₂ H₂=16.02 mmol/g (38.3%). OC naming: FexSupporty where x,y = mass fractions of Fe₂O₃ and support.",,,,,,,,
,,,,,,,,
Table 3. R² scores of syngas composition prediction under all ML algorithms.,,,,,,,,
Target,LR,KNN,RF,XGBR,,,,
Model / Target,LR,KNN,RF,XGBR,,,,
H₂ — Training Set,0.704,0.828,0.961,0.998,,,,
H₂ — Testing Set,0.414,0.535,0.725,0.776,,,,
CO — Training Set,0.683,0.795,0.957,0.997,,,,
CO — Testing Set,0.621,0.813,0.847,0.885,,,,
CO₂ — Training Set,0.624,0.833,0.946,0.998,,,,
CO₂ — Testing Set,0.565,0.62,0.685,0.723,,,,
CH₄ — Training Set,0.612,0.725,0.974,0.999,,,,
CH₄ — Testing Set,0.453,0.272,0.96,0.93,,,,
LR = Linear Regression; KNN = K-Nearest Neighbors; RF = Random Forest; XGBR = XGBoost Regressor. Dataset: 225 samples from 16 publications + self-generated experimental data. 80/20 train/test split. XGBR selected as primary model for best overall testing performance.,,,,,,,,
,,,,,,,,
"Table 4. R², RMSE and hyperparameter selection of XGBR models after grid search and cross-validation tuning.",,,,,,,,
Target,Train R²,Train RMSE,Test R²,Test RMSE,n_estimators,max_depth,,
H₂,0.998,0.356,0.824,5.19,36,16,,
CO,0.988,1.315,0.887,4.316,16,6,,
CO₂,0.999,0.217,0.763,3.899,44,8,,
CH₄,0.999,0.248,0.968,1.073,18,12,,
