Parameter,Value,Unit,Reference
Reference temperature,293.15,K,-
Reference pressure,1.013,bar,-
Biomass gasification - MSW LHV,13980,kJ/kg,[45]
Biomass gasification - Biomass mass flow rate,1.155,kg/s,[45]
Biomass gasification - The heat of formation,-221579,kJ/kmol,[45]
Biomass gasification - Temperature of the syngas,823.15,K,[45]
Biomass gasification - Mass flow rate of syngas,3.683,kg/s,[45]
Biomass gasification - Moisture content,14.93,wt. %,[45]
Biomass gasification - MSW chemical composition,CH1.46O0.69,-,[45]
Biomass gasification - Molar equivalence ratio,0.7,-,[45]
Biomass gasification - Oxygen mole fraction in air,21,%,[45]
Biomass gasification - Nitrogen mole fraction in air,79,%,[45]
Gas turbine cycle - dP_Hot_APH,1.5,%,[46]
Gas turbine cycle - dP_cold_APH,3,%,[46]
Gas turbine cycle - η_is_AC1,87,%,[46]
Gas turbine cycle - η_is_AC2,87,%,[46]
Gas turbine cycle - η_is_GT,89,%,[46]
Gas turbine cycle - T_12,280,K,[46]
Gas turbine cycle - PR_AC1,2.3,-,[46]
Gas turbine cycle - PR_AC2,2.3,-,[46]
Gas turbine cycle - T_14,1500,K,[46]
Supercritical CO₂ cycle - PR_MC,3.09,-,[23]
Supercritical CO₂ cycle - PR_RC,2.968,-,[23]
Supercritical CO₂ cycle - T_max,823.15,K,[23]
Supercritical CO₂ cycle - η_is_comp,85,%,[23]
Supercritical CO₂ cycle - η_is_turb,90,%,[23]
Supercritical CO₂ cycle - dP_HEX,2,%,[23]
Supercritical CO₂ cycle - dP_LTR,3,%,[23]
Supercritical CO₂ cycle - dP_HTR,1,%,[23]
Supercritical CO₂ cycle - ΔT_pp_GEN,3,K,[23]
Supercritical CO₂ cycle - P6,74,bar,[23]
Supercritical CO₂ cycle - SR,0.25,-,[23]
Kalina cycle - Recuperators temperature difference of pinch point,8,K,[47]
Kalina cycle - Evaporator temperature difference of pinch point,20,K,[47]
Kalina cycle - Condensers temperature difference of pinch point,4,K,[47]
Kalina cycle - Turbine inlet pressure,140,bar,[47]
Kalina cycle - Working solution ammonia concentration,0.6,-,[47]
Kalina cycle - Inlet temperature of Kalina turbine,773.15,K,[47]
Kalina cycle - Pumps isentropic efficiency,70,%,[47]
Kalina cycle - Turbine isentropic efficiency,85,%,[47]
Kalina cycle - Basic solution ammonia concentration,0.4037,-,[47]
Kalina cycle - Inlet temperature of separator (T29),347,K,[47]
Kalina cycle - Temperature of condenser outlet water,303.15,K,[47]
Kalina cycle - Temperature of condenser inlet water,293.15,K,[47]
Kalina cycle - Pinch point temperature difference of condenser,4,K,[48]
Kalina cycle - Pinch point temperature difference of evaporator,5,K,[48]
Kalina cycle - Isentropic efficiency of turbine,80,%,[48]
Kalina cycle - Isentropic efficiency of pump,80,%,[48]
Steam Rankine cycle - Minimum temperature approach in evaporator,10,K,[49]
Steam Rankine cycle - Minimum temperature approach in condenser,5,K,[49]
Steam Rankine cycle - Inlet pressure of the turbine,38.19,bar,[49]
Steam Rankine cycle - Turbine isentropic efficiency,85,%,[49]
Steam Rankine cycle - Pump isentropic efficiency,80,%,[49]
PEME - Cell temperature,353,K,[50]
PEME - Cell pressure,1,bar,[50]
PEME - Current density (J),6000,A/m²,[50]
PEME - Active surface area,0.01,m²,[50]
PEME - Membrane thickness (D),50,μm,[50]
λ_an,14,-,[50]
λ_ca,10,-,[50]
Cell number,49,-,[50]
Methanation - Reactor operation temperature,573,K,[51]
Methanation - Reactor operation pressure,200,bar,[51]
Methanation - Reactor pressure drop,2,%,[51]
Methanation - Isentropic efficiency of pumps,85,%,[51]
Methanation - Efficiency of the HEX7,75,%,[51]
Methanation - Heat exchangers pressure drop,2,%,[51]
Methanation - Storage temperature,308,K,[51]
Carbon capture unit - Compressor adiabatic efficiency,75,%,[52]
Carbon capture unit - Theoretical stages number,10,-,[52]
Carbon capture unit - Operating pressure,1.161,bar,[52]
Carbon capture unit - Top temperature,313.6,K,[52]
Carbon capture unit - Bottom temperature,314.06,K,[52]
Z_TEG,0.8,-,[50]
