Components,Energy balance equations (E_Fuel / E_Product / E_Loss),Exergy balance equations,
Biomass,Presented in section 3.3.1,Ė₁ + Ė₂,
Gasifier,Presented in section 3.3.1,Ė₁ + Ė₃,
Combustion Chamber,m₆ = m₅ + m₄Q_in = ṁ_WDG LHV_WDG Q_loss = 0.02·Q_in,Ė₄ + Ė₅ / Ė₆,
Cooler,ṁ₉(h₉ - h₈) = m₄₀(h₄₁ - h₄₀),Ė₉ / Ė₁₀,
Gas turbine cycle - Air compressor 1,W_AC1 = m₁₁₁(h₁₁ - h₁₀),W_AC1,
Gas turbine cycle - Air compressor 2,W_AC2 = m₁₁₃(h₁₃ - h₁₂),W_AC2,
Gas turbine cycle - Heat exchanger 1,m₁₁₁(h₁₁ - h₁₂) = m₄₇(h₆₇ - h₆₆),Ė₁₂ / Ė₆₆,
Gas turbine cycle - Heat exchanger 2,m₁₄(h₁₄ - h₁₃) = m₆(h₈ - h₇),Ė₇ / Ė₁₃,
Gas turbine cycle - Gas turbine,W_GT = m₁₄(h₁₄ - h₁₅),Ė₁₄ - W_GT,
Gas turbine cycle - Air preheater,m₁₈(h₁₅ - h₁₆) = m₄(h₈ - h₄),Ė₁₅ - Ė₁₆,
Kalina cycle - Evaporator,ṁ₇(h₇ - h₈) = m₁₉(h₁₉ - h₃₅),Ė₉ - Ė₁₉,
Kalina cycle - Turbine,W_TUR = m₁₉(h₁₉ - h₂₀),Ė₁₉ - W_TUR,
Kalina cycle - Recuperator 1,m₂₀(h₂₀ - h₂₁) = m₃₃(h₃₃ - h₃₄),Ė₂₀ - Ė₂₁,
Kalina cycle - Recuperator 2,m₂₁(h₂₁ - h₂₂) = m₂₇(h₂₇ - h₂₃),Ė₂₁ - Ė₂₂,
Kalina cycle - Condenser 1,m₂₃(h₂₃ - h₂₄) = m₃₅(h₃₅ - h₃₄),Ė₂₃ - Ė₂₄,
Kalina cycle - Condenser 2,m₂₆(h₂₆ - h₃₆) = m₃₂(h₃₉ - h₃₀),Ė₂₄ - Ė₂₆,
Kalina cycle - Pump 1,W_PU1 = m₂₄(h₂₅ - h₂₄),W_PU1,
Kalina cycle - Pump 2,W_PU2 = m₃₃(h₃₃ - h₃₃),W_PU2,
Kalina cycle - Separator,m₂₀ h₂₀ = m₂₉ h₂₉ + m₃₀ h₃₀,Ė₂₀ / Ė₃₀ + Ė₂₉,
Kalina cycle - Mixer 1,m₂₂ + m₃₁ h₃₁ = m₂₃,Ė₃₁ + Ė₂₂ / Ė₂₃,
Kalina cycle - Mixer 2,m₂₆ + m₂₈ + h₂₈ = m₂₆ + m₂₈,Ė₂₆ + Ė₂₈ / Ė₂₆,
Kalina cycle - Splitter,h₂₈ = h₂₇,h₂₅ = h₂₆,Ė₂₅ / Ė₂₈ + Ė₂₆
Kalina cycle - Throttling valve,h₃₀ = h₃₁,Ė₃₀ / Ė₃₁,
Supercritical CO₂ cycle - Main compressor,W_MC = (1 - SR) m₄₉(h₄₉ - h₄₀),W_MC,
Supercritical CO₂ cycle - Re-compressor,W_RC = SR m₅₁(h₅₁ - h₄₇),W_RC,
Supercritical CO₂ cycle - Turbine,W_TUR = m₄₂(h₄₂ - h₄₃),W_TUR,
Supercritical CO₂ cycle - High temperature recuperator,m₅₂(h₅₃ - h₅₂) = m₄₃(h₄₃ - h₄₄),Ė₄₃ - Ė₄₄,
Low temperature recuperator,m₅₀(h₅₀ - h₄₉) = m₄₄(h₄₄ - h₄₅),Ė₄₄ - Ė₄₅ / Ė₄₉ - Ė₅₀,
Generator,ε_LTR = (T₄₄ - T₄₉) / (T₄₄ - T₄₉),Ė₁₆ - Ė₁₇,
Mixer,m₁₆(h₁₆ - h₁₇) = m₁₇,Ė₅₀ + Ė₅₁ = m₅₂ h₅₂,
Organic Rankine cycle - Turbine,W_TUR = m₅₄(h₅₄ - h₅₅),Ė₅₄ - W_TUR / Ė₅₄ - Ė₅₅,
Organic Rankine cycle - Evaporator,m₄₆(h₄₆ - h₄₀) = m₄₇(h₅₄ - h₅₇),Ė₄₆ - Ė₄₀ / Ė₅₄ - Ė₅₇,
Organic Rankine cycle - Pump,W_PU = m₅₆(h₅₇ - h₅₆),W_PU / Ė₅₇ - Ė₅₆,
Organic Rankine cycle - Condenser,m₅₅(h₅₅ - h₅₈) = m₅₆(h₅₉ - h₅₈),Ė₅₅ - Ė₅₈ / Ė₅₈ - Ė₅₉,
Steam Rankine cycle - Evaporator,m₁₇(h₁₇ - h₁₀) = m₆₀(h₆₀ - h₆₃),Ė₁₇ - Ė₁₀ / Ė₆₀ - Ė₆₃,
Steam Rankine cycle - Turbine,W_TUR = m₆₀(h₆₀ - h₆₁),W_TUR / Ė₆₀ - W_TUR,
Steam Rankine cycle - Pump,W_PU = m₆₃(h₆₃ - h₆₂),W_PU / Ė₆₃ - Ė₆₂,
Steam Rankine cycle - Condenser,m₆₁(h₆₁ - h₆₂) = m₆₄(h₆₅ - h₆₄),Ė₆₁ - Ė₆₂ / Ė₆₂ - Ė₆₄,
