State,Working fluid,T(K),P(bar),x (-),m(kg/s),h(kJ/kg),s(kJ/kg K),Ė(kW)
1,Air,293.2,1.013,-,2.71,0,0,14.52
2,MSW,293.2,1.013,-,1.155,18908,-,
3,Syngas,823,1.013,-,3.683,-2882,1.794,10908
4,Air,293.2,1.013,-,3.853,293.3,6.843,20.65
5,Air,847.8,1.013,-,3.853,875.1,7.947,1015
6,Exhaust gas,1877,1.013,-,7.536,-989.7,2.497,10757
7,Exhaust gas,826.2,1.013,-,7.536,-2383,1.42,2635
8,Exhaust gas,379.1,1.013,-,7.536,-2894,0.5359,734.9
9,Exhaust gas,323.1,1.013,-,7.536,-2954,0.3658,661.4
10,Air,293.2,1.013,-,8.268,293.3,6.843,0
11,Air,383.5,2.323,-,8.268,384.3,6.874,676
12,Air,280,2.288,-,8.268,279.8,6.561,571.2
13,Air,366.5,2.263,-,8.268,366.6,6.592,1213
14,Air,1500,5.105,-,8.268,1637,8.145,7951
15,Air,1066,1.013,-,8.268,1122,8.206,3550
16,Air,826.2,1.013,-,8.268,851.2,7.918,2006
17,Air,672,1.013,-,8.268,683.6,7.694,1164
18,Air,313.2,1.013,-,8.268,313.5,6.909,5.433
19,NH₃H₂O,773.2,140,0.6,1.436,2854,6.215,19146
20,NH₃H₂O,369.3,1.688,0.6,1.436,1967,6.64,17690
21,NH₃H₂O,359.6,1.688,0.6,1.436,1701,5.911,17617
22,NH₃H₂O,315.6,1.688,0.6,1.436,630.4,2.79,17394
23,NH₃H₂O,321.1,1.688,0.4037,4.222,299.2,1.587,35122
24,NH₃H₂O,297.2,1.688,0.4037,4.222,-122,0.2283,35026
25,NH₃H₂O,297.2,1.688,0.4037,4.222,-121.5,0.2288,35028
26,NH₃H₂O,297.2,1.688,0.4037,0.9181,-121.5,0.2288,7618
27,NH₃H₂O,297.2,1.688,0.4037,3.303,-121.5,0.2288,27410
28,NH₃H₂O,347,1.688,0.4037,3.303,343.9,1.637,27583
29,NH₃H₂O,347,1.688,0.9478,5.0182,1502,5.323,9842
30,NH₃H₂O,347,1.688,0.3025,2.785,128.4,0.9516,17734
31,NH₃H₂O,323.5,1.688,0.3025,2.785,128.4,0.9656,17722
32,NH₃H₂O,325.6,1.688,0.6,1.436,464.3,2.079,17452
33,NH₃H₂O,297.2,1.688,0.6,1.436,-119.5,0.2079,17404
34,NH₃H₂O,300,140,0.6,1.436,-95.02,0.2324,17429
35,NH₃H₂O,358.2,140,0.6,1.436,171.2,1.042,17470
36,Water,293.2,1.013,-,42.51,83.93,0.2962,22391
37,Water,303.2,1.013,-,42.51,125.8,0.3465,22421
38,Water,293.2,1.013,-,20.04,83.93,0.2962,10559
39,Water,303.2,1.013,-,20.04,125.8,0.3465,10573
40,Water,293.2,1.013,-,2.684,83.93,0.2962,0
41,Water,333.2,1.013,-,2.684,251.2,0.8311,28.11
42,CO₂,823.2,198.5,-,7.332,528.5,0.00376,3871
43,CO₂,706.1,74,-,7.332,399.8,0.02419,2883
44,CO₂,561.6,71.78,-,7.332,234.9,0.2313,2223
45,CO₂,421.3,70.34,-,7.332,77.83,-0.5495,1756
46,CO₂,421.3,70.34,-,5.499,77.83,-0.5495,1317
47,CO₂,421.3,70.34,-,1.833,77.83,-0.5495,438.9
48,CO₂,308.2,68.94,-,5.499,-86.27,-1.01,1156
49,CO₂,398.5,213,-,5.499,-33.59,-0.9899,1414
50,CO₂,536.2,208.8,-,5.499,172.2,-0.5386,1818
51,CO₂,543.8,208.8,-,1.833,182,-0.5205,614.2
52,CO₂,538.1,208.8,-,7.332,174.6,-0.5341,2432
53,CO₂,670,202.5,-,7.332,359.6,-0.2541,3040
54,Toluene,416.3,2.36,-,1.597,405.4,0.9797,223.9
55,Toluene,334.4,0.036,-,1.597,298.2,1.063,13.82
56,Toluene,297.2,0.036,-,1.597,-159.6,-0.4703,-0.1063
57,Toluene,297.2,2.36,-,1.597,-159.6,-0.47,0.3251
58,Water,293.2,1.013,-,17.49,83.93,0.2962,0
59,Water,293.2,1.013,-,17.49,83.93,0.3465,122
60,Steam,662,38.19,-,1.007,3190,6.754,1222
61,Steam,308.2,0.056,-,1.007,104.1,2.798,104.1
62,Steam,662,38.19,-,1.007,146.6,0.5051,1.468
63,Steam,308.5,38.19,-,1.007,151.4,0.5081,5.376
64,Water,293.2,1.013,-,50.4,83.93,0.2962,0
65,Water,303.2,1.013,-,50.4,125.8,0.3465,35.16
66,Water,293.2,1.013,-,5.165,83.93,0.2962,0
67,Water,333.2,1.013,-,5.165,251.2,0.8311,54.08
