State,T(K),P(bar),h(kJ/kg),s(kJ/kg K),m(kg/s),Mass fraction H₂O,Ammonia,NaCl,H₂,O₂
68,293.2,1.013,-1587.0,3.001,1.4975,0.999,-0,0.001,-,-
69,373,1.013,-1329.0,10.06,0.6691,0.9999,0.0001,0,-,-
70,373,1.013,-1555.0,3.973,0.8283,0.9982,0.0001,0.0017,-,-
71,372.7,1.013,-1318.0,9.95,0.6691,0.9999,0.0001,0,-,-
72,358.9,0.6,-1555.0,3.976,0.8283,0.9999,0.0001,0.0017,-,-
73,358.9,0.6,-1562.0,3.754,0.1474,0.9901,0.001,0.0089,-,-
74,358.9,0.6,-1311.0,10.23,0.6808,1,0,0,-,-
75,359,0.6,-1420.0,7.133,1.3503,1,0,0,-,-
76,293.2,1.013,83.93,0.2962,1.7803,1,0,0,-,-
77,303.2,1.01,125.8,0.4365,0.7809,1,0,0,-,-
78,353.2,1.013,-1563.0,3.762,1.3503,1,0,0,-,-
79,353.2,1.013,50.8,0.1572,0.02438,-,-,-,0,1
80,353.2,1.013,4723,55.82,0.003047,-,-,-,1,0
