State,T(K),P(bar),h(kJ/kg),s(kJ/kg K),m(kg/s),Mass fraction CO₂,MEA,N₂,O₂,H₂O
81,511.3,4.16,-3145,5.442,7.536,0.3171,0,0.6023,0.0379,0.0426
82,323.2,4.16,-3448,4.767,7.536,0.3171,0,0.6023,0.0379,0.0426
83,313.2,4.16,-4332,0.1744,285.8,0,0.3171,0,0,0
84,313.26,4.16,-393.5,4.915,4.91,0.0453,0.9909,0.8993,0.0545,0.0011
85,314.1,4.16,-4376,0.2167,288.3,0.0075,0.9905,0.0004,0.0011,0.0011
86,313.65,0.15,-4376,0.2212,288.3,0.0075,0.9909,0.004,0.0011,0.0011
87,313.65,0.15,-4348,0.2864,286.3,0.0010,0.9979,0,0,0.0011
88,313.65,0.15,-8251,4.532,2.0579,0.9102,0.0156,0.0589,0.0101,0.0051
89,313.65,0.15,-8251,4.532,2.0409,0.9102,0.0156,0.0589,0.0101,0.0051
90,313.65,0.15,-8251,4.532,0.016663,0.9102,0.0156,0.0589,0.0101,0.0051
