State,T(K),P(bar),h(kJ/kg),s(kJ/kg K),m(kg/s),Mass fraction CO₂,H₂,CH₄,H₂O
91,563.3,2.041,253.8,0.47,0.008315,1,0,0,0
92,523,2,211.7,0.3964,0.008315,1,0,0,0
93,447.7,2.041,6091,56.27,0.001524,0,1,0,0
94,502.1,2.041,6881,58.02,0.001524,0,1,0,0
95,523,2,7184,58.69,0.00152,0,1,0,0
96,523,2,377.7,0.9764,0.009838,0.7318,1.2682,0,0
97,529.6,1.92,853.6,2.572,0.003429,0.142,0.2601,0.832,0
98,529.6,1.92,853.6,2.593,0.003429,0.142,0.2601,0.832,0
99,562.7,1.882,821.2,2.737,0.003429,0.142,0.2601,0.832,0
100,308,20.96,107.3,-0.2703,0.006366,0,0,0,1
101,573,1.96,3071,7.901,0.006366,0,0,0,1
102,479,1.92,2882,7.55,0.006366,0,1,0,1
103,353.2,1.013,4723,55.82,0.001524,0,0,0,1
