Component,Ė_Fuel (kW),Ė_Product (kW),Ė_Destruction (kW),ε (%),
Biomass,Gasifier,18923,10908,8014,57.7
Combustion chamber,11923,10757,1166,90.2,
Cooler,73.46,28.11,45.36,38.3,
Gas turbine cycle - Air compressor 1,751.9,676,75.89,89.9,
Gas turbine cycle - Air compressor 2,718.9,642.2,76.72,89.4,
Gas turbine cycle - Heat exchanger 1,104.8,50.08,54.72,51.6,
Gas turbine cycle - Heat exchanger 2,8122,6737,1384,83.0,
Gas turbine cycle - Gas turbine,4401,4235,148.4,96.6,
Gas turbine cycle - Air preheater,1544,994.7,549.5,64.4,
Kalina cycle - Evaporator,1900,1676,224.4,88.2,
Kalina cycle - Turbine,1456,1274,181.6,87.5,
Kalina cycle - Recuperator 1,72.75,41.23,31.52,56.7,
Kalina cycle - Recuperator 2,223.3,173.5,49.82,77.7,
Kalina cycle - Condenser 1,96.22,29.65,66.57,30.8,
Kalina cycle - Condenser 2,47.71,13.98,33.73,29.3,
Kalina cycle - Pump 1,2.051,1.444,0.6072,70.4,
Kalina cycle - Pump 2,35.1,24.78,10.32,70.6,
Kalina cycle - Separator,27583,27576,7.563,99.9,
Kalina cycle - Mixer 1,35113,35112,1.01,99.9,
Kalina cycle - Mixer 2,17460,17452,8.104,99.9,
Kalina cycle - Splitter,35028,35028,-0,100,
Kalina cycle - Throttling valve,17734,17722,11.41,99.9,
Supercritical CO₂ cycle - Turbine,987.6,943.7,43.91,95.6,
Supercritical CO₂ cycle - Main compressor,289.7,257.6,32.13,88.9,
Supercritical CO₂ cycle - Re-compressor,190.9,175.3,15.61,91.8,
Supercritical CO₂ cycle - High temperature recuperator,660.3,607.6,52.77,92.0,
Supercritical CO₂ cycle - Low temperature recuperator,467.3,404.1,63.27,86.5,
Supercritical CO₂ cycle - Generator,841.6,831.2,10.4,98.8,
Supercritical CO₂ cycle - Mixer,2432,2432,0.054,100,
Organic Rankine cycle - Turbine,210.1,171.3,38.81,81.5,
Organic Rankine cycle - Evaporator,223.6,160.4,63.18,71.8,
Organic Rankine cycle - Pump,0.5375,0.4314,0.106,80.3,
Organic Rankine cycle - Condenser,13.93,12.2,1.724,87.6,
Steam Rankine cycle - Evaporator,1216,1159,57.77,95.3,
Steam Rankine cycle - Turbine,1118,957.1,160.7,85.6,
Steam Rankine cycle - Pump,4.826,3.908,0.9176,81.0,
Steam Rankine cycle - Condenser,102.6,35.16,67.47,34.3,
Wastewater treatment unit - Separator 1,429,352.9,76.19,82.2,
Wastewater treatment unit - Heat exchanger 4,9835,9707,127,88.7,
Wastewater treatment unit - Throttling valve,27.18,26.38,0.7952,97.1,
Wastewater treatment unit - Separator 2,301.5,282.8,18.67,93.8,
Wastewater treatment unit - Heat exchanger 5,9665,6030,3634,62.4,
Wastewater treatment unit - Mixer,9712,9665,47.3,99.5,
PEME electrolyzer,622.4,333.1,289.3,53.5,
Carbon capture unit - Compressor,1500,1271,228.8,84.8,
Carbon capture unit - Heat exchanger 3,1284,1003,281,78.1,
Carbon capture unit - Absorber column,1301,1144,157.8,87.9,
Carbon capture unit - Throttling valve,542.3,153.5,388.7,28.3,
Carbon capture unit - Separator,1533,714.5,820.9,46.5,
Methanation unit - Pump 3,2.001,1.84,0.1612,92.0,
Methanation unit - Heat exchanger 6,0.1736,0.1703,0.0033,98.1,
Methanation unit - Pump 4,2.089,1.822,0.267,90.0,
Methanation unit - Heat exchanger 7,0.5483,0.4225,0.1258,77.1,
Methanation unit - Heat exchanger 8,0.2574,0.1602,0.09716,62.3,
Methanation unit - Mixer,187.4,187.4,0,100,
Sabatier reactor,187.4,168.9,18.44,90.2,
