State,T(K) Present work,T(K) Ref. [2],P(bar) Present work,P(bar) Ref. [2],s(kJ/kg.K) Present work,s(kJ/kg.K) Ref. [2],h(kJ/kg) Present work,h(kJ/kg) Ref. [2],m(kg/s) Present work,m(kg/s) Ref. [2]
1,670,670.61,204.7,204.7,-0.2565,-0.2554,339.3,340,3174,3187
2,823.2,823.15,200.6,200.6,0.00143,0.0014,528.3,528.3,3174,3187
3,704.9,704.87,74,74,0.0221,0.02207,398.3,398.3,3174,3187
4,565.4,567.66,71.78,71.78,-0.2237,-0.2192,239.1,241.7,3174,3187
5,421.1,421.47,70.34,70.34,-0.55,-0.5491,77.61,78,3174,3187
6,308.2,308.15,69.64,69.64,-1.018,-1.018,-88.36,-88.36,2380,2375
7,397.6,397.67,215.2,215.3,-0.9979,-0.9979,-36.26,-36.24,2380,2375
8,542.7,545.32,211,211,-0.5259,-0.5198,180,183.4,3174,3187
9,298.2,298.15,1.01,1.01,0.3669,0.3669,104.8,104.8,4107,4105
10,321.2,321.16,0.9999,0.9999,0.6777,0.6779,201,201.1,4107,4105
