State,T(°C) Present work,T(°C) Ref. [3],P(bar) Present work,P(bar) Ref. [3],x(%) Present work,x(%) Ref. [3],h(kJ/kg) Present work,h(kJ/kg) Ref. [3],m(kg/s) Present work,m(kg/s) Ref. [3]
1,500,500,100,100,0.6,0.6,2883,3032.7,24.99,26.06
2,124.7,117.5,1.688,1.89,0.6,0.6,2030,2214.2,24.99,26.06
3,86.3,88,1.688,1.89,0.6,0.6,1695,1856.7,24.99,26.06
4,38.44,33.8,1.688,1.89,0.6,0.6,574.9,679.1,24.99,26.06
5,44.56,45.4,1.688,1.89,0.4037,0.4037,244.1,340.1,84.21,89.07
6,24,24.2,1.688,1.89,0.4037,0.4037,-122,-21.4,84.21,89.07
7,24.05,24.2,4.66,4.92,0.4037,0.4037,-121.5,-20.9,84.21,89.07
8,24.05,24.2,4.66,4.92,0.4037,0.4037,-121.5,-20.9,16.14,16.86
9,24.05,24.2,4.66,4.92,0.4037,0.4037,-121.5,-20.9,68.07,72.22
10,70,70,4.66,4.92,0.4037,0.4037,283.6,404.1,68.07,72.22
11,70,70,4.66,4.92,0.958,0.9597,1482,1802.7,8.851,9.20
12,70,70,4.66,4.92,0.3209,0.3225,104.6,199.9,59.22,63.01
13,46.67,49.2,1.688,1.89,0.3209,0.3225,104.6,199.9,59.22,63.01
14,51.24,49.4,4.66,4.92,0.6,0.6,446.4,623.1,24.99,26.06
15,24,24,4.66,4.92,0.6,0.6,-119.4,70.8,24.99,26.06
16,26.02,25.9,100,100,0.6,0.6,-102.2,87.9,24.99,26.06
17,97.86,96.1,100,100,0.6,0.6,232.6,445.3,24.99,26.06
