State,T(k) This work,T(k) Ref. [4],P(kPa) This work,P(kPa) Ref. [4],n(mole/s) This work,n(mole/s) Ref. [4],CO2 mole frac This work,CO2 mole frac Ref. [4],H2O mole frac This work,H2O mole frac Ref. [4],H2 mole frac This work,H2 mole frac Ref. [4],CH4 mole frac This work,CH4 mole frac Ref. [4]
52,303.2,303.2,99.3,99.3,0.2834,0.2834,1,1,-,-,-,-,-,-
63,353,353,101.3,101.3,1.134,1.134,-,-,-,-,1,1,-,-
64,447.4,449.8,208.2,211,1.134,1.134,-,-,-,-,1,1,-,-
65,502.1,502.2,204.1,206.7,1.134,1.134,-,-,-,-,1,1,-,-
66,523,523,200,202.6,1.134,1.134,-,-,-,-,1,1,-,-
67,363.1,364.2,204.1,206.7,0.2834,0.2834,1,1,-,-,-,-,-,-
68,523,523,200,202.6,0.2834,0.2834,1,1,-,-,-,-,-,-
69,523,523,200,202.6,1.417,1.417,0.2,0.2,-,-,0.8,0.8,-,-
70,573,573,196,198.5,0.3535,0.3498,0.0474,0.0475,-,-,0.1907,0.19,0.762,0.763
71,530,530,192.1,194.6,0.3535,0.3498,0.0474,0.0475,-,-,0.1907,0.19,0.762,0.763
72,397.3,397.9,188.2,190.7,0.3535,0.3498,0.0474,0.0475,-,-,0.1907,0.19,0.762,0.763
73,308,308,2026,2025,0.3535,0.3498,0.0474,0.0475,-,-,0.1907,0.19,0.762,0.763
74,573,573,196,198.5,0.5305,0.5337,-,-,1,1,-,-,-,-
75,479,481.5,192.1,194.6,0.5305,0.5337,-,-,1,1,-,-,-,-
