Serial,Hydrogen_Route_Normalised,Code
1,SCWG,1
2,Biofuel (HTL; pyrolysis),7
3,SCWG,1
4,Gasification,2
5,Gasification,2
6,Gasification,2
7,Gasification,2
8,Gasification,2
9,Gasification,2
10,Gasification,2
11,Gasification,2
12,Gasification,2
13,Gasification,2
14,Biological (Biophotolysis + Fermentation),4
15,Other/Hybrid,8
16,Multiple,6
17,Gasification,2
18,Fermentation,3
19,Fermentation,3
20,Fermentation,3
21,Fermentation,3
22,Fermentation,3
23,Fermentation,3
24,Fermentation,3
25,Fermentation,3
26,Fermentation,3
27,Biogas Reforming (SR + DR),5
28,Fermentation,3
29,Gasification,2
