Serial,Title,Year,Author,Journal,Country/Region,Type,Hydrogen Route,Feedstock,Integrated System,Carbon Capture,Dataset_Original_Entry,Dataset_Size_Numeric,Dataset_Type,Dataset_Notes,ML Algorithms,Optimization Method,Surrogate Model,Dynamic Modelling,TEA,LCA,Uncertainty Quantification,Interpretability Method,Best RÂ²,Key Performance Metric,Research Gap Category
1,Review on SCWG degradation pathways catalyst screening and ML,2025,Reza Dehdari;Sahand Azadvar;Omid Tavakoli,Biomass and Bioenergy,Iran,Review,SCWG,Biomass; sludge; plastics; food waste,Yes,No,N/A,,Review,"Review-based, no dataset size",ANN; SVM; RF; GBR,None,No,No,No,No,No,None,N/A,Hâ‚‚ yield; syngas composition,Pilot-scale validation; hybrid ML; LCA
2,Advancing algal biofuel production through ML review,2025,Olakunle Ayodeji Omole;Chukwuma C. Ogbaga;Jude A. Okolie;Olugbenga Akande;Richard Kimera;Joseph Lepnaan Dayil,Computers & Chemical Engineering,Korea/Nigeria/US,Review,Biofuel (HTL; pyrolysis),Algae,No,No,N/A,,Review,Classification accuracies reported,CNN; SVM; RF; ANN; XGB; ELM,GA; PSO,Yes,No,No,No,No,None,0.99 (classification),Yield prediction; classification,Biohydrogen focus; PINNs; uncertainty
3,ML modeling of SCWG for predictive Hydrogen production,2025,Kapil Khandelwal;Sonil Nanda;Ajay K. Dalai,Biomass and Bioenergy,Canada,Simulation,SCWG,Biomass,Yes,No,237,237,Experimental,Literature-derived SCWG dataset,MLR; SVM; ANN; RF; DT; GBR; XGB; GPR,GA; PSO,No,No,No,No,No,SHAP; PDP,0.958,Hâ‚‚ yield,Larger datasets; TEA; dynamic modelling
4,Tar inhibition for Hydrogen  production from biomass gasification,2025,Xuya Wang;Shenggui Ma;Wenyao Duan;Chong Liu;Siwei Liu;Xia Jiang;Hualin Wang,International Journal of Hydrogen Energy,China,Simulation,Gasification,Biomass,No,No,276,276,Experimental,Lab-scale biomass gasification dataset,SVR; RF; MLP; Adaboost,PSO,No,No,No,No,No,SHAP; PDP,0.91,Tar yield; Hâ‚‚ concentration,Larger datasets; dynamic modelling; TEA
5,"Co-gasification of coal, biomass with waste plastic in a fluidized bed",2025,Shuai Yan;Jingyue Mao;Xueqin Wei;Weiwei Li,Journal of Environmental Chemical Engineering,China,Simulation,Gasification,Coal + Biomass + Plastics,Yes,No,N/A,,Simulation,Compiled dataset from literature,SVM; RF; MLP; ANN,Architecture tuning,No,No,No,No,No,None,N/A,Syngas composition; Hâ‚‚/CO ratio,Dataset expansion; CCS; TEA
6,Modeling study on biomass gasification for H2-rich syngas production based on ML: A comprehensive review,2026,Miao Wang;Le Chen;Dengyu Chen;Kuan Ding;Bin Li;Peng Lv;Xudong Song;Yue Jiao;Qinghua Guo;Guangsuo Yu;Ankui Huang; Juntao Wei,Renewable and Sustainable Energy Reviews,China,Review,Gasification,Forestry residues; agricultural wastes; MSW; wastewater biomass,No,No,30-4826,,Literature,Range 30–4826 samples across studies,MLR; Polynomial Regression; SVR; RF; ANN; GBR; XGBoost; AdaBoost; DL,None,No,No,No,No,Partial (uncertainty mentioned),Garson; Pearson; SHAP,N/A,Hâ‚‚ yield; syngas composition,Standardized datasets; uncertainty; TEA; hybrid ML; dynamic modelling
7,Biomass and waste plastics chemical looping co-gasification for hydrogen-electricity-DME conservation and recycling based on ML,2025,Wende Tian;Shuming Zhang;Shaochen Wang,Energy,China,Original Research,Gasification (Chemical Looping),Biomass + Plastics,Yes,No,Simulation dataset,,Simulation,Simulation dataset (equilibrium assumptions),ANN; NSGA-II,NSGA-II,Yes,No,No,No,No,None,N/A,Hâ‚‚ yield; energy consumption,Experimental validation; dynamic modelling; TEA; hybrid ML; uncertainty
8,Data-driven model for prediction of syngas composition and end-use application from gasification of residual biomass,2026,Laura C.G. Velandia;Samira Garcia-Freites;Marco Sanjuan,Biomass and Bioenergy,Colombia,Original Research,Gasification,Residual biomass (agro-industrial; forestry; MSW; sludge; RDF),No,No,133,133,Literature,"56 publications, residual biomass",CatBoost,Optuna Bayesian tuning,No,No,No,No,No,SHAP,>0.90 (classification),Syngas composition; end-use classification,Larger datasets; TEA; dynamic modelling; hybrid ML; uncertainty
9,Structure optimization and parameter identification of a downdraft biomass gasifier using CFD + ML,2026,Yuyang Hu;Fuchun Yuan;Zhiqiang Yin,Renewable Energy,China,Original Research,Gasification (Downdraft),Wood pellets; chips; straw; furniture waste,No,No,CFD dataset,,CFD,CFD-generated dataset,RFR; GBR; MLR; KNN; Kernel Ridge; Bayesian regression,LHS sampling,No,No,No,No,No,Sobol; Gini importance,<0.90,Hâ‚‚ fraction; cold gas efficiency,Tar cracking; dynamic modelling; expanded feedstocks; TEA; hybrid ML
10,Explainable ML reveals key drivers of hydrogen-rich syngas in steam co-gasification of multi-source wastes,2026,Xu Wang;Qianqian Guo;Shiyang Sun,International Journal of Hydrogen Energy,China,Original Research,Gasification (Steam Co-gasification),Biomass; plastics; sludge; coal blends,No,No,150,150,Literature,Experimental cases compiled,LR; SVM; BPANN; RF; XGBoost,GA + Bayesian tuning,No,No,No,No,No,SHAP; PDP,0.94,Hâ‚‚ yield; syngas composition,Larger datasets; dynamic modelling; TEA; hybrid ML; uncertainty
