Serial,Research_Gap_Normalised,Code
1,Pilot-scale validation,8
1,Hybrid ML,9
1,LCA,12
2,Expanded feedstocks/catalysts,6
2,Hybrid ML,9
2,Uncertainty,14
3,Larger datasets,2
3,TEA,1
3,Dynamic Modelling,10
4,Larger datasets,2
4,Dynamic Modelling,10
4,TEA,1
5,Larger datasets,2
5,Carbon Capture & Storage (CCS),13
5,TEA,1
6,Standardized datasets,4
6,Uncertainty,14
6,TEA,1
6,Hybrid ML,9
6,Dynamic Modelling,10
7,Experimental validation,7
7,Dynamic Modelling,10
7,TEA,1
7,Hybrid ML,9
7,Uncertainty,14
8,Larger datasets,2
8,TEA,1
8,Dynamic Modelling,10
8,Hybrid ML,9
8,Uncertainty,14
9,Expanded feedstocks/catalysts,6
9,Dynamic Modelling,10
9,TEA,1
9,Hybrid ML,9
10,Larger datasets,2
10,Dynamic Modelling,10
10,TEA,1
10,Hybrid ML,9
10,Uncertainty,14
11,Experimental validation,7
11,Dynamic Modelling,10
11,TEA,1
11,Hybrid ML,9
11,Uncertainty,14
12,Larger datasets,2
12,Dynamic Modelling,10
12,TEA,1
12,Hybrid ML,9
12,Uncertainty,14
13,Larger datasets,2
13,Dynamic Modelling,10
13,TEA,1
13,Hybrid ML,9
13,Uncertainty,14
14,Pilot-scale validation,8
14,TEA,1
14,Experimental validation,7
14,Hybrid ML,9
15,Pilot-scale validation,8
15,TEA,1
15,Carbon Capture & Storage (CCS),13
15,Dynamic Modelling,10
15,Uncertainty,14
16,Policy frameworks,3
16,Hybrid ML,9
16,Optimization integration,11
16,Uncertainty,14
17,Pilot-scale validation,8
17,Expanded feedstocks/catalysts,6
17,TEA,1
17,Hybrid ML,9
17,Dynamic Modelling,10
18,Standardized datasets,4
18,Experimental validation,7
18,LCA,12
18,TEA,1
18,Hybrid ML,9
19,Pilot-scale validation,8
19,TEA,1
19,Experimental validation,7
19,Hybrid ML,9
20,Larger datasets,2
20,Hybrid ML,9
20,TEA,1
20,Dynamic Modelling,10
20,Policy frameworks,3
21,Expanded feedstocks/catalysts,6
21,Larger datasets,2
21,Hybrid ML,9
21,TEA,1
21,Dynamic Modelling,10
22,Pilot-scale validation,8
22,TEA,1
22,Optimization integration,11
22,Larger datasets,2
22,Experimental validation,7
23,Experimental validation,7
23,Hybrid ML,9
23,TEA,1
23,Policy frameworks,3
24,Larger datasets,2
24,Hybrid ML,9
24,Pilot-scale validation,8
24,Dynamic Modelling,10
24,Optimization integration,11
25,Pilot-scale validation,8
25,Expanded parameters,5
25,Comparative optimizers,16
25,TEA,1
25,Industrial integration,15
26,Pilot-scale validation,8
26,Experimental validation,7
26,Hybrid ML,9
26,TEA,1
27,Experimental validation,7
27,Expanded feedstocks/catalysts,6
27,TEA,1
27,Hybrid ML,9
27,Uncertainty,14
28,Experimental validation,7
28,Hybrid ML,9
28,Pilot-scale validation,8
28,TEA,1
28,Policy frameworks,3
29,Pilot-scale validation,8
29,Hybrid ML,9
29,LCA,12
29,Carbon Capture & Storage (CCS),13
29,Policy frameworks,3
