Serial,Journal,Author,Code,Category
1,Biomass and Bioenergy,Reza Dehdari;Sahand Azadvar;Omid Tavakoli,S3,Comprehensiveness
1,Biomass and Bioenergy,Reza Dehdari;Sahand Azadvar;Omid Tavakoli,S3,Comprehensiveness
1,Biomass and Bioenergy,Reza Dehdari;Sahand Azadvar;Omid Tavakoli,S7,Optimization/Performance
1,Biomass and Bioenergy,Reza Dehdari;Sahand Azadvar;Omid Tavakoli,S0,Unmapped/Other
2,Computers & Chemical Engineering,Olakunle Ayodeji Omole;Chukwuma C. Ogbaga;Jude A. Okolie;Olugbenga Akande;Richard Kimera;Joseph Lepnaan Dayil,S3,Comprehensiveness
2,Computers & Chemical Engineering,Olakunle Ayodeji Omole;Chukwuma C. Ogbaga;Jude A. Okolie;Olugbenga Akande;Richard Kimera;Joseph Lepnaan Dayil,S0,Unmapped/Other
2,Computers & Chemical Engineering,Olakunle Ayodeji Omole;Chukwuma C. Ogbaga;Jude A. Okolie;Olugbenga Akande;Richard Kimera;Joseph Lepnaan Dayil,S0,Unmapped/Other
2,Computers & Chemical Engineering,Olakunle Ayodeji Omole;Chukwuma C. Ogbaga;Jude A. Okolie;Olugbenga Akande;Richard Kimera;Joseph Lepnaan Dayil,S0,Unmapped/Other
2,Computers & Chemical Engineering,Olakunle Ayodeji Omole;Chukwuma C. Ogbaga;Jude A. Okolie;Olugbenga Akande;Richard Kimera;Joseph Lepnaan Dayil,S0,Unmapped/Other
3,Biomass and Bioenergy,Kapil Khandelwal;Sonil Nanda;Ajay K. Dalai,S0,Unmapped/Other
3,Biomass and Bioenergy,Kapil Khandelwal;Sonil Nanda;Ajay K. Dalai,S2,Rigor/Validation
3,Biomass and Bioenergy,Kapil Khandelwal;Sonil Nanda;Ajay K. Dalai,S0,Unmapped/Other
3,Biomass and Bioenergy,Kapil Khandelwal;Sonil Nanda;Ajay K. Dalai,S4,Interpretability/Transparency
3,Biomass and Bioenergy,Kapil Khandelwal;Sonil Nanda;Ajay K. Dalai,S0,Unmapped/Other
4,International Journal of Hydrogen Energy,Xuya Wang;Shenggui Ma;Wenyao Duan;Chong Liu;Siwei Liu;Xia Jiang;Hualin Wang,S1,Novelty/Innovation
4,International Journal of Hydrogen Energy,Xuya Wang;Shenggui Ma;Wenyao Duan;Chong Liu;Siwei Liu;Xia Jiang;Hualin Wang,S4,Interpretability/Transparency
4,International Journal of Hydrogen Energy,Xuya Wang;Shenggui Ma;Wenyao Duan;Chong Liu;Siwei Liu;Xia Jiang;Hualin Wang,S7,Optimization/Performance
4,International Journal of Hydrogen Energy,Xuya Wang;Shenggui Ma;Wenyao Duan;Chong Liu;Siwei Liu;Xia Jiang;Hualin Wang,S5,Scalability/Industrial Relevance
5,Journal of Environmental Chemical Engineering,Shuai Yan;Jingyue Mao;Xueqin Wei;Weiwei Li,S7,Optimization/Performance
5,Journal of Environmental Chemical Engineering,Shuai Yan;Jingyue Mao;Xueqin Wei;Weiwei Li,S7,Optimization/Performance
5,Journal of Environmental Chemical Engineering,Shuai Yan;Jingyue Mao;Xueqin Wei;Weiwei Li,S0,Unmapped/Other
5,Journal of Environmental Chemical Engineering,Shuai Yan;Jingyue Mao;Xueqin Wei;Weiwei Li,S0,Unmapped/Other
6,Renewable and Sustainable Energy Reviews,Miao Wang;Le Chen;Dengyu Chen;Kuan Ding;Bin Li;Peng Lv;Xudong Song;Yue Jiao;Qinghua Guo;Guangsuo Yu;Ankui Huang; Juntao Wei,S3,Comprehensiveness
6,Renewable and Sustainable Energy Reviews,Miao Wang;Le Chen;Dengyu Chen;Kuan Ding;Bin Li;Peng Lv;Xudong Song;Yue Jiao;Qinghua Guo;Guangsuo Yu;Ankui Huang; Juntao Wei,S3,Comprehensiveness
