Serial,Title,Year,Author,Drive_Link,Journal,Country_Region,Type,Hydrogen_Route,Feedstock,Integrated_System,Carbon_Capture,Dataset_Original_Entry,Dataset_Size_Numeric,Dataset_Type,Dataset_Notes,ML_Algorithms,Optimization_Method,Surrogate_Model,Dynamic_Modelling,TEA,LCA,Uncertainty_Quantification,Interpretability_Method,Best_R2,Key_Performance_Metric,Strengths,Research_Gap_Category,Research_Gap_Normalised,ML_Family,Num_ML_Models
1,Review on SCWG degradation pathways catalyst screening and ML,2025,Reza Dehdari;Sahand Azadvar;Omid Tavakoli,https://drive.google.com/file/d/1kvVynDmwJx31n0EmnFVIw097qj1TdfHt/view?usp=drive_link,Biomass and Bioenergy,Iran,Review,SCWG,Biomass; sludge; plastics; food waste,Yes,No,,,Review,"Review-based, no dataset size",ANN; Gradient Boosting; Random Forest; SVM,,No,No,No,No,No,,,H2 yield; syngas composition,"Comprehensive coverage of biomass breakdown pathways in SCWG; Detailed catalyst screening (alkali metals, transition metals, noble metals); Integration of ML for predictive optimization; Addresses reactor design, regeneration, and deactivation mechanisms",Pilot-scale validation; hybrid ML; LCA,Pilot-scale validation; Hybrid ML; LCA,Boosting Ensemble; Kernel-Based; Neural Network; Tree-Based Ensemble,4
2,Advancing algal biofuel production through ML review,2025,Olakunle Ayodeji Omole;Chukwuma C. Ogbaga;Jude A. Okolie;Olugbenga Akande;Richard Kimera;Joseph Lepnaan Dayil,https://drive.google.com/file/d/1aRaO3SqogR-J-qb6-9E3M1cJ6dva5ndi/view?usp=drive_link,Computers & Chemical Engineering,Korea/Nigeria/US,Review,Biofuel (HTL; pyrolysis),Algae,No,No,,,Review,Classification accuracies reported,ANN; Cnn; Elm; Random Forest; SVM; XGBoost,Ga; Pso,Yes,No,No,No,No,,0.99,Yield prediction; classification,Comprehensive synthesis of ML applications across the algal biofuel chain; Explicit focus on sparse-data challenges; Strong emphasis on image-based deep learning with benchmarked performance; Highlighted ELM as promising for small datasets; Clear comparison of ML vs. mechanistic models,Biohydrogen focus; PINNs; uncertainty,Expanded feedstocks/catalysts; Hybrid ML; Uncertainty,Boosting Ensemble; Kernel-Based; Neural Network; Other; Tree-Based Ensemble,6
3,ML modeling of SCWG for predictive Hydrogen production,2025,Kapil Khandelwal;Sonil Nanda;Ajay K. Dalai,https://drive.google.com/file/d/1EGENKX1qNM4RG7-Sf_v3xIeGDa4WajH3/view?usp=drive_link,Biomass and Bioenergy,Canada,Simulation,SCWG,Biomass,Yes,No,237,237,Experimental,Literature-derived SCWG dataset,ANN; Decision Tree; Gaussian Process; Gradient Boosting; Linear Regression; Random Forest; SVM; XGBoost,Ga; Pso,No,No,No,No,No,Pdp; Shap,0.958,H2 yield,Systematic comparison of eight ML models for SCWG hydrogen prediction; Rigorous hyperparameter optimization using GA and PSO; Inclusion of both operating conditions and biomass properties; SHAP analysis provided interpretability; Demonstrated strong predictive accuracy with small datasets,Larger datasets; TEA; dynamic modelling,Larger datasets; TEA; Dynamic Modelling,Boosting Ensemble; Kernel-Based; Linear Model; Neural Network; Tree-Based; Tree-Based Ensemble,8
4,Tar inhibition for Hydrogen production from biomass gasification,2025,Xuya Wang;Shenggui Ma;Wenyao Duan;Chong Liu;Siwei Liu;Xia Jiang;Hualin Wang,https://drive.google.com/file/d/1fOZK9tfWOQ6zem6-3jAsBZ9HS2VYCj9I/view?usp=drive_link,International Journal of Hydrogen Energy,China,Simulation,Gasification,Biomass,No,No,276,276,Experimental,Lab-scale biomass gasification dataset,ANN; Adaboost; Random Forest; SVM,Pso,No,No,No,No,No,Pdp; Shap,0.91,Tar yield; H2 concentration,"Novel dual-objective ML interpretability (tar + H2 simultaneously); Integration of SHAP + PDP for actionable insights; Demonstrated PSO-SVR superiority for small, high-dimensional datasets; Provided practical reactor/catalyst recommendations for tar inhibition",Larger datasets; dynamic modelling; TEA,Larger datasets; Dynamic Modelling; TEA,Boosting Ensemble; Kernel-Based; Neural Network; Tree-Based Ensemble,4
5,"Co-gasification of coal, biomass with waste plastic in a fluidized bed",2025,Shuai Yan;Jingyue Mao;Xueqin Wei;Weiwei Li,https://drive.google.com/file/d/1r-HgFzKPKNfkuBTZCcTD7BdZtoTJVcsW/view?usp=drive_link,Journal of Environmental Chemical Engineering,China,Simulation,Gasification,Coal + Biomass + Plastics,Yes,No,,,Simulation,Compiled dataset from literature,ANN; Random Forest; SVM,Architecture Tuning,No,No,No,No,No,,,Syngas composition; H2/CO ratio,"Integration of coal, biomass, and plastics in co-gasification; ML model optimized for syngas composition and H2/CO ratio; Demonstrates potential for CO2 emission reduction and waste valorization; Fluidized bed scheme enhances scalability",Dataset expansion; CCS; TEA,Larger datasets; Carbon Capture & Storage (CCS); TEA,Kernel-Based; Neural Network; Tree-Based Ensemble,3
6,Modeling study on biomass gasification for H2-rich syngas production based on ML: A comprehensive review,2026,Miao Wang;Le Chen;Dengyu Chen;Kuan Ding;Bin Li;Peng Lv;Xudong Song;Yue Jiao;Qinghua Guo;Guangsuo Yu;Ankui Huang; Juntao Wei,https://drive.google.com/file/d/1kiqTkTfmWjCoWkggqIq1x2Ird4biaVqJ/view?usp=drive_link,Renewable and Sustainable Energy Reviews,China,Review,Gasification,Forestry residues; agricultural wastes; MSW; wastewater biomass,No,No,30-4826,,Literature,Range 30–4826 samples across studies,ANN; Adaboost; Deep Learning; Gradient Boosting; Linear Regression; Polynomial Regression; Random Forest; SVM; XGBoost,,No,No,No,No,partial (uncertainty mentioned),Garson; Pearson; Shap,,H2 yield; syngas composition,"Comprehensive synthesis of ~80 ML-based biomass gasification studies; Detailed comparison of model types, dataset sizes, and performance; Integrates feature importance methods (Garson, Pearson, SHAP); Highlights anti-overfitting and uncertainty considerations; Clear identification of key process parameters (S/B, ER)",Standardized datasets; uncertainty; TEA; hybrid ML; dynamic modelling,Standardized datasets; Uncertainty; TEA; Hybrid ML; Dynamic Modelling,Boosting Ensemble; Kernel-Based; Linear Model; Neural Network; Other; Tree-Based Ensemble,9
7,Biomass and waste plastics chemical looping co-gasification for hydrogen-electricity-DME conservation and recycling based on ML,2025,Wende Tian;Shuming Zhang;Shaochen Wang,https://drive.google.com/file/d/1H17kH_JmRfKYs2qAs1XsL5nGGRnfcYBv/view?usp=drive_link,Energy,China,Original Research,Gasification (Chemical Looping),Biomass + Plastics,Yes,No,Simulation dataset,,Simulation,Simulation dataset (equilibrium assumptions),ANN; Nsga-Ii,Nsga-Ii,Yes,No,No,No,No,,,H2 yield; energy consumption,"Novel integration of biomass + plastics in chemical looping polygeneration; ANN surrogate models reduced computational cost while maintaining accuracy; NSGA-II provided robust multi-objective optimization; Demonstrated synergy effects (plastics improved heating value, biomass reduced coke/tar); Comprehensive system design including methanol/DME synthesis and power generation",Experimental validation; dynamic modelling; TEA; hybrid ML; uncertainty,Experimental validation; dynamic modelling; TEA; Hybrid ML; uncertainty,Neural Network; Other,2
8,Data-driven model for prediction of syngas composition and end-use application from gasification of residual biomass,2026,Laura C.G. Velandia;Samira Garcia-Freites;Marco Sanjuan,https://drive.google.com/file/d/1CK1ia8lRd1lvLXF1jXU8p0qb-09W-zHm/view?usp=drive_link,Biomass and Bioenergy,Colombia,Original Research,Gasification,Residual biomass (agro-industrial; forestry; MSW; sludge; RDF),No,No,133,133,Literature,"56 publications, residual biomass",Catboost,Optuna Bayesian Tuning,No,No,No,No,No,Shap,0.9,Syngas composition; end-use classification,ML model linked syngas composition prediction to end-use classification; Physics-informed feature engineering improved interpretability; Rigorous nested CV + SMOTE ensured generalization; SHAP analysis enhanced transparency; Applicability demonstrated across diverse biomass residues and reactor configurations,Larger datasets; TEA; dynamic modelling; hybrid ML; uncertainty,Larger datasets; TEA; Dynamic Modelling; Hybrid ML; Uncertainty,Boosting Ensemble,1
9,Structure optimization and parameter identification of a downdraft biomass gasifier using CFD + ML,2026,Yuyang Hu;Fuchun Yuan;Zhiqiang Yin,https://drive.google.com/file/d/145HeArqrdfP4GfZHbJph1CBuDj1y_qrb/view?usp=drive_link,Renewable Energy,China,Original Research,Gasification (Downdraft),Wood pellets; chips; straw; furniture waste,No,No,CFD dataset,,CFD,CFD-generated dataset,Bayesian Regression; Gradient Boosting; Kernel Ridge; Knn; Linear Regression; Random Forest,Lhs Sampling,No,No,No,No,No,Gini Importance; Sobol,0.9,H2 fraction; cold gas efficiency,Integration of CFD structural optimization with ML parameter identification; Rigorous validation against experimental data; Clear structural and operational design rules identified; ML interpretability (Sobol + Gini importance) provided actionable insights,Tar cracking; dynamic modelling; expanded feedstocks; TEA; hybrid ML,Expanded feedstocks/catalysts; Dynamic Modelling; TEA; Hybrid ML,Boosting Ensemble; Kernel-Based; Linear Model; Other; Tree-Based Ensemble,6
10,Explainable ML reveals key drivers of hydrogen-rich syngas in steam co-gasification of multi-source wastes,2026,Xu Wang;Qianqian Guo;Shiyang Sun,https://drive.google.com/file/d/1Aeq8qXqchPh3CYxplabdip1DxLAAFQzo/view?usp=sharing,International Journal of Hydrogen Energy,China,Original Research,Gasification (Steam Co-gasification),Biomass; plastics; sludge; coal blends,No,No,150,150,Literature,Experimental cases compiled,ANN; Linear Regression; Random Forest; SVM; XGBoost,Ga + Bayesian Tuning,No,No,No,No,No,Pdp; Shap,0.94,H2 yield; syngas composition,"Application of explainable ML framework to multi-source steam co-gasification; Rigorous preprocessing and validation (LOSO, normalization, outlier filtering); SHAP/PDP enhanced transparency of feature contributions; Balanced dataset ensured generalization; Provided actionable operating windows for maximizing H2 yield",Larger datasets; dynamic modelling; TEA; hybrid ML; uncertainty,Larger datasets; Dynamic Modelling; TEA; Hybrid ML; Uncertainty,Boosting Ensemble; Kernel-Based; Linear Model; Neural Network; Tree-Based Ensemble,5
11,Integration of PRO/II simulation and XGBoost ML for predicting hydrogen-rich syngas from air-blown biomass-plastic co-gasification,2026,Victor Hugo Xavier Bernardes;Rubens Gedraite;Nicolas Spogis,https://drive.google.com/file/d/137ehH2wZ5M2hio-xDBtKwT-RDm6XIHzj/view?usp=sharing,International Journal of Hydrogen Energy,Brazil,Original Research,Gasification (Air-blown Co-gasification),Biomass + Plastics,No,No,3000,3000,Simulation,"PRO/II simulation, Latin Hypercube sampling",XGBoost,Optuna Bayesian Tuning + De,Yes,No,No,No,No,Shap,0.98,H2 yield; syngas composition; LHV,"Integration of PRO/II restricted-equilibrium simulation with XGBoost ML; Large, diverse dataset (3,000 samples) ensured robustness; SHAP analysis enhanced transparency; DE optimization provided actionable operating conditions; Validated against independent experimental datasets",Experimental validation; dynamic modelling; TEA; hybrid ML; uncertainty,Experimental validation; Dynamic Modelling; TEA; Hybrid ML; Uncertainty,Boosting Ensemble,1
12,ML-aided multi-stage optimization of low-carbon hydrogen via biomass gasification: emission-aware design and cost-efficient feedstock blending,2026,Peerapat Jaiyen;Kitti Kamolram;Amornchai Arpornwichanop,https://drive.google.com/file/d/1BHLJLHJRNvoy_xtEvgFCtzBM0CfvAM_w/view?usp=drive_link,Fuel,Thailand,Original Research,Gasification,Biomass (PEFB; Coconut Shell; Rice Husk),No,No,327,327,Literature,Curated experimental dataset,Extra Trees; Gradient Boosting; Knn,Randomizedsearchcv + Nsga-Ii,Yes,No,partial (thai supply chain),No,No,Shap,0.9641,H2 yield; CO2 emissions; supply chain blending,"Unified framework combining ML surrogates, NSGA-II optimization, DEA ranking, and LP supply chain modelling; Rigorous dataset curation ensured generalizability; SHAP analysis enhanced transparency; Practical integration of regional supply chain economics; Provided actionable blending ratios for Thai agricultural residues",Larger datasets; dynamic modelling; global TEA; hybrid ML; uncertainty,Larger datasets; Dynamic Modelling; TEA; Hybrid ML; Uncertainty,Boosting Ensemble; Other; Tree-Based Ensemble,3
13,Machine learning-driven optimization of iron-based oxygen carriers for enhanced hydrogen production from biomass chemical looping gasification,2025,Tianle He;Peixuan Xue;Zongtao Yu,https://drive.google.com/file/d/1Jf_enZ_duCOfD52orvFVZxi2R_X0aXmg/view?usp=drive_link,Applications in Energy and Combustion Science,China,Original Research,Gasification (Chemical Looping),Biomass (pine sawdust),No,No,225,225,Experimental,16 publications + new experiments,Knn; Linear Regression; Random Forest; XGBoost,Grid Search + Cv,No,No,No,No,No,Pdp; Shap,0.824,H2 yield; syngas composition,Integration of new experimental data with literature datasets into ML framework; Rigorous interpretability (SHAP + PDP) provided mechanistic insights; Clear material�process relationships identified; Practical pathways for improving hydrogen yield in BCLG,Larger datasets; dynamic modelling; TEA; hybrid ML; uncertainty,Larger datasets; Dynamic Modelling; TEA; Hybrid ML; Uncertainty,Boosting Ensemble; Linear Model; Other; Tree-Based Ensemble,4
14,Advancing hydrogen production from municipal wastewater using AI: A case study of microalgae bioremediation,2026,Fatima Musa Ardo;Azubuike Hope Amadi;Joseph Eneotu,https://drive.google.com/file/d/1pm0baxUPV18A3ApfoQ6PaxAoTIsg_6Ku/view?usp=drive_link,Fuel,Malaysia,Original Research,Biological (Biophotolysis + Fermentation),Wastewater + Microalgae,Yes,No,Experimental cycles,,Experimental,Cycles with varying photoperiods,Ai Time-Series (Likely Rnn/Lstm),Photoperiod Tuning,No,Yes,No,Yes,No,,0.00192,H2 yield; wastewater remediation,AI-enabled optimization of photoperiods for wastewater-based hydrogen production; Demonstrated dual benefit of hydrogen generation + wastewater remediation; Immobilization strategy improved stability and recyclability; Rigorous environmental assessment (LCA); High predictive accuracy of AI model,Pilot-scale validation; TEA; strain diversity; hybrid ML; long-term stability,Pilot-scale validation; TEA; Experimental validation; Hybrid ML,Other,1
15,Design performance assessment and ML-driven optimization of a novel low-carbon urban waste-to-x polygeneration system,2026,Mohammadreza Babaei Khuyinrud;Ali Shokri Kalan;Borhan Pourtalebi,https://drive.google.com/file/d/1BMGbFq7vkmULxfSUSllmK_F_LhLO4AeE/view?usp=drive_link,Energy,Iran/Finland/Italy/China/Canada,Original Research,Gasification + Electrolysis + Methanation,MSW + Wastewater,Yes,Yes,Simulation scenarios,,Simulation,Scenario-based dataset,Ann Surrogate + Mogwo,Mogwo,Yes,No,No,No,No,Sensitivity Analysis,,Energy/exergy efficiency; H2 yield; CH4 yield,"Integrated urban waste-to-x polygeneration system combining MSW, wastewater, CCUS, and multi-cycle energy recovery; Near-zero emissions achieved with MEA-based CO? capture; Flexible outputs (electricity, heat, H?, CH?, O?); ML-driven optimization improved efficiency and balanced trade-offs; Comprehensive exergy analysis identified system bottlenecks",Pilot-scale validation; TEA; alternative CCS; dynamic modelling; uncertainty,Pilot-scale validation; TEA; Carbon Capture & Storage (CCS); Dynamic Modelling; Uncertainty,Other,1
16,Machine learning for hydrogen technologies: A comprehensive review of challenges opportunities and emerging trends,2026,Robin van der Laag; Agnese Rizzato;Thomas Bäck;Yingjie Fan,https://drive.google.com/file/d/1eYNhdvETVVLcEcxlSd9YN9OPIgprH9Pm/view?usp=drive_link,International Journal of Hydrogen Energy,Netherlands,Review,Multiple (SMR; SCWG; Electrolysis; Biological; Photocatalytic),Various (biomass; fossil; algae; microbial),Yes,No,314 studies,,Literature,Systematic review of 314 studies,ANN; Cnn; Gaussian Process; Gradient Boosting; Lstm; Physics-Informed Ml; Random Forest; Rl; SVM,Bayesian; De; Ga; Nsga-Ii; Pso,No,No,No,No,partial,Pdp (Rare); Shap,,Efficiency; safety; predictive maintenance,"Comprehensive synthesis of ML applications across the hydrogen value chain; Large dataset (314 studies) ensured broad coverage; Clear classification framework (domains + ML task types); Identified emerging trends (physics-informed ML, explainable AI); Actionable recommendations for standardization and benchmarking",Standardized reporting; transport/storage focus; physics-informed ML; cross-domain optimization; uncertainty,Policy frameworks; Hybrid ML; Optimization integration; Uncertainty,Boosting Ensemble; Kernel-Based; Neural Network; Other; Reinforcement Learning; Tree-Based Ensemble,9
17,Machine learning and thermodynamic modeling for optimizing hydrogen production via algae-biomass co-gasification,2025,Thanadol Tuntiwongwat;Takashi Yukawa;Thongchai Rohitatisha Srinophakun;Kanit Manatura;Somboon Sukpancharoen;Seyedali Mirjalili,https://drive.google.com/file/d/1w6K9gluLbb_zRaFBHaC98dteg86GQXF-/view?usp=drive_link,Cleaner Engineering and Technology,Thailand/Japan/Australia/Czech/Hungary,Original Research,Gasification (Co-gasification),Biomass + Algae,Yes,No,3609,3609,Simulation,"Aspen Plus dataset, 24 input features",ANN; Decision Tree; Knn; Random Forest; SVM; XGBoost,Randomizedsearchcv,No,No,No,No,No,Shap,0.96,H2 yield; syngas LHV,"Integration of algae-biomass co-gasification with ML-enhanced thermodynamic modeling; Large dataset (3,609 points) ensured robust training; SHAP interpretability provided transparent optimization insights; Demonstrated industrial scalability and real-time optimization potential; Public GitHub repository ensured reproducibility",Pilot-scale validation; expanded feedstocks; TEA; hybrid ML; dynamic modelling,Pilot-scale validation; Expanded feedstocks/catalysts; TEA; Hybrid ML; Dynamic Modelling,Boosting Ensemble; Kernel-Based; Neural Network; Other; Tree-Based; Tree-Based Ensemble,6
18,Exploring ML approaches for biohydrogen production through dark fermentation in wastewater,2025,Ibrahim Shomope;Amaal Abdulraqeb Ali;Muhammad Tawalbeh;Amani Al-Othman;Fares Almomani,https://drive.google.com/file/d/1K_1V8TVnJbPLb9Ic-rwo3U3Ku8f-82K8/view?usp=drive_link,International Journal of Hydrogen Energy,UAE/Qatar,Review,Biological (Dark Fermentation),Wastewater substrates,No,No,Literature review,,Review,Literature review of ML in DF,ANN; Bagxgboost; Catboost; Decision Tree; Knn; Lightgbm; Random Forest; SVM,,No,No,No,No,No,,0.98,H2 yield; fermentation optimization,"Systematic review of ML applications in wastewater-based dark fermentation; Clear comparison of ML vs. traditional models with performance gains; Identification of biologically relevant features driving hydrogen yield; Linked findings to UN SDGs (Clean Water and Sanitation, Affordable and Clean Energy)",Standardized datasets; experimental integration; LCA; TEA; hybrid ML; industrial validation,Standardized datasets; Experimental validation; LCA; TEA; Hybrid ML,Boosting Ensemble; Kernel-Based; Neural Network; Other; Tree-Based; Tree-Based Ensemble,8
19,Machine learning enables more efficient (nano)catalyst management for biohydrogen production from sewage sludge,2026,Josef Marousek;Beata Gavurova;Anna Marouskova,https://drive.google.com/file/d/1QUyitTlIED9OfhiaK0OnoUz4WhN3ANmD/view?usp=drive_link,Renewable Energy,Slovakia/Czech Republic,Original Research,Biological (Dark Fermentation),Sewage sludge,No,No,Experimental dataset (14 scenarios),,Experimental,"14 scenarios, sewage sludge",Random Forest,,No,No,No,No,No,,0.9,H2 yield; stability,Study of nanoparticle + activated carbon synergy in sewage sludge dark fermentation; Combined experimental kinetics with ML prediction; Demonstrated catalytic benefits of bimetallic nanoparticles; Addressed both yield and stability challenges; Practical feedstock (sewage sludge) ensured scalability,Pilot-scale validation; TEA; nanoparticle dose-response; hybrid ML; long-term stability,Pilot-scale validation; TEA; Experimental validation; Hybrid ML; Experimental validation,Tree-Based Ensemble,1
20,An ensemble learning method to predict a hydrogen production rate in the viable wastewater-hydrogen supply chain network design,2026,Beheshteh Moghadaspoor;Ali Bozorgi-Amiri;Reza Tavakkoli-Moghaddam;Mahdi Bashiri,https://drive.google.com/file/d/19Lh0PoR-ufvw7OPkfx5HoKk9JYNn6JED/view?usp=drive_link,Energy,Iran/Turkey/Oman/UK,Original Research,Biological (Dark Fermentation),Wastewater,Yes,No,Experimental + literature dataset,,Hybrid,Experimental + literature dataset,Bagging; Gradient Boosting; Random Forest; XGBoost,Milp + E-Constraint,No,No,partial (iran case study),No,No,Shap,0.966,H2 production rate; supply chain optimization,"Integration of ML prediction with supply chain optimization for wastewater-derived hydrogen; Combined technical (DF yields) and strategic (SC design) perspectives; Multi-objective optimization addressed resilience, sustainability, and profitability; Case study validated framework in real-world context",Larger datasets; hybrid ML; global TEA; dynamic SC modelling; circular economy integration,Larger datasets; hybrid ML; TEA; Dynamic Modelling; Policy frameworks,Boosting Ensemble; Other; Tree-Based Ensemble,4
